LEO1	LEO1-I2	guide14	1	0.48431064	0.40118388	0.65694051	0.51414501	0.50334047
LEO1	LEO1-I2	guide17	2	0.14666263	0.19495595	0.47869410	0.27343756	0.44628782
LEO1	LEO1-I2	guide9	3	0.19595741	0.20019219	0.40769987	0.26794983	0.43580553
LEO1	LEO1-I2	guide4	4	0.15616169	0.16524383	0.41076158	0.24405570	0.45078824
LEO1	LEO1-I2	guide21	5	0.17746858	0.19918371	0.34754774	0.24140001	0.07823833
NUDT21	NUDT21-I3	guide13	1	0.82731421	0.81568589	0.82460258	0.82253423	0.78546867
NUDT21	NUDT21-I3	guide19	2	0.75179420	0.74465895	0.73453235	0.74366183	0.79432196
NUDT21	NUDT21-I3	guide27	3	0.56415771	0.54834527	0.52964007	0.54738101	0.76828591
NUDT21	NUDT21-I3	guide12	4	0.52767968	0.52454466	0.49365663	0.51529366	0.70320147
NUDT21	NUDT21-I3	guide16	5	0.53947067	0.52835347	0.46310848	0.51031088	0.64992594
PABPC1	PABPC1-I1	guide18	1	0.71705018	0.67334295	0.79484803	0.72841372	0.73085957
PABPC1	PABPC1-I1	guide16	2	0.44972515	0.42020242	0.62695035	0.49895931	0.84033913
PABPC1	PABPC1-I1	guide15	3	0.36836128	0.34452666	0.54045454	0.41778082	0.80951093
PABPC1	PABPC1-I1	guide26	4	0.33232113	0.30744238	0.54603131	0.39526494	0.75511073
PABPC1	PABPC1-I1	guide27	5	0.33727103	0.29865105	0.52349329	0.38647179	0.81399458
SCAF8	SCAF8-I3	guide30	1	0.31026382	0.26672862	0.17819879	0.25173041	0.57980622
SCAF8	SCAF8-I3	guide28	2	0.25163443	0.15517502	0.12230848	0.17637265	0.56182927
SCAF8	SCAF8-I3	guide16	3	0.25717479	0.19302644	0.03078857	0.16032993	0.55439541
SCAF8	SCAF8-I3	guide5	4	0.19075663	0.21056494	0.07052763	0.15728307	0.54925555
SCAF8	SCAF8-I3	guide13	5	0.17440627	0.14387290	0.11829923	0.14552613	0.26612578
