target_gene	k_features	query_guide	norm_pearson	norm_spearman	norm_cosine	norm_score	raw_score
PABPC1	10	guide18	0.96203060	0.52727273	0.96425240	0.81785191	0.87225364
PABPC1	10	guide11	0.79396691	0.51515152	0.74662868	0.68524903	0.20499387
PABPC1	10	guide27	0.74889194	0.41818182	0.84714982	0.67140786	0.89650666
PABPC1	10	guide23	0.78072169	0.26060606	0.83403661	0.62512145	0.84480032
PABPC1	10	guide16	0.86576787	0.05454545	0.92110744	0.61380692	0.95366659
PABPC1	10	guide12	0.71901475	0.24848485	0.76697691	0.57815883	0.94584321
PABPC1	10	guide26	0.73032886	-0.09090909	0.85082678	0.49674885	-0.10305222
PABPC1	10	guide22	0.55015095	0.32121212	0.61607880	0.49581396	0.01285620
PABPC1	10	guide13	0.61950415	0.15151515	0.71063094	0.49388341	0.77708621
PABPC1	10	guide3	0.66751863	0.04242424	0.77078239	0.49357509	0.87772066
PABPC1	10	guide28	0.72749967	-0.01818182	0.75923249	0.48951678	0.92092206
PABPC1	10	guide14	0.58944292	0.04242424	0.83392114	0.48859610	0.17962250
PABPC1	10	guide15	0.66544724	0.05454545	0.66978971	0.46326080	0.83599606
PABPC1	10	guide19	0.67591650	0.06666667	0.60265546	0.44841288	0.84934714
PABPC1	10	guide25	0.58381721	-0.11515152	0.83420972	0.43429181	-0.18926632
PABPC1	10	guide4	0.61226020	0.04242424	0.62612187	0.42693544	0.34550648
PABPC1	10	guide5	0.34134792	0.17575758	0.74951815	0.42220788	-0.10517302
PABPC1	10	guide17	0.57305330	0.15151515	0.53232432	0.41896426	0.84095876
PABPC1	10	guide29	0.58303316	0.04242424	0.58438303	0.40328014	0.02153196
PABPC1	10	guide31	0.16104635	0.18787879	0.59974433	0.31622315	0.47873193
PABPC1	10	guide9	0.34897602	-0.00606061	0.45790290	0.26693944	-0.17143513
PABPC1	10	guide8	0.13965879	0.13939394	0.51630892	0.26512055	-0.47120679
PABPC1	10	guide7	0.36340988	0.28484848	0.11415800	0.25413879	-0.15727745
PABPC1	10	guide20	0.25846704	-0.05454545	0.50526627	0.23639595	-0.28448003
PABPC1	10	guide21	0.22113528	-0.10303030	0.54461587	0.22090695	-0.16722916
PABPC1	10	guide30	0.42803946	-0.34545455	0.54490165	0.20916219	0.32579834
PABPC1	10	guide10	0.24791790	0.03030303	0.33846978	0.20556357	-0.10583960
PABPC1	10	guide24	0.36743909	-0.13939394	0.29626243	0.17476919	0.25233234
PABPC1	10	guide1	-0.17588993	0.05454545	0.50548357	0.12804636	-0.51690989
PABPC1	10	guide32	-0.51467862	-0.24848485	-0.28043468	-0.34786605	-0.68930446
PABPC1	10	guide2	-0.19232835	-0.44242424	-0.54034625	-0.39169962	0.60055872
PABPC1	10	guide6	-0.17951785	-0.46666667	-0.56285716	-0.40301390	-0.47907928
PABPC1	20	guide18	0.91104751	0.78345865	0.94366919	0.87939178	0.77204584
PABPC1	20	guide23	0.64766730	0.59548872	0.75897499	0.66737701	0.81215740
PABPC1	20	guide16	0.72778671	0.35939850	0.86917687	0.65212069	0.90564866
PABPC1	20	guide27	0.57703484	0.47067669	0.76183649	0.60318267	0.87988269
PABPC1	20	guide13	0.64486978	0.46616541	0.63825220	0.58309580	0.79437210
PABPC1	20	guide26	0.61520319	0.28721805	0.81964149	0.57402091	0.11058566
PABPC1	20	guide28	0.63041489	0.28571429	0.76516435	0.56043117	0.87911187
PABPC1	20	guide3	0.55854278	0.40451128	0.67022701	0.54442703	0.85789321
PABPC1	20	guide19	0.63097877	0.41052632	0.57227273	0.53792594	0.82063385
PABPC1	20	guide14	0.41233689	0.34736842	0.79216544	0.51729025	0.31820132
PABPC1	20	guide15	0.53254602	0.17142857	0.64766006	0.45054488	0.80712397
PABPC1	20	guide25	0.40590697	0.16541353	0.77558948	0.44896999	0.04917691
PABPC1	20	guide4	0.47940278	0.27669173	0.58211024	0.44606825	0.49008222
PABPC1	20	guide22	0.41314796	0.28721805	0.61060283	0.43698961	0.26600179
PABPC1	20	guide12	0.39985812	0.27518797	0.63437211	0.43647273	0.92736074
PABPC1	20	guide5	0.22218110	0.41353383	0.66826038	0.43465844	0.07069875
PABPC1	20	guide11	0.38941362	0.27218045	0.57275666	0.41145025	0.31268266
PABPC1	20	guide29	0.39112707	0.17744361	0.55978338	0.37611802	0.24959472
PABPC1	20	guide30	0.40858800	0.12631579	0.47891136	0.33793838	0.54749208
PABPC1	20	guide17	0.40127137	-0.06315789	0.63999731	0.32603693	0.82466061
PABPC1	20	guide21	0.17293979	0.19548872	0.47648000	0.28163617	0.20213526
