target_gene	ref_guide	query_guide	norm_rank	norm_pearson	norm_spearman	norm_cosine	norm_score	raw_score
CDC73	CDC73-I2	guide14	1	0.52408931	0.50120447	0.65069008	0.55866129	0.60033107
CDC73	CDC73-I2	guide30	2	0.33176017	0.34860783	0.49746585	0.39261128	0.49077687
CDC73	CDC73-I2	guide28	3	0.32704456	0.32320430	0.50269008	0.38431298	0.53633067
CDC73	CDC73-I2	guide20	4	0.32266265	0.32737715	0.50232052	0.38412011	0.47886329
CDC73	CDC73-I2	guide4	5	0.31027028	0.33605510	0.49270745	0.37967761	0.35569184
CPSF1	CPSF1-I3	guide4	1	0.74930592	0.61283640	0.87046046	0.74420093	0.79725354
CPSF1	CPSF1-I3	guide3	2	0.69349315	0.53037687	0.82999028	0.68462010	0.78953333
CPSF1	CPSF1-I3	guide29	3	0.64126199	0.54417443	0.80353313	0.66298985	0.74607506
CPSF1	CPSF1-I3	guide22	4	0.55385592	0.47848867	0.77018824	0.60084428	0.75140971
CPSF1	CPSF1-I3	guide21	5	0.58011625	0.45700733	0.72032029	0.58581462	0.48432450
CPSF2	CPSF2-I1	guide3	1	0.70435484	0.56686412	0.81264805	0.69462234	0.69116588
CPSF2	CPSF2-I1	guide4	2	0.67096443	0.60842960	0.80127953	0.69355785	0.77659436
CPSF2	CPSF2-I1	guide21	3	0.68615522	0.47657307	0.77231299	0.64501376	0.12523687
CPSF2	CPSF2-I1	guide29	4	0.58272515	0.52298235	0.74435622	0.61668791	0.70393412
CPSF2	CPSF2-I1	guide25	5	0.55671126	0.51664066	0.72785366	0.60040186	0.78009484
CPSF3	CPSF3-I3	guide4	1	0.67925030	0.59769167	0.82074651	0.69922949	0.79981023
CPSF3	CPSF3-I3	guide3	2	0.67852669	0.51043606	0.81134190	0.66676822	0.78499896
CPSF3	CPSF3-I3	guide21	3	0.66569900	0.49167979	0.77166586	0.64301488	0.45171486
CPSF3	CPSF3-I3	guide29	4	0.61406544	0.50651483	0.78150736	0.63402921	0.73977142
CPSF3	CPSF3-I3	guide25	5	0.58446211	0.50524109	0.76623472	0.61864598	0.79555299
CPSF3L	CPSF3L-I8	guide30	1	0.46102663	0.43857007	0.55841712	0.48600461	0.74132209
CPSF3L	CPSF3L-I8	guide28	2	0.39672972	0.40338344	0.51338614	0.43783310	0.73101631
CPSF3L	CPSF3L-I8	guide16	3	0.28048510	0.25982331	0.46646603	0.33559148	0.68894500
CPSF3L	CPSF3L-I8	guide20	4	0.23373853	0.24534837	0.41419569	0.29776087	0.48890278
CPSF3L	CPSF3L-I8	guide25	5	0.22432453	0.26700328	0.40042166	0.29724982	0.54456838
CPSF4	CPSF4-I8	guide4	1	0.70866967	0.62143141	0.85620719	0.72876943	0.84894261
CPSF4	CPSF4-I8	guide29	2	0.66641574	0.52994266	0.83365594	0.67667145	0.82890692
CPSF4	CPSF4-I8	guide3	3	0.66792753	0.52211959	0.82768551	0.67257754	0.81391892
CPSF4	CPSF4-I8	guide22	4	0.58464051	0.52141063	0.79510465	0.63371860	0.83365220
CPSF4	CPSF4-I8	guide17	5	0.56493138	0.44429717	0.80130131	0.60350995	0.82175800
CPSF6	CPSF6-I5	guide19	1	0.78527313	0.77762692	0.74344206	0.76878070	0.81876078
CPSF6	CPSF6-I5	guide13	2	0.74036921	0.74221334	0.72245547	0.73501267	0.70402853
CPSF6	CPSF6-I5	guide12	3	0.56385621	0.57914987	0.47593652	0.53964753	0.69284843
CPSF6	CPSF6-I5	guide27	4	0.55579783	0.53944651	0.47988878	0.52504437	0.74808918
CPSF6	CPSF6-I5	guide16	5	0.55530709	0.54251516	0.42320491	0.50700905	0.66385515
CPSF7	CPSF7-I1	guide2	1	0.47173354	0.46262883	0.47665454	0.47033897	0.75260321
CPSF7	CPSF7-I1	guide13	2	0.24000181	0.20843296	0.25131580	0.23325019	0.35533863
CPSF7	CPSF7-I1	guide4	3	0.21164696	0.20789642	0.22145447	0.21366595	0.35569122
CPSF7	CPSF7-I1	guide29	4	0.17677896	0.14826741	0.19220121	0.17241586	0.34505404
CPSF7	CPSF7-I1	guide22	5	0.15114972	0.14041035	0.16957668	0.15371225	0.35303076
CSTF1	CSTF1-I5	guide4	1	0.52099917	0.45903620	0.80948393	0.59650643	0.80594213
CSTF1	CSTF1-I5	guide3	2	0.46868146	0.38028411	0.78917093	0.54604550	0.81551122
CSTF1	CSTF1-I5	guide22	3	0.45708248	0.38768747	0.77577107	0.54018034	0.77244479
CSTF1	CSTF1-I5	guide29	4	0.45003719	0.39263159	0.75865837	0.53377572	0.76102091
CSTF1	CSTF1-I5	guide25	5	0.38230456	0.37806900	0.74817001	0.50284786	0.80495641
CSTF2	CSTF2-I4	guide3	1	0.44045439	0.41826619	0.54744523	0.46872193	0.61793879
CSTF2	CSTF2-I4	guide21	2	0.43298482	0.39650923	0.51571910	0.44840438	0.37352762
CSTF2	CSTF2-I4	guide4	3	0.40847263	0.39608242	0.52449165	0.44301556	0.55896439
CSTF2	CSTF2-I4	guide17	4	0.36120185	0.39928278	0.51121459	0.42389974	0.50946997
CSTF2	CSTF2-I4	guide25	5	0.38363701	0.35175501	0.50869937	0.41469713	0.51400772
CSTF3	CSTF3-I5	guide4	1	0.73527543	0.64942109	0.82234360	0.73568004	0.82809825
CSTF3	CSTF3-I5	guide22	2	0.66861589	0.61200878	0.77954723	0.68672397	0.81572650
CSTF3	CSTF3-I5	guide29	3	0.66743205	0.59469252	0.77517941	0.67910132	0.79785899
CSTF3	CSTF3-I5	guide3	4	0.65797252	0.58294908	0.76668755	0.66920305	0.81496255
CSTF3	CSTF3-I5	guide21	5	0.56269265	0.52994516	0.67173250	0.58812344	0.38967065
CTR9	CTR9-I7	guide14	1	0.49207833	0.42264947	0.67743126	0.53071968	0.66535109
CTR9	CTR9-I7	guide28	2	0.36093756	0.33067611	0.58614280	0.42591882	0.46105492
CTR9	CTR9-I7	guide30	3	0.34483164	0.33417542	0.55609753	0.41170153	0.49032681
CTR9	CTR9-I7	guide3	4	0.32558998	0.28298542	0.54678430	0.38511990	0.46090600
CTR9	CTR9-I7	guide25	5	0.29925107	0.28421038	0.54484212	0.37610119	0.49573976
FIP1L1	FIP1L1-I1	guide20	1	0.61187428	0.52917207	0.76917453	0.63674029	0.80803921
FIP1L1	FIP1L1-I1	guide17	2	0.57127128	0.54203132	0.75015014	0.62115091	0.84759238
FIP1L1	FIP1L1-I1	guide29	3	0.56997596	0.53892724	0.72991760	0.61294027	0.82756558
FIP1L1	FIP1L1-I1	guide4	4	0.53201385	0.50711041	0.70511671	0.58141366	0.82396648
FIP1L1	FIP1L1-I1	guide9	5	0.53199926	0.46096255	0.70501836	0.56599339	0.80549089
LEO1	LEO1-I2	guide14	1	0.48431064	0.40118388	0.65694051	0.51414501	0.50334047
LEO1	LEO1-I2	guide17	2	0.14666263	0.19495595	0.47869410	0.27343756	0.44628782
LEO1	LEO1-I2	guide9	3	0.19595741	0.20019219	0.40769987	0.26794983	0.43580553
LEO1	LEO1-I2	guide4	4	0.15616169	0.16524383	0.41076158	0.24405570	0.45078824
LEO1	LEO1-I2	guide21	5	0.17746858	0.19918371	0.34754774	0.24140001	0.07823833
NUDT21	NUDT21-I3	guide13	1	0.82731421	0.81568589	0.82460258	0.82253423	0.78546867
NUDT21	NUDT21-I3	guide19	2	0.75179420	0.74465895	0.73453235	0.74366183	0.79432196
NUDT21	NUDT21-I3	guide27	3	0.56415771	0.54834527	0.52964007	0.54738101	0.76828591
NUDT21	NUDT21-I3	guide12	4	0.52767968	0.52454466	0.49365663	0.51529366	0.70320147
NUDT21	NUDT21-I3	guide16	5	0.53947067	0.52835347	0.46310848	0.51031088	0.64992594
PABPC1	PABPC1-I1	guide18	1	0.71705018	0.67334295	0.79484803	0.72841372	0.73085957
