target_gene	ref_guide	query_guide	n_features	norm_pearson	norm_spearman	norm_cosine	norm_score	raw_pearson	raw_spearman	raw_cosine	raw_score	top100_in_query_top300	top100_signed_overlap	norm_rank	raw_rank	consensus
PABPC1	PABPC1-I1	guide18	500	0.71705018	0.67334295	0.79484803	0.72841372	0.66642527	0.84130282	0.68485062	0.73085957	67	67	1	15	0.81004266
PABPC1	PABPC1-I1	guide16	500	0.44972515	0.42020242	0.62695035	0.49895931	0.85161273	0.78526268	0.88414197	0.84033913	40	40	2	1	0.62501018
PABPC1	PABPC1-I1	guide15	500	0.36836128	0.34452666	0.54045454	0.41778082	0.79905920	0.78356487	0.84590873	0.80951093	31	31	3	4	0.53320746
PABPC1	PABPC1-I1	guide26	500	0.33232113	0.30744238	0.54603131	0.39526494	0.72043412	0.76074592	0.78415215	0.75511073	26	25	4	11	0.48853155
PABPC1	PABPC1-I1	guide27	500	0.33727103	0.29865105	0.52349329	0.38647179	0.83001325	0.74043860	0.87153188	0.81399458	27	27	5	3	0.50457098
PABPC1	PABPC1-I1	guide25	500	0.32436667	0.30345443	0.52456303	0.38412804	0.67133537	0.72442012	0.74363745	0.71313098	25	24	6	18	0.45709769
PABPC1	PABPC1-I1	guide28	500	0.33787267	0.30241369	0.50759026	0.38262554	0.79429926	0.70768145	0.83449799	0.77882623	28	27	7	8	0.48544947
PABPC1	PABPC1-I1	guide12	500	0.33227800	0.29382434	0.51700468	0.38103567	0.85597940	0.75601103	0.88848142	0.83349061	31	31	8	2	0.50405926
PABPC1	PABPC1-I1	guide5	500	0.31998422	0.29527001	0.48540410	0.36688611	0.55602046	0.71495676	0.64993949	0.64030557	27	25	9	22	0.42093195
PABPC1	PABPC1-I1	guide17	500	0.31009443	0.25182178	0.52163960	0.36118527	0.79096327	0.77301563	0.83884734	0.80094208	34	34	10	5	0.47332658
PABPC1	PABPC1-I1	guide23	500	0.29675856	0.26768632	0.50151421	0.35531970	0.60251643	0.71030388	0.69554589	0.66945540	29	29	11	21	0.41573801
PABPC1	PABPC1-I1	guide14	500	0.30338104	0.25729821	0.49613095	0.35227007	0.75996434	0.74002912	0.81972637	0.77323994	27	27	12	10	0.45025606
PABPC1	PABPC1-I1	guide13	500	0.29119491	0.27477249	0.46031523	0.34209421	0.48536912	0.63789951	0.51956191	0.54761018	36	33	13	25	0.37623574
PABPC1	PABPC1-I1	guide19	500	0.27100309	0.28078778	0.46378763	0.33852617	0.76193442	0.70647608	0.79576931	0.75472660	33	33	14	13	0.42773516
PABPC1	PABPC1-I1	guide30	500	0.29675444	0.25409046	0.44438142	0.33174211	0.82031246	0.71352191	0.85610049	0.79664496	18	18	15	6	0.44123885
PABPC1	PABPC1-I1	guide4	500	0.28306893	0.22361763	0.46863512	0.32510723	0.77159318	0.74681741	0.82271537	0.78037532	27	26	16	7	0.43016353
PABPC1	PABPC1-I1	guide22	500	0.22923958	0.18238249	0.43283452	0.28148553	0.72904177	0.74579818	0.79043362	0.75509119	32	31	17	12	0.37274921
PABPC1	PABPC1-I1	guide20	500	0.20145942	0.17383884	0.42708444	0.26746090	0.53959762	0.68681881	0.64027434	0.62223026	28	26	18	23	0.31679544
PABPC1	PABPC1-I1	guide3	500	0.21301102	0.15751733	0.42196263	0.26416366	0.77943459	0.71627117	0.83053114	0.77541230	29	27	19	9	0.36447551
PABPC1	PABPC1-I1	guide1	500	0.19899201	0.21678682	0.35088987	0.25555623	0.31268610	0.52620851	0.44510614	0.42800025	23	20	20	27	0.26775627
PABPC1	PABPC1-I1	guide31	500	0.20272116	0.15300292	0.33694617	0.23089008	0.27016011	0.41809100	0.38435092	0.35753401	23	22	21	29	0.22852018
PABPC1	PABPC1-I1	guide21	500	0.19842657	0.14309923	0.34007968	0.22720182	0.48242053	0.48397332	0.57826648	0.51488678	21	19	22	26	0.25443484
PABPC1	PABPC1-I1	guide8	500	0.15640860	0.11529089	0.29419539	0.18863163	-0.15951985	0.20802103	-0.03911657	0.00312820	21	17	23	30	0.13110086
PABPC1	PABPC1-I1	guide29	500	0.13031036	0.06314934	0.33292248	0.17546073	0.73951142	0.72573103	0.79612910	0.75379052	29	27	24	14	0.26252931
PABPC1	PABPC1-I1	guide11	500	0.07556666	0.08744147	0.28929663	0.15076825	0.71243838	0.70202874	0.77652715	0.73033143	19	18	25	16	0.23031797
PABPC1	PABPC1-I1	guide9	500	0.10381150	0.04283844	0.25901614	0.13522203	0.65576685	0.69193108	0.72638642	0.69136145	12	8	26	20	0.20092625
PABPC1	PABPC1-I1	guide10	500	0.04964803	0.04851869	0.16746327	0.08854333	0.69702185	0.67636681	0.76239727	0.71192864	14	11	27	19	0.15933262
PABPC1	PABPC1-I1	guide24	500	0.04501757	0.04170525	0.16252821	0.08308368	0.72224248	0.64400302	0.78108840	0.71577797	16	11	28	17	0.15845037
PABPC1	PABPC1-I1	guide32	500	0.07980087	0.03505550	0.06492898	0.05992845	-0.43338665	-0.11908205	-0.42714801	-0.32653890	6	4	29	32	-0.05105239
PABPC1	PABPC1-I1	guide6	500	0.00878467	-0.00666751	0.02897124	0.01036280	0.39267568	0.32175758	0.44948913	0.38797413	17	8	30	28	0.01455892
PABPC1	PABPC1-I1	guide7	500	-0.02715119	-0.13670320	0.03288023	-0.04365805	0.61056151	0.50940498	0.67906137	0.59967595	18	9	31	24	0.00029334
PABPC1	PABPC1-I1	guide2	500	-0.08380670	-0.08704048	-0.07583778	-0.08222832	-0.07886381	-0.09348993	-0.11409020	-0.09548131	19	5	32	31	-0.15655051
NUDT21	NUDT21-I3	guide13	500	0.82731421	0.81568589	0.82460258	0.82253423	0.73748557	0.87052622	0.74839423	0.78546867	61	61	1	2	0.93835453
NUDT21	NUDT21-I3	guide19	500	0.75179420	0.74465895	0.73453235	0.74366183	0.76296566	0.82281032	0.79718990	0.79432196	42	42	2	1	0.86281012
NUDT21	NUDT21-I3	guide27	500	0.56415771	0.54834527	0.52964007	0.54738101	0.78860209	0.69713100	0.81912464	0.76828591	24	24	3	3	0.65862390
NUDT21	NUDT21-I3	guide12	500	0.52767968	0.52454466	0.49365663	0.51529366	0.70571777	0.65362538	0.75026125	0.70320147	27	27	4	5	0.61277388
NUDT21	NUDT21-I3	guide16	500	0.53947067	0.52835347	0.46310848	0.51031088	0.62868705	0.63423707	0.68685370	0.64992594	25	24	5	10	0.58979977
NUDT21	NUDT21-I3	guide26	500	0.51809526	0.52002525	0.46000552	0.49937534	0.59491271	0.64443397	0.65853513	0.63262727	27	25	6	12	0.57226943
NUDT21	NUDT21-I3	guide30	500	0.50446332	0.49391708	0.47727856	0.49188632	0.73377429	0.65695420	0.77323030	0.72131959	21	20	7	4	0.59408426
NUDT21	NUDT21-I3	guide4	500	0.48548722	0.50328019	0.43806639	0.47561126	0.58653896	0.64029480	0.65095968	0.62593115	26	24	8	14	0.54350094
NUDT21	NUDT21-I3	guide25	500	0.47988821	0.48464095	0.43578968	0.46677294	0.63352871	0.64336044	0.68989882	0.65559599	19	19	9	9	0.54911234
NUDT21	NUDT21-I3	guide28	500	0.47666295	0.46117980	0.45223674	0.46335983	0.65875507	0.61063001	0.71019561	0.65986023	26	24	10	8	0.54833886
NUDT21	NUDT21-I3	guide3	500	0.42578209	0.44158074	0.39138292	0.41958192	0.68445988	0.64159221	0.73300460	0.68635223	18	18	11	7	0.51053475
NUDT21	NUDT21-I3	guide15	500	0.41289873	0.40150001	0.38960992	0.40133622	0.60388741	0.63238888	0.66495147	0.63374259	21	20	12	11	0.47639761
NUDT21	NUDT21-I3	guide29	500	0.40801213	0.41729418	0.37602136	0.40044256	0.56455665	0.62042081	0.63303870	0.60600539	24	23	13	18	0.45734337
NUDT21	NUDT21-I3	guide23	500	0.41199571	0.40305444	0.37090519	0.39531845	0.49974322	0.61888075	0.57776744	0.56546380	22	21	14	22	0.43813802
