cluster	ref	rank	genes	scores	logfoldchanges	pvals	pvals_adj
CDC73-I2	rest	0	TMSB10	8.42401	64.62355	2.9034727757178683e-13	4.314923478813717e-10
CDC73-I2	rest	1	MARCKSL1	7.8707647	20.798462	1.8430271446849312e-12	1.3694843576974467e-09
CDC73-I2	rest	2	CALM1	7.8144107	30.490255	5.369861523351276e-12	2.901921984141969e-09
CDC73-I2	rest	3	NEU1	7.306277	6.002595	6.340005326764387e-11	1.9327262392282513e-08
CDC73-I2	rest	4	MAP1LC3B	7.153024	10.48441	1.032009545693662e-10	2.5039921405616218e-08
CDC73-I2	rest	5	NXF1	6.8598375	3.580491	4.3572594886458243e-10	6.317494885428074e-08
CDC73-I2	rest	6	DYNLL2	6.454768	4.222664	2.668342758314358e-09	2.7828006187367895e-07
CDC73-I2	rest	7	RSRP1	5.8517194	3.7473412	4.460292632528501e-08	2.363973262428026e-06
CDC73-I2	rest	8	TSPYL2	5.7075906	2.9836473	1.0355071770781499e-07	4.593710756821688e-06
CDC73-I2	rest	9	HEXIM1	5.5577016	3.4231813	1.6809719974965283e-07	6.8208450778963226e-06
CPSF1-I3	rest	0	ITGA10	8.344153	2.5039835	8.242407085972081e-16	6.762869416502559e-15
CPSF1-I3	rest	1	NEAT1	8.286179	51.124973	1.2931996822317572e-15	1.0416565733098483e-14
CPSF1-I3	rest	2	LINC01089	6.942944	1.8457248	1.3218721261656674e-11	6.744951806001554e-11
CPSF1-I3	rest	3	IER3-AS1	5.9371266	2.0034542	6.208356413639857e-09	2.2676236375350004e-08
CPSF1-I3	rest	4	SYNC	4.8104258	1.0184046	1.931183501402829e-06	5.106726122815443e-06
CPSF1-I3	rest	5	C12orf76	4.664302	1.2005918	3.947295742595319e-06	9.934250441091395e-06
CPSF1-I3	rest	6	LHFPL4	4.4238424	2.3035016	1.2292946072009215e-05	2.876558006051041e-05
CPSF1-I3	rest	7	MT-ND2	4.3486533	22.900167	1.6343090441517586e-05	3.7488520597955354e-05
CPSF1-I3	rest	8	CU638689.4	4.312002	1.0219461	1.9027925875270294e-05	4.3329440860197e-05
CPSF1-I3	rest	9	AC079841.2	4.1993594	1.7434783	3.185749039711319e-05	7.047891762770352e-05
CPSF2-I1	rest	0	HIST1H1C	10.971245	24.68236	3.594423206160467e-21	4.273409749804179e-18
CPSF2-I1	rest	1	HIST1H4H	9.846463	8.494338	3.8140668857986586e-18	2.159306724060012e-15
CPSF2-I1	rest	2	HIST1H2AC	9.419963	5.749813	3.2738978152240996e-17	1.3421852112137697e-14
CPSF2-I1	rest	3	HIST3H2A	8.103929	4.0836673	2.2593412722433534e-14	4.197079435265817e-12
CPSF2-I1	rest	4	NEAT1	6.809848	64.78114	9.183550759439937e-11	5.249193989374107e-09
CPSF2-I1	rest	5	ITGA10	5.8549376	2.4523017	1.633843036980226e-08	4.0300331673564124e-07
CPSF2-I1	rest	6	PPP1R3F	5.191033	2.2556124	4.7656591714802785e-07	7.117955011272492e-06
CPSF2-I1	rest	7	HIST1H2BJ	4.972801	2.2486317	1.2995260600347668e-06	1.6978093766761915e-05
CPSF2-I1	rest	8	HIST1H2BD	4.7220745	2.4916272	4.3161769043295885e-06	4.720793672085968e-05
CPSF2-I1	rest	9	HIST1H3H	4.5439477	2.2303076	9.314626123040665e-06	9.099555462352544e-05
CPSF3-I3	rest	0	HIST1H1C	8.938765	10.389868	1.231131596664373e-16	2.439487258790455e-14
CPSF3-I3	rest	1	HIST1H4H	8.46035	5.695168	1.1978487809256775e-14	1.2602853235774673e-12
CPSF3-I3	rest	2	PPP1R3F	7.082822	3.041779	3.621439965506333e-11	1.2663323455854351e-09
CPSF3-I3	rest	3	ITGA10	7.04789	3.3420317	5.031988529429302e-11	1.671098090122485e-09
CPSF3-I3	rest	4	HIST1H2AC	6.646472	4.4851866	5.214752321655445e-10	1.2809543461190408e-08
CPSF3-I3	rest	5	NEAT1	6.215466	61.272766	3.074534480421565e-09	6.01202967725855e-08
CPSF3-I3	rest	6	HIST3H2A	4.269886	3.05607	3.18955355177652e-05	0.00019699014117958988
CPSF3-I3	rest	7	AL683813.1	4.2186117	1.70857	3.657745354399356e-05	0.0002226673554452327
CPSF3-I3	rest	8	SLC16A4	4.201552	1.4791021	3.8749220286915904e-05	0.00023409018292232882
CPSF3-I3	rest	9	RBM26-AS1	3.9994397	1.5774734	8.647466186022037e-05	0.0004726883930373149
CPSF3L-I8	rest	0	SNHG1	6.418405	19.552938	1.3782400935459662e-07	0.0005002203532317876
CPSF3L-I8	rest	1	GAS5	6.0595493	22.95208	4.88166353833847e-07	0.0006448677534145119
CPSF3L-I8	rest	2	ZFAS1	5.6965556	20.237534	1.2799178593345576e-06	0.001086924530687754
CPSF3L-I8	rest	3	PDRG1	5.009842	5.8172803	8.982608676144024e-06	0.003536064399406723
CPSF3L-I8	rest	4	SNHG6	4.943537	9.245463	9.366009579720172e-06	0.003536064399406723
CPSF3L-I8	rest	5	SLC3A2	4.8500123	24.636948	2.3169524271944025e-05	0.005988314653677012
CPSF3L-I8	rest	6	Z93241.1	4.7788234	6.6103067	3.4927708803444865e-05	0.007550100544802836
CPSF3L-I8	rest	7	SNHG17	4.752589	5.63711	2.4690116407498582e-05	0.006245548807845758
CPSF3L-I8	rest	8	EIF5	4.742418	18.958145	1.547756679066961e-05	0.004381256942244547
