rank	gene_set	term	overlap	p_value	adjusted_p_value	odds_ratio	combined_score	genes
1	Aging_Perturbations_from_GEO_down	Mouse peripheral adipocyte 6 months vs 18 months GSE25905 aging:298	17/388	5.519052355028119e-11	1.4735869787925076e-08	9.413789189956022	222.35586444688917	CD53;BTG2;NCF1;IL4RA;CYBB;KLF2;EPS8;SOCS3;NR4A1;ZFP36;NR4A3;CCRL2;BCL3;FYN;WFDC17;TGFBI;C1QC
2	Aging_Perturbations_from_GEO_down	Human CD4+Tlymphocytes 25 years vs 64 years GSE62374 aging:130	16/359	1.660059766896206e-10	2.2161797888064353e-08	9.497084548104956	213.86482152520213	SRGN;CYBB;FOS;NR4A2;SOCS3;DOK2;ZEB2;MAFB;ID2;NINJ1;BCL3;MYADM;TGFBI;IER5;TMEM106A;HSPA1A
3	Aging_Perturbations_from_GEO_down	Mouse peripheral adipocyte 14 months vs 18 months GSE25905 aging:299	18/516	5.762037945343811e-10	5.128213771355992e-08	7.45578056908485	158.61844888564676	CD53;NCF1;CLEC4N;CD180;SDC3;CYBB;KLF2;EPS8;MAFB;TSPAN13;NINJ1;CD38;FYN;LY6A;WFDC17;TGFBI;LGMN;C1QC
4	Aging_Perturbations_from_GEO_down	Mouse tumor tissue 143 days vs 551 days GSE45606 aging:235	12/259	2.4198237665886933e-08	1.6152323641979523e-06	9.542186234817814	167.34118669717768	ZFP36;MRPS24;SSR2;SDC3;CDK2AP2;TSPO;LY6A;MT1;FOS;NEAT1;MS4A6D;LGMN
5	Aging_Perturbations_from_GEO_down	Mouse liver 6 months vs 26 months GSE20426 aging:374	10/182	7.715093839261924e-08	4.119860110165867e-06	11.238030095759234	184.05086143684252	NR4A1;XBP1;BTG2;MAFB;BCL3;NEAT1;CRELD2;FKBP5;MANF;GPR146
6	Aging_Perturbations_from_GEO_down	Mouse liver 4 months vs 10 months GSE3150 aging:324	11/239	1.0242781641609037e-07	4.5580378305160206e-06	9.391175959701233	151.14259560219014	NR4A1;ZFP36;LDHA;BTG2;RNF149;ID2;MT1;FOS;CYP7B1;CRELD2;MANF
7	Aging_Perturbations_from_GEO_down	Mouse skeletal muscle precursor 12 months vs 24 months GDS4892 aging:9	10/224	5.30934626209519e-07	1.8329976368877177e-05	9.013194062671795	130.2282785292386	SOCS3;NR4A1;COX7A2L;DDX5;ID2;MYADM;CALR;FOS;PABPC1;HSPA1A
8	Aging_Perturbations_from_GEO_down	Rat femur 6 weeks vs 26 weeks GDS509 aging:256	13/413	5.492127750974435e-07	1.8329976368877177e-05	6.3975757575757575	92.21964645207268	SRGN;CD53;BTG2;PDIA6;ATP5G1;CCND3;COX7A2L;DAD1;ID2;MYADM;TSPO;FYN;CALR
9	Aging_Perturbations_from_GEO_down	Rat ventricle 4 months vs 21 months GDS399 aging:112	11/352	4.618059240338573e-06	0.00013700242413004437	6.243053337591824	76.69925664737791	SOCS3;CCND3;COX7A2L;LDHA;BTG2;PSMB5;DAD1;CFL1;MYADM;CALR;ATP5G1
10	Aging_Perturbations_from_GEO_down	Human CD4+Tlyphocytes 61 years vs 72 years GSE62373 aging:184	11/363	6.184646079466906e-06	0.00015758319654482735	6.044554455445544	72.49500587963192	LYN;NR4A2;SOCS3;BTG2;MAFB;NR4A3;ID2;NINJ1;MYADM;MCEMP1;FOS
