rank	gene_set	term	overlap	p_value	adjusted_p_value	odds_ratio	combined_score	genes
1	Drug_Perturbations_from_GEO_up	imatinib DB00619 mouse GSE51698 sample 2522	22/288	5.041128619108039e-19	4.3807407700048863e-16	18.031913116123643	759.7113090251722	LYN;SRGN;CD53;BTG2;CLEC4N;H2-DMA;CYBB;FOS;KLF2;SOCS3;NR4A1;ZFP36;COX7A2L;RNF149;ID2;CCRL2;PMAIP1;PABPC1;IER5;LGMN;C1QC;HSPA1A
2	Drug_Perturbations_from_GEO_up	PRISTANE 15979 mouse GSE17297 sample 3226	21/333	1.7237666175474263e-16	7.48976595324357e-14	14.4792899408284	525.5526107084715	SRGN;CD53;IFITM1;IFITM2;NCF1;MT1;FOS;MS4A6D;KLF2;MANF;SOCS3;ZFP36;LAMP2;CFL1;CD38;LY6A;WFDC17;CALR;PABPC1;LGMN;C1QC
3	Drug_Perturbations_from_GEO_up	PRISTANE 15979 mouse GSE17297 sample 3230	20/325	1.5520293173641201e-15	4.495711589298068e-13	13.957947255880256	475.9550176833587	SRGN;CD53;IFITM1;IFITM2;RNH1;NCF1;SDC3;CYBB;MS4A6D;PSMB8;KLF2;MANF;CFL1;CD38;LY6A;WFDC17;CALR;TMEM106A;LGMN;C1QC
4	Drug_Perturbations_from_GEO_up	bleomycin DB00290 mouse GSE2640 sample 2851	19/329	2.6775103070075844e-14	5.816891141973977e-12	12.902601456815816	403.2231196029349	CD53;EIF5A;PTPN1;PRELID1;XBP1;IFITM2;RNH1;CLEC4N;MT1;SOCS3;LDHA;RNF149;CFL1;NINJ1;TGFBI;CALR;FKBP5;LGMN;C1QC
5	Drug_Perturbations_from_GEO_up	Lipopolysaccharide 11970143 mouse GSE2002 sample 3603	17/257	7.561478845372528e-14	1.3141850233257452e-11	14.64982456140351	442.6169736169227	SRGN;CD53;CLEC4N;CYBB;MT1;MS4A6D;PSMB8;MRPL52;SOCS3;ZFP36;COX7A2L;FABP5;RNF149;CFL1;NINJ1;MYADM;TSPO
6	Drug_Perturbations_from_GEO_up	SODIUM BUTYRATE 5222465 mouse GSE4410 sample 3582	18/311	1.312182278240605e-13	1.9004773329851428e-11	12.806259530898265	379.85817650566986	CDKN2D;PTPN1;BTG2;SSR2;PRKCD;MT1;FOS;NEAT1;MANF;NR4A1;CCND3;DAD1;ID2;CDK2AP2;TXNIP;PMAIP1;CALR;CRELD2
7	Drug_Perturbations_from_GEO_up	PRISTANE 15979 mouse GSE17297 sample 3227	19/374	2.6675435533671257e-13	2.911447155598632e-11	11.241163107678329	325.4591923293394	SRGN;CD53;IFITM1;IFITM2;RNH1;NCF1;CYBB;MS4A6D;SOCS3;ZFP36;FABP5;RNF149;CFL1;NINJ1;LY6A;WFDC17;TGFBI;LGMN;C1QC
8	Drug_Perturbations_from_GEO_up	soman 7305 rat GSE13428 sample 2635	21/483	2.680273560965369e-13	2.911447155598632e-11	9.703296703296704	280.8879991791348	CD53;IFITM1;BTG2;IFITM2;MVP;PRKCD;CYBB;FOS;CST7;VAV1;PSMB8;NR4A2;SOCS3;NR4A1;ZFP36;MAFB;BCL3;TSPO;TGFBI;C1QC;HSPA1A
9	Drug_Perturbations_from_GEO_up	PRISTANE 15979 mouse GSE17297 sample 3229	17/291	5.713844977804671e-13	5.517034761902511e-11	12.809757971571264	361.1162238433853	SRGN;CD53;IFITM1;IFITM2;RNH1;NCF1;CYBB;MS4A6D;PSMB8;MANF;RNF149;NINJ1;LY6A;WFDC17;TGFBI;LGMN;C1QC
10	Drug_Perturbations_from_GEO_up	bleomycin DB00290 mouse GSE43695 sample 3104	17/311	1.6664346479303e-12	1.4481317090514308e-10	11.926172574292876	323.44179206095856	NCF1;CLEC4N;GPR35;IL4RA;RAB3IL1;MT1;FOS;CYP7B1;VAV1;MS4A6D;SOCS3;MAFB;WFDC17;TGFBI;FKBP5;LGMN;C1QC
11	Drug_Perturbations_from_GEO_up	propofol DB00818 human GSE4386 sample 2804	17/323	3.0545034564186242e-12	2.413057730570713e-10	11.451461988304091	303.6286903643292	SRGN;DDX5;BTG2;IFITM2;FOS;NEAT1;NR4A2;SOCS3;NR4A1;ZFP36;LDHA;NR4A3;MYADM;TXNIP;TGFBI;IER5;HSPA1A
12	Drug_Perturbations_from_GEO_up	CONCANAVALIN A 596316 mouse GSE17184 sample 3367	15/233	3.629210204447637e-12	2.628153056387497e-10	13.952993473943062	367.54983872746976	SRGN;PTPN1;XBP1;IFITM2;MT1;MANF;SOCS3;ZFP36;LDHA;EIF6;FABP5;BCL3;LY6A;CALR;CRELD2
13	Drug_Perturbations_from_GEO_up	adenosine triphosphate 5957 human GSE30903 sample 3220	15/246	7.913658996407e-12	5.289976667598217e-10	13.159057437407952	336.3774959600098	SRGN;CD53;FOS;NR4A2;SOCS3;ZFP36;LDHA;RNF149;ID2;NINJ1;TXNIP;PMAIP1;TGFBI;PABPC1;IER5
14	Drug_Perturbations_from_GEO_up	quercetin 5280343 human GSE13899 sample 3182	16/307	1.624568533004547e-11	1.0083928965578223e-09	11.22394043528064	278.8385269906615	LYN;SRGN;CD53;IFITM1;DDX5;IFITM2;CYBB;FOS;NEAT1;KLF2;MAFB;DNAJC7;ID2;TXNIP;PABPC1;HSPA1A
15	Drug_Perturbations_from_GEO_up	sevoflurane DB01236 human GSE4386 sample 2816	17/390	5.979598651321916e-11	3.464180818665829e-09	9.362353605192606	220.39057693812697	SRGN;DDX5;BTG2;MRPS24;FOS;BZW2;ATP5G1;NR4A2;SOCS3;ZFP36;LDHA;NR4A3;CFL1;MYADM;TXNIP;IER5;HSPA1A
16	Drug_Perturbations_from_GEO_up	Phosgene 6371 mouse GSE2565 sample 3613	16/341	7.772486644477341e-11	4.221431808781756e-09	10.032307692307691	233.53051226511997	BTG2;RNH1;MT1;FOS;NEAT1;KLF2;MANF;SOCS3;NR4A1;ZFP36;PSMB5;EIF6;TXNIP;LY6A;FKBP5;HSPA1A
17	Drug_Perturbations_from_GEO_up	4-Hydroxytamoxifen 449459 human GSE26298 sample 3240	16/350	1.1422085493955811e-10	5.838701349557412e-09	9.75748502994012	223.3770043187648	DDX5;PRELID1;IFITM2;MRPS24;SSR2;NEAT1;PDIA6;ATP5G1;HSD17B10;COX7A2L;LDHA;TSPAN13;DAD1;DNAJB11;TXNIP;HSPA1A
18	Drug_Perturbations_from_GEO_up	Caerulein 16132921 mouse GSE3644 sample 3585	17/412	1.4015929538180398e-10	6.766579315932648e-09	8.830939373750832	200.35848532476675	EIF5A;DDX5;XBP1;BTG2;RNH1;MT1;FOS;NEAT1;SOCS3;ZFP36;LDHA;SPINT1;EIF6;FABP5;CFL1;LY6A;IER5
19	Drug_Perturbations_from_GEO_up	soman 7305 rat GSE13428 sample 2632	18/476	1.5760316447933407e-10	7.208271049081122e-09	8.123664405834804	183.35874886670743	IFITM1;BTG2;MVP;PRKCD;FOS;CST7;PSMB8;NR4A2;SOCS3;NR4A1;ZFP36;MAFB;NR4A3;BCL3;TSPO;TGFBI;C1QC;HSPA1A
20	Drug_Perturbations_from_GEO_up	Mehp 20393 rat GSE4514 sample 3580	15/306	1.7305577500228456e-10	7.519273423849265e-09	10.413965352322244	234.07893952562588	IFITM1;XBP1;BTG2;FOS;PDIA6;NR4A1;ZFP36;LDHA;EIF6;FABP5;CFL1;NINJ1;CALR;PABPC1;LGMN
