                                 Started job on |	Aug 11 01:04:39
                             Started mapping on |	Aug 11 01:11:06
                                    Finished on |	Aug 11 01:11:26
       Mapping speed, Million of reads per hour |	179.93

                          Number of input reads |	999593
                      Average input read length |	107
                                    UNIQUE READS:
                   Uniquely mapped reads number |	837548
                        Uniquely mapped reads % |	83.79%
                          Average mapped length |	106.16
                       Number of splices: Total |	281971
            Number of splices: Annotated (sjdb) |	0
                       Number of splices: GT/AG |	279509
                       Number of splices: GC/AG |	1775
                       Number of splices: AT/AC |	149
               Number of splices: Non-canonical |	538
                      Mismatch rate per base, % |	0.41%
                         Deletion rate per base |	0.01%
                        Deletion average length |	1.69
                        Insertion rate per base |	0.01%
                       Insertion average length |	1.31
                             MULTI-MAPPING READS:
        Number of reads mapped to multiple loci |	145780
             % of reads mapped to multiple loci |	14.58%
        Number of reads mapped to too many loci |	419
             % of reads mapped to too many loci |	0.04%
                                  UNMAPPED READS:
  Number of reads unmapped: too many mismatches |	0
       % of reads unmapped: too many mismatches |	0.00%
            Number of reads unmapped: too short |	15786
                 % of reads unmapped: too short |	1.58%
                Number of reads unmapped: other |	60
                     % of reads unmapped: other |	0.01%
                                  CHIMERIC READS:
                       Number of chimeric reads |	0
                            % of chimeric reads |	0.00%
