                                 Started job on |	Aug 11 00:51:55
                             Started mapping on |	Aug 11 00:57:22
                                    Finished on |	Aug 11 00:57:50
       Mapping speed, Million of reads per hour |	128.58

                          Number of input reads |	1000048
                      Average input read length |	107
                                    UNIQUE READS:
                   Uniquely mapped reads number |	838104
                        Uniquely mapped reads % |	83.81%
                          Average mapped length |	106.16
                       Number of splices: Total |	282266
            Number of splices: Annotated (sjdb) |	0
                       Number of splices: GT/AG |	279729
                       Number of splices: GC/AG |	1819
                       Number of splices: AT/AC |	165
               Number of splices: Non-canonical |	553
                      Mismatch rate per base, % |	0.41%
                         Deletion rate per base |	0.01%
                        Deletion average length |	1.69
                        Insertion rate per base |	0.01%
                       Insertion average length |	1.30
                             MULTI-MAPPING READS:
        Number of reads mapped to multiple loci |	145656
             % of reads mapped to multiple loci |	14.56%
        Number of reads mapped to too many loci |	417
             % of reads mapped to too many loci |	0.04%
                                  UNMAPPED READS:
  Number of reads unmapped: too many mismatches |	0
       % of reads unmapped: too many mismatches |	0.00%
            Number of reads unmapped: too short |	15821
                 % of reads unmapped: too short |	1.58%
                Number of reads unmapped: other |	50
                     % of reads unmapped: other |	0.00%
                                  CHIMERIC READS:
                       Number of chimeric reads |	0
                            % of chimeric reads |	0.00%
