record_type	metric_or_tf	winner_or_wins	winner_value_or_mean_rank	runner_up	runner_up_value	gap
metric	q01_strict_summit_closed_fraction	TF4	0.9448611392661667	TF1	0.8518037892551259	0.09305735001104076
metric	q01_strict_summit_closed_signal_fraction	TF4	0.9427494571085564	TF1	0.8466505087963616	0.09609894831219479
metric	q01_strict_peak_closed_fraction	TF4	0.8557764959548864	TF1	0.752854918245523	0.10292157770936339
metric	q01_liberal_summit_closed_fraction	TF4	0.9273077419235943	TF1	0.8161173111860888	0.11119043073750556
metric	q01_liberal_summit_closed_signal_fraction	TF4	0.9247220710735589	TF1	0.810316953683736	0.11440511738982284
metric	q01_liberal_peak_closed_fraction	TF4	0.8126255459521221	TF1	0.696113418115754	0.1165121278363681
metric	q001_strict_summit_closed_fraction	TF4	0.9404397018201083	TF1	0.8444347757297682	0.09600492609034006
metric	q001_strict_summit_closed_signal_fraction	TF4	0.9390554438089087	TF1	0.8408832893302254	0.09817215447868333
metric	q001_strict_peak_closed_fraction	TF4	0.8463566302140487	TF1	0.7432560715133296	0.1031005587007191
metric	q001_liberal_summit_closed_fraction	TF4	0.9216457915515698	TF1	0.8082825725812831	0.11336321897028667
metric	q001_liberal_summit_closed_signal_fraction	TF4	0.92000198014954	TF1	0.8041336552570156	0.11586832489252441
metric	q001_liberal_peak_closed_fraction	TF4	0.8016800998978317	TF1	0.6866545368246183	0.11502556307321343
metric	top1000_qlog_strict_summit_closed_fraction	TF4	0.913	TF1	0.802	0.11099999999999999
metric	top1000_signal_strict_summit_closed_fraction	TF4	0.913	TF1	0.814	0.09900000000000009
metric	top1000_qlog_liberal_summit_closed_fraction	TF4	0.882	TF1	0.76	0.122
metric	top1000_signal_liberal_summit_closed_fraction	TF4	0.888	TF1	0.771	0.11699999999999999
metric	top5000_qlog_strict_summit_closed_fraction	TF4	0.921	TF1	0.8092	0.11180000000000001
metric	top5000_signal_strict_summit_closed_fraction	TF4	0.927	TF1	0.817	0.1100000000000001
metric	top5000_qlog_liberal_summit_closed_fraction	TF4	0.8952	TF1	0.7696	0.12560000000000004
metric	top5000_signal_liberal_summit_closed_fraction	TF4	0.9022	TF1	0.7776	0.12460000000000004
consensus	TF1	0	2.0	.	.	.
consensus	TF2	0	4.45	.	.	.
consensus	TF3	0	6.0	.	.	.
consensus	TF4	20	1.0	.	.	.
consensus	TF5	0	4.0	.	.	.
consensus	TF6	0	3.55	.	.	.
