file	fragments	observed_columns	invalid_rows	nonpositive_lengths	primary_chrom_fragments	nonprimary_chrom_fragments	min_fragment_length	max_fragment_length	mean_fragment_length
TF1.control1.bed.gz	37039899	7	0	0	36843392	196507	25	2001	193.859690681122
TF1.control2.bed.gz	45007567	7	0	0	44772042	235525	24	2000	186.29959322173536
TF1.rep1.bed.gz	30262780	7	0	0	30191795	70985	28	2000	296.5555809479499
TF1.rep2.bed.gz	34212511	7	0	0	34128746	83765	25	2000	297.19884015528703
TF2.control1.bed.gz	26894612	7	0	0	26741226	153386	24	2000	209.80351313489854
TF2.control2.bed.gz	26693947	7	0	0	26542856	151091	25	2000	213.11125147584957
TF2.rep1.bed.gz	9520602	7	0	0	9499030	21572	24	2000	293.11524355287617
TF2.rep2.bed.gz	18620491	7	0	0	18579374	41117	25	2000	264.11471464420566
TF3.control1.bed.gz	23274203	7	0	0	23107844	166359	26	2000	209.0630125981113
TF3.control2.bed.gz	13216643	7	0	0	13127937	88706	25	2000	214.50805268781187
TF3.rep1.bed.gz	15298277	7	0	0	15265068	33209	25	2000	235.7597303931678
TF3.rep2.bed.gz	17189525	7	0	0	17149104	40421	24	1999	267.9448418150007
TF4.control1.bed.gz	28277779	7	0	0	28074467	203312	24	2002	238.32536536904118
TF4.control2.bed.gz	23754574	7	0	0	23582552	172022	23	2002	249.79099667289339
TF4.rep1.bed.gz	26225809	7	0	0	26197761	28048	24	2000	302.33941465828565
TF4.rep2.bed.gz	19481343	7	0	0	19460461	20882	24	2001	329.5650194650338
TF5.control.bed.gz	16452140	7	0	0	16378371	73769	24	2002	207.5755211176175
TF5.rep1.bed.gz	16135021	7	0	0	16109471	25550	26	2000	225.53464777021364
TF5.rep2.bed.gz	14755327	7	0	0	14715235	40092	24	2000	225.19325590005562
TF6.control.bed.gz	16833124	7	0	0	16709615	123509	25	2000	204.50784928572972
TF6.rep1.bed.gz	8156838	7	0	0	8143679	13159	29	2003	268.7043701247959
TF6.rep2.bed.gz	5302061	7	0	0	5291122	10939	25	2000	283.56802854588057
