mode	metric	subset	genes	permutation	objective	global_gap	min_row_gap
tss10	pearson	all	20134	5;1;4;0;6;3;7;2	0.33477962	0.0021704053	0.0033539177
tss10	pearson	A	10063	5;1;4;0;6;3;7;2	0.33106597	0.0024591857	0.0025658427
tss10	pearson	B	10071	5;1;4;0;6;3;7;2	0.33849031	0.0018818542	0.0041413666
tss10	rank	all	20134	5;1;4;0;6;3;7;2	0.30712185	0.0011963476	0.0031689715
tss10	rank	A	10063	5;1;4;0;6;3;7;2	0.3054281	0.0021337423	0.0017920945
tss10	rank	B	10071	5;1;4;0;6;3;7;2	0.30881425	0.00025969746	0.0045447548
tss50	pearson	all	20135	5;1;4;0;6;3;7;2	0.33578345	0.007705288	0.0013297224
tss50	pearson	A	10063	5;1;4;0;6;3;7;2	0.33237144	0.0074565118	0.0013827212
tss50	pearson	B	10072	5;1;4;0;6;3;7;2	0.33919241	0.007953842	0.0012767709
tss50	rank	all	20135	5;1;4;0;6;3;7;2	0.30746967	0.0048624979	0.00099387774
tss50	rank	A	10063	5;1;4;0;6;3;7;2	0.30657582	0.0053675332	0.00022180769
tss50	rank	B	10072	5;1;4;0;6;3;7;2	0.30836272	0.0043579138	0.0017652579
body20	pearson	all	20135	5;1;4;0;6;3;7;2	0.35395224	0.0088807063	0.0013441256
body20	pearson	A	10063	5;1;4;0;6;3;7;2	0.34975524	0.0085437659	0.0012245961
body20	pearson	B	10072	5;1;4;0;6;3;7;2	0.3581455	0.0092173457	0.0014635483
body20	rank	all	20135	5;1;4;0;6;3;7;2	0.32480391	0.0069707961	0.00016586323
body20	rank	A	10063	5;1;4;0;6;3;7;2	0.32282552	0.0070241277	2.0161662e-06
body20	rank	B	10072	5;1;4;0;6;3;7;2	0.32678054	0.0069175122	0.00033359262

score_matrices_all
tss10/pearson
0.008083	0.026760	-0.023152	-0.015349	0.003938	0.032284	-0.006692	-0.025872
-0.002458	0.034973	-0.025996	-0.016187	0.008167	0.038327	-0.002050	-0.034777
-0.006838	0.006315	-0.010253	-0.004659	0.047792	0.001359	-0.011607	-0.022108
0.031212	0.003270	-0.023412	-0.000984	0.002040	0.019606	-0.008041	-0.023691
0.000063	0.003160	-0.009222	0.004329	-0.008370	-0.001953	0.019974	-0.007981
0.011069	-0.013339	-0.011571	0.028128	-0.007499	-0.020838	0.004845	0.009203
-0.016299	-0.034308	0.031046	0.018013	-0.015498	-0.052382	0.001571	0.067857
-0.024831	-0.026831	0.072559	-0.013292	-0.030571	-0.016404	0.002000	0.037370
tss10/rank
0.010155	0.029723	-0.023581	-0.018561	0.004829	0.034089	-0.008025	-0.028629
-0.004377	0.037355	-0.023714	-0.019797	0.009002	0.040524	-0.001918	-0.037074
-0.003633	0.007380	-0.010450	-0.004383	0.041296	0.003438	-0.013099	-0.020549
0.026581	0.004055	-0.020487	-0.002050	0.003655	0.020154	-0.010189	-0.021718
-0.002761	0.000885	-0.004006	0.004190	-0.011645	-0.003645	0.020395	-0.003414
0.008650	-0.017294	-0.006206	0.030198	-0.009315	-0.024546	0.004020	0.014493
-0.015883	-0.037931	0.035080	0.018423	-0.014817	-0.052418	0.003702	0.063845
-0.018732	-0.024173	0.053364	-0.008020	-0.023005	-0.017595	0.005115	0.033047
tss50/pearson
0.004924	0.027786	-0.019615	-0.018897	0.001758	0.036821	-0.004202	-0.028576
-0.000919	0.033310	-0.024491	-0.015518	0.007827	0.034640	-0.002366	-0.032483
-0.016268	0.008423	-0.006808	-0.008298	0.050543	0.008642	-0.010900	-0.025335
0.036134	0.000604	-0.021556	0.001053	0.000551	0.011110	-0.009543	-0.018353
0.000330	0.002775	-0.009527	0.004708	-0.008692	-0.002440	0.021406	-0.008558
0.007815	-0.013180	-0.011462	0.028680	-0.008731	-0.020402	0.006123	0.011158
-0.024735	-0.031692	0.029599	0.016644	-0.013523	-0.042941	0.001618	0.065029
-0.007281	-0.028027	0.063860	-0.008372	-0.029732	-0.025430	-0.002136	0.037118
tss50/rank
0.007674	0.031150	-0.020429	-0.022780	0.003282	0.037006	-0.005269	-0.030634
-0.002168	0.035440	-0.022995	-0.018239	0.008863	0.036433	-0.002562	-0.034773
-0.013509	0.011049	-0.006147	-0.008755	0.043080	0.010340	-0.012330	-0.023727
0.030348	0.001396	-0.018951	0.001496	0.001587	0.012271	-0.011518	-0.016629
-0.001390	0.000074	-0.004785	0.003804	-0.011239	-0.004351	0.022154	-0.004268
0.006525	-0.017212	-0.007186	0.031151	-0.010122	-0.024415	0.005139	0.016120
-0.021202	-0.035933	0.033337	0.016921	-0.012195	-0.044759	0.002697	0.061134
-0.006278	-0.025963	0.047156	-0.003599	-0.023256	-0.022525	0.001689	0.032777
body20/pearson
0.004162	0.029107	-0.020142	-0.019808	0.001695	0.039332	-0.004417	-0.029929
-0.000396	0.035296	-0.025584	-0.016229	0.007866	0.036641	-0.002358	-0.035237
-0.017962	0.007978	-0.007535	-0.008017	0.052916	0.009274	-0.011523	-0.025131
0.038547	0.000006	-0.023460	0.001947	0.001396	0.011948	-0.009898	-0.020487
0.000686	0.002954	-0.009464	0.004661	-0.009613	-0.003237	0.022945	-0.008933
0.006721	-0.013985	-0.010916	0.029644	-0.008783	-0.020164	0.005989	0.011495
-0.026900	-0.033340	0.031917	0.016176	-0.014184	-0.045080	0.001324	0.070087
-0.004859	-0.028016	0.065184	-0.008374	-0.031294	-0.028713	-0.002062	0.038135
body20/rank
0.006857	0.032733	-0.021659	-0.023054	0.003433	0.039869	-0.005610	-0.032569
-0.000919	0.037911	-0.024616	-0.018635	0.008679	0.038077	-0.002723	-0.037776
-0.015305	0.010273	-0.007005	-0.008187	0.045479	0.011021	-0.012526	-0.023750
0.032225	0.000731	-0.020777	0.002776	0.002065	0.012912	-0.011769	-0.018164
-0.000949	0.000164	-0.004508	0.003866	-0.012600	-0.005618	0.023997	-0.004352
0.005807	-0.018062	-0.005847	0.031474	-0.010631	-0.024882	0.005407	0.016734
-0.022977	-0.038110	0.036077	0.016249	-0.012365	-0.046862	0.002475	0.065514
-0.004739	-0.025640	0.048335	-0.004490	-0.024060	-0.024518	0.000750	0.034362
