gene	parsimony_informative_percentage
1001705at2759	4.530201
1003258at2759	4.108310
100698at2759	4.821803
1010730at2759	6.000000
1014314at2759	8.131868
1018517at2759	6.956522
1019762at2759	4.575163
1025450at2759	6.902357
1030907at2759	4.275534
1032689at2759	4.069767
1038775at2759	0.000000
1041560at2759	5.405405
1049599at2759	0.000000
1051021at2759	3.142536
1053181at2759	0.000000
1057950at2759	4.810127
1065019at2759	6.511628
1076134at2759	5.217391
1079130at2759	6.394316
1079827at2759	7.954545
1085752at2759	0.000000
1087488at2759	6.525573
1090038at2759	0.000000
1094121at2759	7.968127
1096688at2759	6.029106
1106766at2759	0.000000
1107630at2759	6.153846
1108845at2759	0.000000
1111142at2759	0.000000
1112002at2759	5.688376
1115196at2759	6.890459
1128607at2759	7.377049
1129824at2759	8.588957
1138059at2759	4.416404
1157302at2759	6.072874
1161199at2759	4.748603
1173229at2759	0.000000
1178688at2759	5.676856
1182451at2759	7.337526
1193442at2759	5.643739
1194691at2759	6.250000
1194797at2759	6.658596
1197019at2759	9.448819
1200489at2759	5.660377
1217666at2759	6.481481
1220881at2759	6.614786
1222562at2759	4.554455
1223488at2759	5.841924
1228942at2759	9.352518
1233814at2759	8.982036
1236198at2759	3.144654
1247641at2759	4.347826
1248958at2759	5.330701
1249159at2759	6.854839
1251252at2759	5.133929
1257440at2759	5.652174
1258856at2759	6.451613
1259741at2759	5.152672
1260807at2759	3.200000
1264469at2759	7.159905
1266231at2759	0.000000
1269244at2759	5.937500
1269649at2759	6.250000
1275837at2759	9.890110
1284731at2759	4.530744
1287094at2759	7.377049
1287401at2759	0.000000
1291729at2759	6.437768
1304061at2759	6.737589
1309031at2759	4.178538
1312453at2759	5.016722
1314980at2759	0.000000
1322299at2759	5.817175
1322642at2759	0.000000
1323575at2759	5.932203
1324510at2759	4.848485
1338131at2759	6.896552
1339553at2759	5.366726
1342242at2759	4.371585
1346165at2759	5.211726
1346432at2759	6.575342
1348942at2759	5.601660
1355894at2759	6.074766
1358374at2759	5.486284
1364586at2759	0.000000
1370285at2759	5.235602
1370304at2759	5.422222
1377237at2759	0.000000
1379600at2759	5.064457
1380409at2759	0.000000
1382842at2759	0.000000
1395649at2759	0.000000
1398309at2759	8.602151
1404162at2759	4.859611
1405073at2759	5.434783
1405146at2759	3.383459
1407446at2759	2.392344
1421503at2759	7.333333
1423847at2759	5.010893
142542at2759	0.000000
1426075at2759	2.812500
1428265at2759	5.856833
1428854at2759	6.570842
1430056at2759	4.347826
1432328at2759	4.444444
1434266at2759	6.361323
1440961at2759	5.851979
1441854at2759	5.897436
1442062at2759	7.525510
1445102at2759	19.141914
1450538at2759	4.886562
1454155at2759	4.395604
1455730at2759	0.000000
1459797at2759	3.571429
1474000at2759	8.333333
1479417at2759	0.000000
1488235at2759	5.982906
1488436at2759	4.907975
1490022at2759	9.322034
1504863at2759	3.913043
1513531at2759	2.162162
1525971at2759	8.421053
1526152at2759	0.000000
1530008at2759	8.438819
1538526at2759	10.156250
1545004at2759	0.000000
1552706at2759	5.555556
1558822at2759	0.000000
156083at2759	0.000000
1563319at2759	0.000000
1567796at2759	2.105263
1575179at2759	2.926829
1576404at2759	10.389610
1588798at2759	6.167401
1593937at2759	5.350554
160593at2759	6.233154
1617752at2759	3.333333
1620056at2759	7.500000
1623701at2759	7.511737
1626636at2759	0.000000
1633672at2759	5.084746
1645187at2759	4.678363
166920at2759	6.325707
176625at2759	5.496689
179362at2759	4.407514
245208at2759	5.581761
257318at2759	5.162065
261328at2759	0.000000
261419at2759	0.000000
270107at2759	5.254237
271586at2759	5.172414
290630at2759	6.041667
293315at2759	5.079909
296129at2759	5.843072
299766at2759	6.289671
306227at2759	0.000000
320059at2759	3.904924
324863at2759	6.546645
325552at2759	7.750760
330169at2759	7.714286
331411at2759	7.131280
341721at2759	5.545775
345441at2759	0.000000
355408at2759	6.382979
369837at2759	7.613636
375960at2759	4.646018
383503at2759	5.775578
388820at2759	5.405405
390348at2759	5.785838
392369at2759	4.821429
39650at2759	5.018360
396755at2759	6.653871
418107at2759	6.967985
426305at2759	7.351351
450058at2759	10.040486
453044at2759	5.663717
457861at2759	9.874327
464990at2759	5.118110
491869at2759	0.000000
513979at2759	5.437352
543764at2759	5.992011
549762at2759	0.000000
551907at2759	5.779468
570797at2759	5.190592
582756at2759	6.954103
598949at2759	5.649241
604979at2759	0.000000
621827at2759	7.364975
625387at2759	0.000000
655400at2759	3.777545
664730at2759	5.565863
671536at2759	4.934211
671846at2759	4.418828
673132at2759	9.760956
674160at2759	5.682520
674169at2759	4.774536
679187at2759	0.000000
679771at2759	0.000000
687505at2759	5.450734
692986at2759	6.781280
708105at2759	5.424955
719531at2759	4.701627
720340at2759	5.511811
721605at2759	0.000000
722805at2759	5.349794
734341at2759	5.530973
734666at2759	6.529210
736068at2759	4.404568
751335at2759	6.396256
759498at2759	5.194805
761109at2759	4.049494
768809at2759	5.851979
774318at2759	2.000000
777920at2759	6.250000
779909at2759	7.352941
801857at2759	6.592040
814241at2759	5.239521
817008at2759	6.680162
834694at2759	6.776181
836599at2759	4.806202
