gene	parsimony_informative_percentage
1001705at2759	0.000000
1003258at2759	0.000000
100698at2759	0.000000
1010730at2759	0.000000
1014314at2759	3.081232
1018517at2759	3.754266
1019762at2759	0.000000
1025450at2759	0.000000
1030907at2759	0.000000
1032689at2759	0.000000
1038775at2759	0.000000
1041560at2759	0.000000
1049599at2759	0.000000
1051021at2759	0.000000
1053181at2759	0.000000
1065019at2759	0.000000
1076134at2759	0.000000
1079130at2759	0.000000
1079827at2759	0.000000
1085752at2759	0.000000
1087488at2759	0.000000
1090038at2759	0.000000
1094121at2759	0.000000
1096688at2759	0.000000
1106766at2759	0.000000
1107630at2759	0.000000
1108845at2759	0.000000
1111142at2759	0.000000
1112002at2759	0.000000
1128607at2759	0.000000
1129824at2759	0.000000
1138059at2759	0.000000
1157302at2759	0.000000
1161199at2759	0.000000
1173229at2759	3.811659
1178688at2759	0.000000
1182451at2759	0.000000
1193442at2759	3.043478
1194691at2759	0.000000
1194797at2759	0.000000
1197019at2759	0.000000
1200489at2759	0.000000
1217666at2759	0.000000
1220881at2759	0.000000
1222562at2759	0.000000
1223488at2759	0.000000
1228942at2759	0.000000
1236198at2759	0.000000
1247641at2759	0.000000
1248958at2759	0.000000
1249159at2759	2.439024
1251252at2759	0.000000
1257440at2759	0.000000
1258856at2759	0.000000
1259741at2759	0.000000
1260807at2759	0.000000
1264469at2759	0.000000
1266231at2759	0.000000
1269244at2759	0.000000
1269649at2759	4.467354
1275837at2759	0.000000
1284731at2759	0.000000
1287094at2759	0.000000
1287401at2759	0.000000
1291729at2759	0.000000
1304061at2759	0.000000
1309031at2759	0.000000
1312453at2759	0.000000
1314980at2759	0.000000
1322299at2759	0.000000
1322642at2759	0.000000
1323575at2759	0.000000
1324510at2759	0.000000
1338131at2759	0.000000
1339553at2759	0.000000
1342242at2759	3.968254
1346165at2759	0.000000
1346432at2759	3.053435
1348942at2759	0.000000
1355894at2759	0.000000
1358374at2759	0.000000
1364586at2759	0.000000
1370285at2759	0.000000
1370304at2759	0.000000
1377237at2759	0.000000
1379600at2759	0.000000
1380409at2759	0.000000
1382842at2759	0.000000
1395649at2759	0.000000
1398309at2759	0.000000
1404162at2759	0.000000
1405073at2759	1.666667
1405146at2759	0.000000
1407446at2759	0.000000
1421503at2759	0.000000
1423847at2759	0.000000
142542at2759	0.000000
1426075at2759	0.000000
1428265at2759	0.000000
1428854at2759	3.428012
1430056at2759	0.000000
1432328at2759	0.000000
1434266at2759	0.000000
1440961at2759	0.000000
1441854at2759	0.000000
1442062at2759	0.000000
1445102at2759	0.000000
1450538at2759	0.000000
1454155at2759	0.000000
1455730at2759	0.000000
1459797at2759	0.000000
1474000at2759	0.000000
1488235at2759	0.000000
1488436at2759	0.000000
1490022at2759	0.000000
1504863at2759	2.631579
1513531at2759	0.000000
1525971at2759	3.921569
1526152at2759	0.000000
1530008at2759	0.000000
1538526at2759	0.000000
1545004at2759	0.000000
1552706at2759	0.000000
1558822at2759	0.000000
156083at2759	0.213584
1563319at2759	0.000000
1567796at2759	0.000000
1575179at2759	0.000000
1576404at2759	0.000000
1588798at2759	0.000000
1593937at2759	0.000000
160593at2759	0.000000
1617752at2759	0.000000
1620056at2759	5.291005
1626636at2759	0.000000
1633672at2759	0.000000
1645187at2759	0.000000
166920at2759	0.000000
176625at2759	0.000000
179362at2759	0.000000
245208at2759	0.000000
257318at2759	0.000000
261328at2759	0.000000
271586at2759	0.000000
290630at2759	0.000000
293315at2759	0.000000
296129at2759	0.000000
299766at2759	0.000000
306227at2759	0.000000
320059at2759	0.000000
324863at2759	0.000000
325552at2759	0.000000
330169at2759	0.000000
331411at2759	0.000000
341721at2759	2.508961
345441at2759	0.000000
355408at2759	0.000000
369837at2759	0.000000
375960at2759	0.000000
383503at2759	0.000000
388820at2759	0.000000
390348at2759	0.000000
39650at2759	0.000000
396755at2759	0.000000
418107at2759	0.000000
426305at2759	0.000000
450058at2759	0.000000
453044at2759	4.811715
457861at2759	0.000000
464990at2759	0.000000
491869at2759	0.000000
513979at2759	0.000000
543764at2759	0.000000
549762at2759	0.000000
551907at2759	0.000000
570797at2759	3.433001
582756at2759	0.000000
598949at2759	0.000000
604979at2759	0.000000
621827at2759	0.000000
655400at2759	0.000000
664730at2759	3.239741
671536at2759	0.000000
673132at2759	5.060241
674160at2759	0.000000
674169at2759	0.000000
679771at2759	0.000000
687505at2759	0.000000
692986at2759	0.000000
708105at2759	0.000000
719531at2759	0.000000
720340at2759	0.000000
721605at2759	4.128440
734341at2759	0.000000
734666at2759	0.000000
736068at2759	0.000000
751335at2759	0.000000
759498at2759	0.000000
761109at2759	0.000000
768809at2759	0.000000
777920at2759	0.000000
779909at2759	0.000000
801857at2759	0.000000
814241at2759	0.000000
817008at2759	0.000000
834694at2759	0.000000
836599at2759	0.000000
83779at2759	0.000000
844748at2759	0.000000
855834at2759	0.000000
858842at2759	0.000000
865202at2759	0.000000
866359at2759	0.000000
869548at2759	0.000000
878143at2759	0.000000
87842at2759	0.000000
887370at2759	0.000000
891751at2759	0.000000
898782at2759	0.000000
901894at2759	0.000000
905026at2759	0.000000
911863at2759	0.000000
917326at2759	0.000000
919955at2759	0.000000
923657at2759	0.000000
924753at2759	0.000000
931188at2759	0.000000
937275at2759	0.000000
937686at2759	0.000000
939345at2759	0.000000
944899at2759	0.000000
946128at2759	0.000000
956854at2759	0.000000
97116at2759	0.000000
973442at2759	0.000000
974865at2759	3.236246
975158at2759	0.000000
975557at2759	0.000000
976469at2759	0.000000
981902at2759	0.000000
996662at2759	2.649007
