component	trainable_parameters	note
target_count_human	7611	data/targets_human.txt.gz rows excluding header
target_count_mouse	2608	data/targets_mouse.txt.gz rows excluding header
res_tower_filters	608/736/896/1056/1280/1536	rounded filters from params.json
conv_dna	31232	15 * 4 * 512 + 512
res_tower_repeat_0	1558112	2 * 512 + 5 * 512 * 608 + 608
res_tower_repeat_1	2239392	2 * 608 + 5 * 608 * 736 + 736
res_tower_repeat_2	3299648	2 * 736 + 5 * 736 * 896 + 896
res_tower_repeat_3	4733728	2 * 896 + 5 * 896 * 1056 + 1056
res_tower_repeat_4	6761792	2 * 1056 + 5 * 1056 * 1280 + 1280
res_tower_repeat_5	9834496	2 * 1280 + 5 * 1280 * 1536 + 1536
transformer_repeat_0	15758336	LayerNorm, q/k/v, relative attention, output dense, FFN
transformer_repeat_1	15758336	LayerNorm, q/k/v, relative attention, output dense, FFN
transformer_repeat_2	15758336	LayerNorm, q/k/v, relative attention, output dense, FFN
transformer_repeat_3	15758336	LayerNorm, q/k/v, relative attention, output dense, FFN
transformer_repeat_4	15758336	LayerNorm, q/k/v, relative attention, output dense, FFN
transformer_repeat_5	15758336	LayerNorm, q/k/v, relative attention, output dense, FFN
transformer_repeat_6	15758336	LayerNorm, q/k/v, relative attention, output dense, FFN
transformer_repeat_7	15758336	LayerNorm, q/k/v, relative attention, output dense, FFN
unet_conv_0	7093248	skip_channels=1536, filters=1536
unet_conv_1	6699520	skip_channels=1280, filters=1536
conv_nac_1920	2954112	2 * 1536 + 1 * 1536 * 1920 + 1920
head_human	14620731	1920 * 7611 + 7611
head_mouse	5009968	1920 * 2608 + 2608
TOTAL_TRAINABLE_BOTH_HEADS	190902667	trunk + human head + mouse head
