scope,model,n,edf,aic,bic,adj_r2,observed_lower,observed_upper,optimum_p_observed_range,max_area_observed_range,optimum_p_unit_range,max_area_unit_range
interior_raw,quadratic,36,3,880.619950884869,886.954026638693,0.32215130772455,0.25,0.999000999000999,0.727138681060914,111640.194949774,0.727138670192371,111640.194949774
interior_raw,cubic,36,4,867.273777387321,875.191372079602,0.54358012844806,0.25,0.999000999000999,0.818236251369768,136110.463762879,4.8787906368828e-11,398503.242091283
interior_raw,natural_spline,36,5,845.777439064685,855.278552695422,0.754699058206971,0.25,0.999000999000999,0.901919027869127,180771.363558699,0.901919031904566,180771.3635587
interior_mean,quadratic,12,3,295.975343924911,297.914970524063,0.288953310106176,0.25,0.999000999000999,0.72713867019237,111640.194949774,0.72713867019237,111640.194949774
interior_mean,cubic,12,4,290.977351804705,293.401885053645,0.553537629035279,0.25,0.999000999000999,0.818236248976036,136110.463762879,4.8787906368828e-11,398503.242091289
interior_mean,natural_spline,12,5,277.958348761775,280.867788660503,0.854044332706372,0.25,0.999000999000999,0.901919027791329,180771.363558699,0.901919031904109,180771.363558699
full_raw,quadratic,42,3,1034.46092884258,1041.41160731571,0.204380775340486,0,1,0.704942867364639,91245.5264998843,0.704942867364639,91245.5264998843
full_raw,cubic,42,4,1016.60787546688,1025.2962235583,0.491022175005393,0,1,0.771435410875858,125576.366057253,0.771435410875858,125576.366057253
full_raw,natural_spline,42,5,980.942010807363,991.368028517063,0.786792387952763,0,1,0.897632381721235,178983.925081597,0.897632381721235,178983.925081597
full_mean,quadratic,14,3,347.869075691508,350.425305009969,0.142551363074255,0,1,0.704942867364639,91245.5264998843,0.704942867364639,91245.5264998843
full_mean,cubic,14,4,341.665227745767,344.860514393843,0.475060866625971,0,1,0.771435410896889,125576.366057253,0.771435410896889,125576.366057253
full_mean,natural_spline,14,5,322.256865175308,326.091209152999,0.873597143535986,0,1,0.898411768655992,179855.193632297,0.898411768655992,179855.193632297
