ENSG00000006327	ENSG00000006327	TNFRSF12A
ENSG00000006756	ENSG00000006756	ARSD
ENSG00000007541	ENSG00000007541	PIGQ
ENSG00000008735	ENSG00000008735	MAPK8IP2
ENSG00000008853	ENSG00000008853	RHOBTB2
ENSG00000009413	ENSG00000009413	REV3L
ENSG00000010072	ENSG00000010072	SPRTN
ENSG00000012124	ENSG00000012124	CD22
ENSG00000020256	ENSG00000020256	ZFP64
ENSG00000021355	ENSG00000021355	SERPINB1
ENSG00000023572	ENSG00000023572	GLRX2
ENSG00000023839	ENSG00000023839	ABCC2
ENSG00000024526	ENSG00000024526	DEPDC1
ENSG00000026103	ENSG00000026103	FAS
ENSG00000029534	ENSG00000029534	ANK1
ENSG00000033100	ENSG00000033100	CHPF2
ENSG00000034510	ENSG00000034510	TMSB10
ENSG00000043355	ENSG00000043355	ZIC2
ENSG00000048028	ENSG00000048028	USP28
ENSG00000048392	ENSG00000048392	RRM2B
ENSG00000049283	ENSG00000049283	EPN3
ENSG00000050405	ENSG00000050405	LIMA1
ENSG00000053747	ENSG00000053747	LAMA3
ENSG00000055163	ENSG00000055163	CYFIP2
ENSG00000059728	ENSG00000059728	MXD1
ENSG00000059804	ENSG00000059804	SLC2A3
ENSG00000061656	ENSG00000061656	SPAG4
ENSG00000063438	ENSG00000063438	AHRR
ENSG00000064042	ENSG00000064042	LIMCH1
ENSG00000065357	ENSG00000065357	DGKA
ENSG00000065457	ENSG00000065457	ADAT1
ENSG00000065618	ENSG00000065618	COL17A1
ENSG00000067191	ENSG00000067191	CACNB1
ENSG00000067992	ENSG00000067992	PDK3
ENSG00000069696	ENSG00000069696	DRD4
ENSG00000069998	ENSG00000069998	HDHD5
ENSG00000071575	ENSG00000071575	TRIB2
ENSG00000072952	ENSG00000072952	IRAG1
ENSG00000075643	ENSG00000075643	MOCOS
ENSG00000076554	ENSG00000076554	TPD52
ENSG00000076864	ENSG00000076864	RAP1GAP
ENSG00000078114	ENSG00000078114	NEBL
ENSG00000078237	ENSG00000078237	TIGAR
ENSG00000081019	ENSG00000081019	RSBN1
ENSG00000081059	ENSG00000081059	TCF7
ENSG00000081692	ENSG00000081692	JMJD4
ENSG00000083444	ENSG00000083444	PLOD1
ENSG00000085117	ENSG00000085117	CD82
ENSG00000087074	ENSG00000087074	PPP1R15A
ENSG00000087088	ENSG00000087088	BAX
ENSG00000087095	ENSG00000087095	NLK
ENSG00000087448	ENSG00000087448	KLHL42
ENSG00000088836	ENSG00000088836	SLC4A11
ENSG00000089116	ENSG00000089116	LHX5
ENSG00000089356	ENSG00000089356	FXYD3
ENSG00000089486	ENSG00000089486	CDIP1
ENSG00000091428	ENSG00000091428	RAPGEF4
ENSG00000091879	ENSG00000091879	ANGPT2
ENSG00000094841	ENSG00000094841	UPRT
ENSG00000095370	ENSG00000095370	SH2D3C
ENSG00000099194	ENSG00000099194	SCD
ENSG00000099250	ENSG00000099250	NRP1
ENSG00000099625	ENSG00000099625	CBARP
ENSG00000099814	ENSG00000099814	CEP170B
ENSG00000099994	ENSG00000099994	SUSD2
ENSG00000100027	ENSG00000100027	YPEL1
ENSG00000100033	ENSG00000100033	PRODH
ENSG00000100197	ENSG00000100197	CYP2D6
ENSG00000100298	ENSG00000100298	APOBEC3H
ENSG00000100299	ENSG00000100299	ARSA
ENSG00000100505	ENSG00000100505	TRIM9
ENSG00000100647	ENSG00000100647	SUSD6
ENSG00000100867	ENSG00000100867	DHRS2
