fileNames	SampleID	Group
NS.2012.004.UDP0063_i7---UDP0063_i5.3-1_R1.trim.sorted.counts.counts	3-1	DMSO
NS.2012.004.UDP0064_i7---UDP0064_i5.3-2_R1.trim.sorted.counts.counts	3-2	DMSO
NS.2012.004.UDP0065_i7---UDP0065_i5.3-3_R1.trim.sorted.counts.counts	3-3	DMSO
NS.2012.004.UDP0066_i7---UDP0066_i5.4-1_R1.trim.sorted.counts.counts	4-1	DMSO_Serum_starvation
NS.2012.004.UDP0067_i7---UDP0067_i5.4-2_R1.trim.sorted.counts.counts	4-2	DMSO_Serum_starvation
NS.2012.004.UDP0068_i7---UDP0068_i5.4-3_R1.trim.sorted.counts.counts	4-3	DMSO_Serum_starvation
NS.2012.004.UDP0081_i7---UDP0081_i5.9-1_R1.trim.sorted.counts.counts	9-1	Cisplatin_IC50_CBD_IC50
NS.2012.004.UDP0082_i7---UDP0082_i5.9-2_R1.trim.sorted.counts.counts	9-2	Cisplatin_IC50_CBD_IC50
NS.2012.004.UDP0083_i7---UDP0083_i5.9-3_R1.trim.sorted.counts.counts	9-3	Cisplatin_IC50_CBD_IC50
NS.2012.004.UDP0084_i7---UDP0084_i5.10-1_R1.trim.sorted.counts.counts	10-1	Cisplatin_IC50_CBD_IC50_Serum_starvation_16h
NS.2012.004.UDP0085_i7---UDP0085_i5.10-2_R1.trim.sorted.counts.counts	10-2	Cisplatin_IC50_CBD_IC50_Serum_starvation_16h
NS.2012.004.UDP0086_i7---UDP0086_i5.10-3_R1.trim.sorted.counts.counts	10-3	Cisplatin_IC50_CBD_IC50_Serum_starvation_16h
