bioproject	run_accession	study_accession	experiment_accession	sample_accession	biosample	organism_taxid	organism_name	library_strategy	library_source	library_selection	library_layout	instrument_model	run_total_spots	run_total_bases	run_is_public	run_published	run_size_bytes	sample_name	library_name	sample_attributes	ena_read_count	ena_base_count	ena_fastq_bytes	ena_fastq_md5
PRJNA1339024	SRR35763863	SRP630949	SRX30813164	SRS26825019	SAMN52624397	11320	Influenza A virus	AMPLICON	VIRAL RNA	PCR	PAIRED	Illumina iSeq 100	79346	21133174	true	2025-10-31 03:15:20	7566572	Influenza A virus	T7544-mock-NT-2-4	"{""BioSampleModel"":""Pathogen.cl"",""collected_by"":""CDC ID PLT"",""collection_date"":""2025-05"",""geo_loc_name"":""USA: Georgia"",""host"":""Mustela putorius furo"",""host_disease"":""Influenza A"",""isolate"":""T7544-mock-NT-2-4"",""isolation_source"":""ferret"",""lat_lon"":""33.79807962 N 84.32742576 W"",""strain"":""A/Washington/239/2024""}"	79346	21133174	4069746;4317034	1c721c99bc8dc6950a25052524748bee;7f4cf7850faf9fa253694bff34310de4
PRJNA1339024	SRR35763864	SRP630949	SRX30813163	SRS26825021	SAMN52624396	11320	Influenza A virus	AMPLICON	VIRAL RNA	PCR	PAIRED	Illumina iSeq 100	63845	17520803	true	2025-10-31 03:15:20	6323853	Influenza A virus	T7544-mock-LG-2-4	"{""BioSampleModel"":""Pathogen.cl"",""collected_by"":""CDC ID PLT"",""collection_date"":""2025-05"",""geo_loc_name"":""USA: Georgia"",""host"":""Mustela putorius furo"",""host_disease"":""Influenza A"",""isolate"":""T7544-mock-LG-2-4"",""isolation_source"":""ferret"",""lat_lon"":""33.79807962 N 84.32742576 W"",""strain"":""A/Washington/239/2024""}"	63845	17520803	3107438;3342884	37b86d02af1717031bc95b8337cd7259;efb52d89aee6c2294ff7c560eb52789d
PRJNA1339024	SRR35763865	SRP630949	SRX30813162	SRS26825022	SAMN52624395	11320	Influenza A virus	AMPLICON	VIRAL RNA	PCR	PAIRED	Illumina iSeq 100	87173	23623090	true	2025-10-31 03:15:20	8472207	Influenza A virus	T7543-24hr-OST-NT-7-4	"{""BioSampleModel"":""Pathogen.cl"",""collected_by"":""CDC ID PLT"",""collection_date"":""2025-05"",""geo_loc_name"":""USA: Georgia"",""host"":""Mustela putorius furo"",""host_disease"":""Influenza A"",""isolate"":""T7543-24hr-OST-NT-7-4"",""isolation_source"":""ferret"",""lat_lon"":""33.79807962 N 84.32742576 W"",""strain"":""A/Washington/239/2024""}"	87173	23623090	4385713;4624645	7609ef4a68bbd8597a664e94c6a005b4;8f10dfaa9c9015e0f99e39fe21a403b6
PRJNA1339024	SRR35763866	SRP630949	SRX30813161	SRS26825023	SAMN52624394	11320	Influenza A virus	AMPLICON	VIRAL RNA	PCR	PAIRED	Illumina iSeq 100	100257	27559454	true	2025-10-31 03:15:20	9872695	Influenza A virus	T7542-48hr-OST-NT-13-5	"{""BioSampleModel"":""Pathogen.cl"",""collected_by"":""CDC ID PLT"",""collection_date"":""2025-05"",""geo_loc_name"":""USA: Georgia"",""host"":""Mustela putorius furo"",""host_disease"":""Influenza A"",""isolate"":""T7542-48hr-OST-NT-13-5"",""isolation_source"":""ferret"",""lat_lon"":""33.79807962 N 84.32742576 W"",""strain"":""A/Washington/239/2024""}"	100257	27559454	4348156;4689279	77613cafdea6aa8a0be1c563502e5d51;cae2126f22e293ef512e02a6b88259cf
PRJNA1339024	SRR35763867	SRP630949	SRX30813160	SRS26825020	SAMN52624393	11320	Influenza A virus	AMPLICON	VIRAL RNA	PCR	PAIRED	Illumina iSeq 100	97618	26084593	true	2025-10-31 03:15:22	9333348	Influenza A virus	T7538-mock-NT-4-5	"{""BioSampleModel"":""Pathogen.cl"",""collected_by"":""CDC ID PLT"",""collection_date"":""2025-05"",""geo_loc_name"":""USA: Georgia"",""host"":""Mustela putorius furo"",""host_disease"":""Influenza A"",""isolate"":""T7538-mock-NT-4-5"",""isolation_source"":""ferret"",""lat_lon"":""33.79807962 N 84.32742576 W"",""strain"":""A/Washington/239/2024""}"	97618	26084593	5299841;5496323	b3726eb787b6e458c4a604f4dfcac440;cfcb29b7e4155feced4119b4ef473a72
PRJNA1339024	SRR35763868	SRP630949	SRX30813159	SRS26825017	SAMN52624392	11320	Influenza A virus	AMPLICON	VIRAL RNA	PCR	PAIRED	Illumina iSeq 100	75238	20867346	true	2025-10-31 03:15:19	7432269	Influenza A virus	T7535-24hr-OST-NT-6-5	"{""BioSampleModel"":""Pathogen.cl"",""collected_by"":""CDC ID PLT"",""collection_date"":""2025-05"",""geo_loc_name"":""USA: Georgia"",""host"":""Mustela putorius furo"",""host_disease"":""Influenza A"",""isolate"":""T7535-24hr-OST-NT-6-5"",""isolation_source"":""ferret"",""lat_lon"":""33.79807962 N 84.32742576 W"",""strain"":""A/Washington/239/2024""}"	75238	20867346	3596836;3850708	c2f84053c319202be2341ffc1f3bcd2d;435907e6a1a64306836c6f613d2543a1
PRJNA1339024	SRR35763869	SRP630949	SRX30813158	SRS26825015	SAMN52624391	11320	Influenza A virus	AMPLICON	VIRAL RNA	PCR	PAIRED	Illumina iSeq 100	69223	18905752	true	2025-10-31 03:15:19	6737024	Influenza A virus	T7535-24hr-OST-LG-6-5	"{""BioSampleModel"":""Pathogen.cl"",""collected_by"":""CDC ID PLT"",""collection_date"":""2025-05"",""geo_loc_name"":""USA: Georgia"",""host"":""Mustela putorius furo"",""host_disease"":""Influenza A"",""isolate"":""T7535-24hr-OST-LG-6-5"",""isolation_source"":""ferret"",""lat_lon"":""33.79807962 N 84.32742576 W"",""strain"":""A/Washington/239/2024""}"	69223	18905752	3428170;3626607	64d66f1a837c724700d7669edb6e7155;f7384ee77d53d1ea10cc521bcfe331bb
PRJNA1339024	SRR35763870	SRP630949	SRX30813157	SRS26825014	SAMN52624390	11320	Influenza A virus	AMPLICON	VIRAL RNA	PCR	PAIRED	Illumina iSeq 100	71826	20140533	true	2025-10-31 03:15:19	7171168	Influenza A virus	T7534-48hr-OST-NT-15-5	"{""BioSampleModel"":""Pathogen.cl"",""collected_by"":""CDC ID PLT"",""collection_date"":""2025-05"",""geo_loc_name"":""USA: Georgia"",""host"":""Mustela putorius furo"",""host_disease"":""Influenza A"",""isolate"":""T7534-48hr-OST-NT-15-5"",""isolation_source"":""ferret"",""lat_lon"":""33.79807962 N 84.32742576 W"",""strain"":""A/Washington/239/2024""}"	71826	20140533	3646111;3782000	7ecd584fdbcd3bdee5758f95e53977d8;e926e4eb3224aa4fc0458745921b25f7
PRJNA1339024	SRR35763871	SRP630949	SRX30813156	SRS26825016	SAMN52624399	11320	Influenza A virus	AMPLICON	VIRAL RNA	PCR	PAIRED	Illumina iSeq 100	85476	23646927	true	2025-10-31 03:15:21	8486164	Influenza A virus	T7550-mock-NT-3-5	"{""BioSampleModel"":""Pathogen.cl"",""collected_by"":""CDC ID PLT"",""collection_date"":""2025-05"",""geo_loc_name"":""USA: Georgia"",""host"":""Mustela putorius furo"",""host_disease"":""Influenza A"",""isolate"":""T7550-mock-NT-3-5"",""isolation_source"":""ferret"",""lat_lon"":""33.79807962 N 84.32742576 W"",""strain"":""A/Washington/239/2024""}"	85476	23646927	4228726;4561484	e0ccad4676c291bb641ed10b06084c5a;1823790124d85db7cd72a514d3195be1
PRJNA1339024	SRR35763872	SRP630949	SRX30813155	SRS26825018	SAMN52624398	11320	Influenza A virus	AMPLICON	VIRAL RNA	PCR	PAIRED	Illumina iSeq 100	77527	21268792	true	2025-10-31 03:15:20	7603691	Influenza A virus	T7545-48hr-OST-NT-14-4	"{""BioSampleModel"":""Pathogen.cl"",""collected_by"":""CDC ID PLT"",""collection_date"":""2025-05"",""geo_loc_name"":""USA: Georgia"",""host"":""Mustela putorius furo"",""host_disease"":""Influenza A"",""isolate"":""T7545-48hr-OST-NT-14-4"",""isolation_source"":""ferret"",""lat_lon"":""33.79807962 N 84.32742576 W"",""strain"":""A/Washington/239/2024""}"	77527	21268792	3981278;4219962	6383fe20a8a6f0559cb7db0af1a5f4e9;d8db29382fa794b3810a2aba00701e4b
