gene	Control_#1_T_cell	Control_#1_monocyte	Control_#1_neutrophil	Control_#1_platelet	Control_#1_B_cell	Control_#2_T_cell	Control_#2_monocyte	Control_#2_B_cell	Control_#2_neutrophil	Control_#3_T_cell	Control_#3_neutrophil	Control_#3_erythroid_lineage_cell	Control_#3_monocyte	Control_#3_platelet	Control_#3_B_cell	SARS_CoV2_pos_Mild_T_cell	SARS_CoV2_pos_Mild_neutrophil	SARS_CoV2_pos_Mild_B_cell	SARS_CoV2_pos_Mild_monocyte	SARS_CoV2_pos_Mild_erythroid_lineage_cell	SARS_CoV2_pos_Severe_#1_platelet	SARS_CoV2_pos_Severe_#1_erythroid_lineage_cell	SARS_CoV2_pos_Severe_#1_monocyte	SARS_CoV2_pos_Severe_#1_neutrophil	SARS_CoV2_pos_Severe_#1_T_cell	SARS_CoV2_pos_Severe_#1_B_cell	SARS_CoV2_pos_Severe_#2_monocyte	SARS_CoV2_pos_Severe_#2_neutrophil	SARS_CoV2_pos_Severe_#2_erythroid_lineage_cell	SARS_CoV2_pos_Severe_#2_B_cell	SARS_CoV2_pos_Severe_#2_platelet	SARS_CoV2_pos_Severe_#2_T_cell	SARS_CoV2_pos_Severe_#3_T_cell	SARS_CoV2_pos_Severe_#3_B_cell
CFLAR	554	279	16	4	19	633	172	33	10	494	80	1	174	3	19	1568	30	120	361	0	17	0	416	85	1165	163	242	593	19	210	76	939	139	25
ARF5	163	153	2	6	6	163	123	9	5	121	8	0	132	3	9	359	2	21	246	0	22	4	159	1	346	39	223	39	8	50	52	342	36	7
SKAP2	37	114	1	5	7	32	107	11	5	48	23	0	98	8	16	131	16	69	231	0	24	5	216	30	68	47	190	106	13	75	74	62	14	6
POLR2J	178	78	1	0	5	167	65	9	0	126	6	0	69	1	12	381	2	40	102	1	4	12	103	5	287	32	154	40	26	48	15	307	41	5
KMT2E	698	170	0	2	23	690	131	49	4	502	14	1	117	1	51	1287	14	181	241	0	2	14	219	16	914	265	214	167	41	323	13	1080	111	36
MYCBP2	483	164	1	4	22	478	146	53	2	392	8	1	137	0	44	1371	7	187	278	0	12	0	255	11	742	247	153	30	5	281	7	718	104	36
FBXL3	92	43	1	0	5	97	22	9	2	66	2	0	49	0	6	182	2	21	43	0	3	0	52	9	147	41	80	41	19	39	8	146	11	3
ITGAL	271	169	1	1	3	303	102	11	2	200	5	1	165	0	5	691	3	32	170	1	0	0	231	9	497	25	238	38	3	20	1	291	62	4
KDM7A	66	66	1	0	5	88	36	4	1	52	4	6	41	0	5	156	4	10	104	2	6	28	84	11	152	22	60	24	53	32	25	86	8	0
IFRD1	159	40	2	3	6	235	8	15	20	89	23	1	27	1	8	159	29	22	44	0	12	2	63	70	172	45	56	215	15	90	117	251	12	10
PAFAH1B1	864	377	11	4	31	838	287	56	6	610	32	2	255	2	45	2464	25	253	537	2	6	4	627	90	1663	368	355	257	40	322	25	1180	256	72
PSMB1	309	162	0	0	10	323	128	14	3	261	13	0	152	1	18	937	5	66	252	1	0	3	278	8	766	90	363	80	24	177	12	822	100	19
JARID2	91	170	2	3	2	86	105	14	6	45	8	1	96	2	7	179	9	29	198	1	4	2	356	15	102	45	405	71	14	42	19	129	13	4
CDKL5	171	283	6	0	8	148	252	9	7	91	32	1	148	1	8	268	17	16	189	0	0	4	239	24	165	22	102	127	10	16	5	94	24	8
SPAG9	109	195	7	0	6	138	151	17	6	92	39	1	110	0	9	224	15	36	188	0	3	0	177	59	199	35	159	219	7	46	10	187	19	6
ST3GAL1	103	32	0	2	2	98	31	8	0	74	3	6	25	0	3	369	2	17	69	0	5	30	66	5	149	15	59	40	63	16	9	119	27	2
SEC62	382	182	3	0	33	408	116	45	5	348	17	70	144	1	45	1341	13	208	248	111	0	170	233	16	732	243	249	138	1251	169	21	774	112	28
RPS20	5551	1052	1	4	228	5313	935	380	3	3721	5	1	936	3	468	12892	1	1353	1523	10	13	23	1317	13	7171	1609	1632	50	149	2618	60	9194	980	233
CSDE1	582	355	2	4	20	556	264	34	1	363	24	9	218	3	32	1228	4	110	426	12	15	59	458	32	832	159	371	102	184	263	51	965	95	28
ZNF207	504	258	4	0	22	427	217	28	0	363	13	0	216	0	34	1144	7	106	354	0	3	4	365	17	801	133	359	81	20	214	16	782	86	25
IDS	566	186	1	1	15	582	175	22	2	614	7	1	143	0	34	870	7	65	270	1	0	1	226	14	1036	93	199	63	3	264	1	784	46	12
BTK	446	225	5	6	29	335	154	40	3	296	24	0	164	3	30	909	12	144	254	0	18	1	293	31	621	162	185	85	2	132	30	417	70	25
