BG001	background	266490	6	8	10	8.0	2.0794415416798357	12.493091998431856
BG002	background	278266	13	15	15	14.333333333333334	2.662587827025453	12.536332769730782
BG003	background	215708	13	8	11	10.666666666666666	2.367123614131617	12.281680920238395
BG004	background	181751	14	12	11	12.333333333333334	2.512305623976115	12.110392897443903
BG005	background	333814	9	7	8	8.0	2.0794415416798357	12.718339230612566
BG006	background	578225	5	9	6	6.666666666666667	1.8971199848858813	13.2677183452637
BG007	background	1517344	4	1	1	2.0	0.6931471805599453	14.232471995972462
BG008	background	195165	12	17	10	13.0	2.5649493574615367	12.181600633605687
BG009	background	288272	13	7	6	8.666666666666666	2.159484249353372	12.571659757855482
BG010	background	592958	7	6	5	6.0	1.791759469228055	13.292878849164648
BG011	background	424703	8	5	15	9.333333333333334	2.2335922215070942	12.959145380086161
BG012	background	370667	7	11	8	8.666666666666666	2.159484249353372	12.823059364404726
BG013	background	385881	3	9	7	6.333333333333333	1.8458266904983307	12.86328431076035
BG014	background	413648	5	9	10	8.0	2.0794415416798357	12.932770649601201
BG015	background	287455	7	11	5	7.666666666666667	2.03688192726104	12.568821605229607
BG016	background	198500	11	8	6	8.333333333333334	2.120263536200091	12.198544379109382
BG017	background	1474443	2	3	2	2.3333333333333335	0.8472978603872037	14.203790849318338
BG018	background	598104	7	9	3	6.333333333333333	1.8458266904983307	13.301519930855127
BG019	background	454024	7	7	8	7.333333333333333	1.992430164690206	13.025905339062387
BG020	background	1055860	1	3	2	2.0	0.6931471805599453	13.869866158701825
BG021	background	1438442	1	0	2	1.0	0.0	14.17907114138333
BG022	background	1403705	3	3	1	2.3333333333333335	0.8472978603872037	14.15462572753075
BG023	background	205420	11	12	8	10.333333333333334	2.3353749158170367	12.232811942719795
BG024	background	1180565	1	4	0	1.6666666666666667	0.5108256237659907	13.981503695406536
BG025	background	367947	6	5	3	4.666666666666667	1.540445040947149	12.815694185039812
BG026	background	567980	5	2	8	5.0	1.6094379124341003	13.249841485815752
BG027	background	1146553	5	2	1	2.6666666666666665	0.9808292530117262	13.952270607861
BG028	background	460190	3	5	1	3.0	1.0986122886681098	13.039394726664563
BG029	background	457155	13	6	7	8.666666666666666	2.159484249353372	13.032777780861865
BG030	background	243306	4	6	8	6.0	1.791759469228055	12.402075189379993
BG031	background	260289	13	10	11	11.333333333333334	2.4277482359480516	12.46954783115772
BG032	background	1415395	3	2	1	2.0	0.6931471805599453	14.162919202047284
BG033	background	1074025	2	1	0	1.0	0.0	13.886923831247442
BG034	background	776335	2	2	4	2.6666666666666665	0.9808292530117262	13.562339407040202
BG035	background	770439	1	4	4	3.0	1.0986122886681098	13.55471576123771
BG036	background	204180	5	8	7	6.666666666666667	1.8971199848858813	12.226757236723007
BG037	background	1076758	5	3	4	4.0	1.3862943611198906	13.889465232654254
BG038	background	204332	15	17	7	13.0	2.5649493574615367	12.227501400943467
BG039	background	384059	9	3	8	6.666666666666667	1.8971199848858813	12.858551465600884
BG040	background	212369	8	16	8	10.666666666666666	2.367123614131617	12.26608060666225
BG041	background	242957	10	5	6	7.0	1.9459101490553132	12.40063975193184
BG042	background	618431	6	3	7	5.333333333333333	1.6739764335716716	13.33494090436502
BG043	background	341755	6	3	4	4.333333333333333	1.466337068793427	12.741849385057078
BG044	background	1760949	1	1	0	0.6666666666666666	-0.40546510810816444	14.381363426241254
BG045	background	308756	8	7	7	7.333333333333333	1.992430164690206	12.640306599933883
BG046	background	1178524	1	2	2	1.6666666666666667	0.5108256237659907	13.97977336602156
BG047	background	494726	5	5	6	5.333333333333333	1.6739764335716716	13.111759352940041
BG048	background	1732722	2	3	2	2.3333333333333335	0.8472978603872037	14.365204140365295
BG049	background	278752	9	14	7	10.0	2.302585092994046	12.538077776618618
BG050	background	442831	6	10	4	6.666666666666667	1.8971199848858813	13.000943486399525
BG051	background	723770	1	2	0	1.0	0.0	13.492228941339002
BG052	background	270590	3	8	6	5.666666666666667	1.7346010553881064	12.508360039120971
BG053	background	190204	13	14	15	14.0	2.6390573296152584	12.155852459366505
BG054	background	1493409	1	1	0	0.6666666666666666	-0.40546510810816444	14.216571984082252
BG055	background	407993	3	7	9	6.333333333333333	1.8458266904983307	12.919005296376373
BG056	background	363724	5	7	8	6.666666666666667	1.8971199848858813	12.80415061724996
BG057	background	187743	8	9	5	7.333333333333333	1.992430164690206	12.142829285309492
BG058	background	501216	4	3	4	3.6666666666666665	1.2992829841302609	13.124792424878388
BG059	background	595896	2	3	3	2.6666666666666665	0.9808292530117262	13.29782143417688
BG060	background	939399	3	7	4	4.666666666666667	1.540445040947149	13.752995588065204
BG061	background	231063	16	18	14	16.0	2.772588722239781	12.350445679593335
BG062	background	442819	6	3	4	4.333333333333333	1.466337068793427	13.000916387658485
