pair_id	set	distance_bp	count_rep1	count_rep2	count_rep3	New Column
BG001	background	266490	6	8	10	8.0
BG002	background	278266	13	15	15	14.333333333333334
BG003	background	215708	13	8	11	10.666666666666666
BG004	background	181751	14	12	11	12.333333333333334
BG005	background	333814	9	7	8	8.0
BG006	background	578225	5	9	6	6.666666666666667
BG007	background	1517344	4	1	1	2.0
BG008	background	195165	12	17	10	13.0
BG009	background	288272	13	7	6	8.666666666666666
BG010	background	592958	7	6	5	6.0
BG011	background	424703	8	5	15	9.333333333333334
BG012	background	370667	7	11	8	8.666666666666666
BG013	background	385881	3	9	7	6.333333333333333
BG014	background	413648	5	9	10	8.0
BG015	background	287455	7	11	5	7.666666666666667
BG016	background	198500	11	8	6	8.333333333333334
BG017	background	1474443	2	3	2	2.3333333333333335
BG018	background	598104	7	9	3	6.333333333333333
BG019	background	454024	7	7	8	7.333333333333333
BG020	background	1055860	1	3	2	2.0
BG021	background	1438442	1	0	2	1.0
BG022	background	1403705	3	3	1	2.3333333333333335
BG023	background	205420	11	12	8	10.333333333333334
BG024	background	1180565	1	4	0	1.6666666666666667
BG025	background	367947	6	5	3	4.666666666666667
BG026	background	567980	5	2	8	5.0
BG027	background	1146553	5	2	1	2.6666666666666665
BG028	background	460190	3	5	1	3.0
BG029	background	457155	13	6	7	8.666666666666666
BG030	background	243306	4	6	8	6.0
BG031	background	260289	13	10	11	11.333333333333334
BG032	background	1415395	3	2	1	2.0
BG033	background	1074025	2	1	0	1.0
BG034	background	776335	2	2	4	2.6666666666666665
BG035	background	770439	1	4	4	3.0
BG036	background	204180	5	8	7	6.666666666666667
BG037	background	1076758	5	3	4	4.0
BG038	background	204332	15	17	7	13.0
BG039	background	384059	9	3	8	6.666666666666667
BG040	background	212369	8	16	8	10.666666666666666
BG041	background	242957	10	5	6	7.0
BG042	background	618431	6	3	7	5.333333333333333
BG043	background	341755	6	3	4	4.333333333333333
BG044	background	1760949	1	1	0	0.6666666666666666
BG045	background	308756	8	7	7	7.333333333333333
BG046	background	1178524	1	2	2	1.6666666666666667
BG047	background	494726	5	5	6	5.333333333333333
BG048	background	1732722	2	3	2	2.3333333333333335
BG049	background	278752	9	14	7	10.0
BG050	background	442831	6	10	4	6.666666666666667
BG051	background	723770	1	2	0	1.0
BG052	background	270590	3	8	6	5.666666666666667
BG053	background	190204	13	14	15	14.0
BG054	background	1493409	1	1	0	0.6666666666666666
BG055	background	407993	3	7	9	6.333333333333333
BG056	background	363724	5	7	8	6.666666666666667
BG057	background	187743	8	9	5	7.333333333333333
BG058	background	501216	4	3	4	3.6666666666666665
BG059	background	595896	2	3	3	2.6666666666666665
BG060	background	939399	3	7	4	4.666666666666667
BG061	background	231063	16	18	14	16.0
BG062	background	442819	6	3	4	4.333333333333333
BG063	background	292874	6	7	10	7.666666666666667
BG064	background	836776	1	3	2	2.0
BG065	background	193892	12	10	17	13.0
BG066	background	273683	9	9	11	9.666666666666666
BG067	background	927396	6	5	2	4.333333333333333
BG068	background	239718	12	14	9	11.666666666666666
BG069	background	1612818	4	1	2	2.3333333333333335
BG070	background	307090	5	6	7	6.0
BG071	background	427368	4	12	9	8.333333333333334
BG072	background	432833	5	7	8	6.666666666666667
BG073	background	299699	12	9	5	8.666666666666666
BG074	background	443714	5	4	4	4.333333333333333
BG075	background	1639410	2	0	1	1.0
BG076	background	219896	13	11	4	9.333333333333334
BG077	background	372878	5	8	7	6.666666666666667
BG078	background	351753	7	8	4	6.333333333333333
BG079	background	393744	4	5	8	5.666666666666667
BG080	background	222435	9	8	7	8.0
BG081	background	945093	0	1	3	1.3333333333333333
BG082	background	306858	7	4	11	7.333333333333333
BG083	background	1091041	1	3	2	2.0
BG084	background	1245441	1	0	1	0.6666666666666666
BG085	background	913030	3	6	3	4.0
BG086	background	337447	6	6	6	6.0
BG087	background	306155	10	9	8	9.0
BG088	background	692704	2	7	6	5.0
BG089	background	609048	3	3	6	4.0
BG090	background	894427	1	1	5	2.3333333333333335
BG091	background	1072906	2	6	2	3.3333333333333335
BG092	background	1460630	5	4	1	3.3333333333333335
BG093	background	567061	3	7	11	7.0
BG094	background	435905	6	9	6	7.0
BG095	background	1446032	2	0	0	0.6666666666666666
BG096	background	868781	7	5	1	4.333333333333333
BG097	background	774569	7	2	6	5.0
BG098	background	639690	4	1	6	3.6666666666666665
BG099	background	336738	9	7	11	9.0
BG100	background	938563	2	4	0	2.0
BG101	background	831076	2	3	3	2.6666666666666665
BG102	background	347201	6	6	14	8.666666666666666
BG103	background	579371	4	9	5	6.0
BG104	background	1301929	0	0	1	0.3333333333333333
BG105	background	1428119	1	1	2	1.3333333333333333
BG106	background	1574508	1	0	3	1.3333333333333333
BG107	background	1315178	0	2	3	1.6666666666666667
BG108	background	1286276	3	5	1	3.0
BG109	background	911178	9	4	0	4.333333333333333
BG110	background	556000	0	5	6	3.6666666666666665
BG111	background	334179	9	2	3	4.666666666666667
BG112	background	680328	4	3	2	3.0
BG113	background	610206	4	6	4	4.666666666666667
BG114	background	204511	6	10	5	7.0
BG115	background	198718	17	16	13	15.333333333333334
BG116	background	855171	2	5	1	2.6666666666666665
BG117	background	947916	0	3	3	2.0
BG118	background	947633	3	3	1	2.3333333333333335
BG119	background	420400	10	4	5	6.333333333333333
BG120	background	208546	9	9	9	9.0
BG121	background	234919	7	4	9	6.666666666666667
BG122	background	681908	2	4	2	2.6666666666666665
BG123	background	1051744	4	4	2	3.3333333333333335
BG124	background	314121	9	6	7	7.333333333333333
BG125	background	587714	5	1	1	2.3333333333333335
BG126	background	750673	1	1	0	0.6666666666666666
BG127	background	992835	5	5	5	5.0
BG128	background	483827	3	7	11	7.0
BG129	background	383963	3	4	7	4.666666666666667
BG130	background	346057	7	8	8	7.666666666666667
BG131	background	688248	2	1	2	1.6666666666666667
BG132	background	245338	5	3	6	4.666666666666667
BG133	background	685256	3	4	6	4.333333333333333
BG134	background	1319991	0	2	3	1.6666666666666667
BG135	background	521700	3	4	5	4.0
BG136	background	1223427	2	2	0	1.3333333333333333
BG137	background	1055638	1	1	1	1.0
BG138	background	393175	1	7	9	5.666666666666667
BG139	background	1494334	2	1	3	2.0
BG140	background	356947	4	8	10	7.333333333333333
BG141	background	326687	10	4	6	6.666666666666667
BG142	background	260194	11	9	12	10.666666666666666
BG143	background	628822	6	4	1	3.6666666666666665
BG144	background	250728	4	7	9	6.666666666666667
BG145	background	851511	0	6	2	2.6666666666666665
BG146	background	566467	3	5	3	3.6666666666666665
BG147	background	1649997	1	2	0	1.0
BG148	background	284621	7	5	10	7.333333333333333
BG149	background	936291	3	0	2	1.6666666666666667
BG150	background	233456	5	6	8	6.333333333333333
BG151	background	223420	9	10	7	8.666666666666666
BG152	background	318540	4	10	10	8.0
BG153	background	693012	4	1	6	3.6666666666666665
BG154	background	301670	5	5	6	5.333333333333333
BG155	background	218633	16	9	12	12.333333333333334
BG156	background	298919	9	13	12	11.333333333333334
BG157	background	1201290	3	3	1	2.3333333333333335
BG158	background	447813	2	5	1	2.6666666666666665
BG159	background	943967	4	3	4	3.6666666666666665
BG160	background	1198414	4	4	1	3.0
BG161	background	1717786	1	2	2	1.6666666666666667
BG162	background	1061362	1	2	2	1.6666666666666667
BG163	background	1029809	0	0	3	1.0
BG164	background	194780	10	16	18	14.666666666666666
BG165	background	187020	12	8	4	8.0
BG166	background	926581	2	2	3	2.3333333333333335
BG167	background	793641	2	2	3	2.3333333333333335
BG168	background	446491	8	9	4	7.0
BG169	background	261716	8	6	5	6.333333333333333
BG170	background	244417	5	6	6	5.666666666666667
BG171	background	871535	3	5	2	3.3333333333333335
