GroupBy(pair_id)	GroupBy(guide_id)	GroupBy(condition)	mean(rna_count)	sstdev(rna_count)	New Column
EP1	g1	control	943	93.578843762893	EP1g1
EP1	g1	perturbed	1208.3333333333	52.728866224615	EP1g1
EP1	g2	control	770.66666666667	32.654759734736	EP1g2
EP1	g2	perturbed	1001.3333333333	39.803684921541	EP1g2
EP1	g3	control	850	124.21352583354	EP1g3
EP1	g3	perturbed	1106	152.56801761837	EP1g3
EP1	g4	control	949.33333333333	74.002252217979	EP1g4
EP1	g4	perturbed	1226	109.71326264404	EP1g4
EP2	g1	control	1339.3333333333	232.28072096783	EP2g1
EP2	g1	perturbed	581.66666666667	7.767453465154	EP2g1
EP2	g2	control	1408	64.210591026715	EP2g2
EP2	g2	perturbed	581.33333333333	35.529330606322	EP2g2
EP2	g3	control	1313	131.63965967747	EP2g3
EP2	g3	perturbed	596	35.510561809129	EP2g3
EP2	g4	control	1300.3333333333	118.07765806169	EP2g4
EP2	g4	perturbed	532.66666666667	48.993196806632	EP2g4
EP3	g1	control	929.33333333333	34.078341117685	EP3g1
EP3	g1	perturbed	932.33333333333	34.645827069552	EP3g1
EP3	g2	control	1012	31.796226191169	EP3g2
EP3	g2	perturbed	1005	23.811761799581	EP3g2
EP3	g3	control	969.66666666667	30.924639582917	EP3g3
EP3	g3	perturbed	459.66666666667	30.088757590391	EP3g3
EP3	g4	control	1003.3333333333	41.356176483487	EP3g4
EP3	g4	perturbed	995.33333333333	18.009256878987	EP3g4
EP4	g1	control	688	127.44802862344	EP4g1
EP4	g1	perturbed	402	45	EP4g1
EP4	g2	control	701.33333333333	88.058692548398	EP4g2
EP4	g2	perturbed	427.33333333333	33.650160970393	EP4g2
EP4	g3	control	732.66666666667	77.002164471743	EP4g3
EP4	g3	perturbed	416	18.681541692269	EP4g3
EP4	g4	control	716	64.490309349545	EP4g4
EP4	g4	perturbed	374.66666666667	30.105370506495	EP4g4
EP5	g1	control	979	92.860109842709	EP5g1
EP5	g1	perturbed	715	27.874719729533	EP5g1
EP5	g2	control	1089.3333333333	40.414518843274	EP5g2
EP5	g2	perturbed	780.66666666667	27.024680078279	EP5g2
EP5	g3	control	1057	146.36597965374	EP5g3
EP5	g3	perturbed	761.33333333333	75.791380336641	EP5g3
EP5	g4	control	988.66666666667	42.618462352991	EP5g4
EP5	g4	perturbed	714.33333333333	32.562759915789	EP5g4
EP6	g1	control	610	78.313472659562	EP6g1
EP6	g1	perturbed	506	28.053520278211	EP6g1
EP6	g2	control	658.33333333333	41.669333248005	EP6g2
EP6	g2	perturbed	550.33333333333	25.579940057266	EP6g2
EP6	g3	control	677.66666666667	127.18621518598	EP6g3
EP6	g3	perturbed	580.66666666667	97.089305967925	EP6g3
EP6	g4	control	673.33333333333	74.795276143172	EP6g4
EP6	g4	perturbed	566.33333333333	36.170890690351	EP6g4
EP7	g1	control	1234.3333333333	92.045278712889	EP7g1
EP7	g1	perturbed	681	29.614185789922	EP7g1
EP7	g2	control	1155.6666666667	52.003205029434	EP7g2
EP7	g2	perturbed	948.66666666667	20.108041509141	EP7g2
EP7	g3	control	1192.3333333333	299.05573616524	EP7g3
EP7	g3	perturbed	776.33333333333	32.929217016706	EP7g3
EP7	g4	control	1137.3333333333	71.30451131123	EP7g4
EP7	g4	perturbed	853	22.605309110915	EP7g4
