pair_id	set	distance_bp	count_rep1	count_rep2	count_rep3	New Column	New Column	New Column	New Column	New Column
BG001	background	266490	6	8	10	8.0	2.0794415416798357	12.493091998431856	2.1349583994513477	-0.05551685777151194
BG002	background	278266	13	15	15	14.333333333333334	2.662587827025453	12.536332769730782	2.09263194846295	0.569955878562503
BG003	background	215708	13	8	11	10.666666666666666	2.367123614131617	12.281680920238395	2.341899218746633	0.025224395384984
BG004	background	181751	14	12	11	12.333333333333334	2.512305623976115	12.110392897443903	2.50956537926886	0.0027402447072546465
BG005	background	333814	9	7	8	8.0	2.0794415416798357	12.718339230612566	1.914473989789446	0.1649675518903897
BG006	background	578225	5	9	6	6.666666666666667	1.8971199848858813	13.2677183452637	1.3767114228458688	0.5204085620400125
BG007	background	1517344	4	1	1	2.0	0.6931471805599453	14.232471995972462	0.43235735870788083	0.26078982185206445
BG008	background	195165	12	17	10	13.0	2.5649493574615367	12.181600633605687	2.43986332113926	0.12508603632227677
BG009	background	288272	13	7	6	8.666666666666666	2.159484249353372	12.571659757855482	2.0580519447647987	0.10143230458857344
BG010	background	592958	7	6	5	6.0	1.791759469228055	13.292878849164648	1.3520829344258836	0.4396765348021714
BG011	background	424703	8	5	15	9.333333333333334	2.2335922215070942	12.959145380086161	1.678759654054364	0.5548325674527304
BG012	background	370667	7	11	8	8.666666666666666	2.159484249353372	12.823059364404726	1.8119681491833504	0.34751610017002177
BG013	background	385881	3	9	7	6.333333333333333	1.8458266904983307	12.86328431076035	1.7725937539242516	0.07323293657407914
BG014	background	413648	5	9	10	8.0	2.0794415416798357	12.932770649601201	1.704576694400071	0.37486484727976466
BG015	background	287455	7	11	5	7.666666666666667	2.03688192726104	12.568821605229607	2.060830085033995	-0.023948157772955003
BG016	background	198500	11	8	6	8.333333333333334	2.120263536200091	12.198544379109382	2.4232778488620834	-0.3030143126619924
BG017	background	1474443	2	3	2	2.3333333333333335	0.8472978603872037	14.203790849318338	0.4604320463621452	0.3868658140250585
BG018	background	598104	7	9	3	6.333333333333333	1.8458266904983307	13.301519930855127	1.3436245672489804	0.5022021232493503
BG019	background	454024	7	7	8	7.333333333333333	1.992430164690206	13.025905339062387	1.6134113254581806	0.3790188392320255
BG020	background	1055860	1	3	2	2.0	0.6931471805599453	13.869866158701825	0.7872959441748719	-0.09414876361492663
BG021	background	1438442	1	0	2	1.0	0.0	14.17907114138333	0.48462905938778	-0.48462905938778
BG022	background	1403705	3	3	1	2.3333333333333335	0.8472978603872037	14.15462572753075	0.5085575782425771	0.3387402821446266
BG023	background	205420	11	12	8	10.333333333333334	2.3353749158170367	12.232811942719795	2.389734868288933	-0.05435995247189629
BG024	background	1180565	1	4	0	1.6666666666666667	0.5108256237659907	13.981503695406536	0.6780189682131894	-0.1671933444471987
BG025	background	367947	6	5	3	4.666666666666667	1.540445040947149	12.815694185039812	1.8191775928182636	-0.27873255187111456
BG026	background	567980	5	2	8	5.0	1.6094379124341003	13.249841485815752	1.394210278498079	0.2152276339360213
BG027	background	1146553	5	2	1	2.6666666666666665	0.9808292530117262	13.952270607861	0.7066339260427323	0.27419532696899385
BG028	background	460190	3	5	1	3.0	1.0986122886681098	13.039394726664563	1.6002071691479252	-0.5015948804798154
BG029	background	457155	13	6	7	8.666666666666666	2.159484249353372	13.032777780861865	1.6066842005189574	0.5528000488344147
BG030	background	243306	4	6	8	6.0	1.791759469228055	12.402075189379993	2.224050670281164	-0.43229120105310903
BG031	background	260289	13	10	11	11.333333333333334	2.4277482359480516	12.46954783115772	2.1580047284657446	0.2697435074823069
BG032	background	1415395	3	2	1	2.0	0.6931471805599453	14.162919202047284	0.500439468132539	0.19270771242740625
BG033	background	1074025	2	1	0	1.0	0.0	13.886923831247442	0.7705989538277986	-0.7705989538277986
BG034	background	776335	2	2	4	2.6666666666666665	0.9808292530117262	13.562339407040202	1.0883200839119471	-0.10749083090022094
BG035	background	770439	1	4	4	3.0	1.0986122886681098	13.55471576123771	1.0957825287462786	0.0028297599218312097
BG036	background	204180	5	8	7	6.666666666666667	1.8971199848858813	12.226757236723007	2.395661548339355	-0.49854156345347356
BG037	background	1076758	5	3	4	4.0	1.3862943611198906	13.889465232654254	0.7681112900129321	0.6181830711069585
BG038	background	204332	15	17	7	13.0	2.5649493574615367	12.227501400943467	2.3949331193715437	0.170016238089993
BG039	background	384059	9	3	8	6.666666666666667	1.8971199848858813	12.858551465600884	1.777226523707494	0.11989346117838728
BG040	background	212369	8	16	8	10.666666666666666	2.367123614131617	12.26608060666225	2.3571696657842143	0.009953948347402708
BG041	background	242957	10	5	6	7.0	1.9459101490553132	12.40063975193184	2.2254557555969683	-0.27954560654165506
BG042	background	618431	6	3	7	5.333333333333333	1.6739764335716716	13.33494090436502	1.3109102757422022	0.3630661578294694
BG043	background	341755	6	3	4	4.333333333333333	1.466337068793427	12.741849385057078	1.8914609544079504	-0.4251238856145234
BG044	background	1760949	1	1	0	0.6666666666666666	-0.40546510810816444	14.381363426241254	0.28661421776578067	-0.692079325873945
BG045	background	308756	8	7	7	7.333333333333333	1.992430164690206	12.640306599933883	1.9908566309566034	0.0015735337336026944
BG046	background	1178524	1	2	2	1.6666666666666667	0.5108256237659907	13.97977336602156	0.679712710015357	-0.16888708624936632
BG047	background	494726	5	5	6	5.333333333333333	1.6739764335716716	13.111759352940041	1.529372683190946	0.1446037503807256
BG048	background	1732722	2	3	2	2.3333333333333335	0.8472978603872037	14.365204140365295	0.30243181770885386	0.5448660426783498
BG049	background	278752	9	14	7	10.0	2.302585092994046	12.538077776618618	2.0909238395117526	0.21166125348229325
BG050	background	442831	6	10	4	6.666666666666667	1.8971199848858813	13.000943486399525	1.6378453630938719	0.25927462179200944
BG051	background	723770	1	2	0	1.0	0.0	13.492228941339002	1.156948073217709	-1.156948073217709
BG052	background	270590	3	8	6	5.666666666666667	1.7346010553881064	12.508360039120971	2.12001319943516	-0.3854121440470537
