EP1g1	943	EP1g1	1208.3333333333
EP1g2	770.66666666667	EP1g2	1001.3333333333
EP1g3	850	EP1g3	1106
EP1g4	949.33333333333	EP1g4	1226
EP2g1	1339.3333333333	EP2g1	581.66666666667
EP2g2	1408	EP2g2	581.33333333333
EP2g3	1313	EP2g3	596
EP2g4	1300.3333333333	EP2g4	532.66666666667
EP3g1	929.33333333333	EP3g1	932.33333333333
EP3g2	1012	EP3g2	1005
EP3g3	969.66666666667	EP3g3	459.66666666667
EP3g4	1003.3333333333	EP3g4	995.33333333333
EP4g1	688	EP4g1	402
EP4g2	701.33333333333	EP4g2	427.33333333333
EP4g3	732.66666666667	EP4g3	416
EP4g4	716	EP4g4	374.66666666667
EP5g1	979	EP5g1	715
EP5g2	1089.3333333333	EP5g2	780.66666666667
EP5g3	1057	EP5g3	761.33333333333
EP5g4	988.66666666667	EP5g4	714.33333333333
EP6g1	610	EP6g1	506
EP6g2	658.33333333333	EP6g2	550.33333333333
EP6g3	677.66666666667	EP6g3	580.66666666667
EP6g4	673.33333333333	EP6g4	566.33333333333
EP7g1	1234.3333333333	EP7g1	681
EP7g2	1155.6666666667	EP7g2	948.66666666667
EP7g3	1192.3333333333	EP7g3	776.33333333333
EP7g4	1137.3333333333	EP7g4	853
