Table S1. Ct values for 175 miRNAs  in DM1 and healthy controls serum 	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9	Unnamed: 10	Unnamed: 11	Unnamed: 12	Unnamed: 13	Unnamed: 14	Unnamed: 15	Unnamed: 16	Unnamed: 17	Unnamed: 18	Unnamed: 19	Unnamed: 20
	P_1	P_2	P_3	P_4	P_5	P_6	P_7	P_8	P_9	P_10	C_11	C_12	C_13	C_14	C_15	C_16	C_17	C_18	C_19	C_20
hsa-let-7a	29.1886238	29.3333413833333	28.8272572166666	28.6796823833333	29.3543927166667	27.8197968	27.44206055	27.5377652166667	27.6841583	28.3629926333334	30.1148968	30.4924553833333	30.9225792166666	28.2816103833333	28.6082357166667	30.6488758	28.75023255	29.3215382166667	29.0541532999999	27.0535556333334
hsa-let-7b	25.5066128	26.2106483833333	24.8025822166666	25.2421953833333	25.9966547166667	24.9444288	25.48265055	24.6404412166667	24.8182262999999	24.6164296333334	25.3477938	26.9220703833333	26.1393452166666	25.9636553833333	25.4252777166667	26.5687188	25.98128055	25.4927612166667	25.8523982999999	24.5931906333334
hsa-let-7b*	32.0634198	31.6359713833333	31.9949872166666	31.8404793833333	24.8920307166666	31.7492498	33.76002055	32.3365112166667	33.0920143	32.3477246333334	31.6689068	32.5408333833333	32.5609072166666	32.0649593833333	33.7871587166667	35.6397018	32.93571355	33.3063062166667	34.3966452999999	31.9866386333334
hsa-let-7c	31.0439108	31.1578013833333	30.8511712166666	30.7783643833333	31.7070447166667	30.1196268	30.02554055	29.6312922166667	30.4344982999999	29.9926826333334	31.1918428	32.6766173833333	32.6082942166666	29.9463733833333	30.7008307166667	32.2066118	30.66892455	31.4030452166667	32.3345302999999	29.6070266333334
hsa-let-7d	29.4451318	30.4866313833333	29.9343172166666	31.1565933833333	30.6491427166667	28.4111798	28.36168655	28.5202942166667	28.6535022999999	28.5710576333334	31.4877378	31.4101813833333	31.4263802166666	29.3624343833333	29.8688577166666	31.8799568	30.63927255	31.4429312166667	31.2612822999999	28.8211346333334
hsa-let-7d*	28.1072368	27.1976883833333	27.5906562166666	27.1580053833333	27.9931967166667	27.5447648	27.84429355	27.2625122166667	26.9002072999999	27.6099346333334	27.2335968	27.7042583833333	27.7221872166666	27.0992663833333	28.1941407166667	29.7778558	28.51506255	29.3747992166667	29.0059892999999	27.4119986333334
hsa-let-7e	30.3469648	30.4487193833333	30.8551272166666	30.7974573833333	31.1235087166667	30.3781178	29.74528755	30.7366172166667	30.6084192999999	30.4768046333334	32.2520978	32.1919513833333	31.7530362166666	30.1674593833333	30.8241997166667	31.6734788	30.91302555	32.2489522166667	32.3481723	30.1917276333334
hsa-let-7f	27.8986348	28.7140683833333	28.3987432166666	28.6772823833333	29.6060767166667	27.4079738	27.49389255	27.0393942166667	27.4454633	27.3360476333334	30.1811158	29.6838013833333	30.1127842166666	28.4899293833333	27.5679247166667	30.1450058	28.34824055	28.5391502166667	28.6973802999999	26.4390486333334
hsa-let-7g	26.2593848	27.0577633833333	26.5331422166666	26.1508633833333	27.4192107166667	26.0198018	26.55954055	25.8831662166667	26.0482602999999	25.3437376333334	27.0750008	28.6635213833333	29.2101972166666	26.5249423833333	26.7577017166667	28.7279718	26.88727455	27.1034182166667	27.8150142999999	25.8464886333334
