gene_id	log2_fold_change	p_value	fdr
YDR492W	-0.09259097337	0.8931287365	0.9991078244
YDR508C	-0.1074928986	0.7688566412	0.9991078244
YDR186C	0.09438889873	0.9044633913	0.9991078244
YDR150W	0.2844127229	0.5017739484	0.9991078244
YDL182W	-0.3379509614	0.3466879704	0.9991078244
YDR232W	0.2599281704	0.6533502068	0.9991078244
YDR158W	-0.1241111536	0.6061680046	0.9991078244
YDR533C	0.3216108836	0.6813971808	0.9991078244
YDR272W	-0.2048276799	0.7343657509	0.9991078244
YDR299W	-0.2134299119	0.6174085856	0.9991078244
YDL015C	0.2093342311	0.6623230304	0.9991078244
YDR304C	0.6743512898	0.101831031	0.9991078244
YDR367W	0.08216469234	0.887516028	0.9991078244
YDL097C	-0.08110422122	0.8178910738	0.9991078244
YDR105C	0.09376353841	0.8795192179	0.9991078244
YDR483W	-0.1053472784	0.6790486099	0.9991078244
YDR505C	-0.3202892754	0.6832211044	0.9991078244
YDR361C	0.3996049003	0.4760128594	0.9991078244
YDR266C	-0.08014290109	0.8818327172	0.9991078244
YDR002W	0.1499621145	0.599574023	0.9991078244
YDR214W	0.2419106988	0.6956289209	0.9991078244
YDL176W	0.6324815973	0.4550140561	0.9991078244
YDR460W	1.970355794	0.03905860565	0.9991078244
YDR060W	0.1785154208	0.536782181	0.9991078244
YDR422C	-0.5557328533	0.4487368863	0.9991078244
YDR119W	0.1840664539	0.6484587015	0.9991078244
YDR097C	-0.02978476072	0.9591207426	0.9991078244
YDL160C	-0.3719045931	0.5579463613	0.9991078244
snR13	-0.1406422427	0.8343819182	0.9991078244
YDR228C	0.09565872408	0.9018545776	0.9991078244
YDR471W	-0.1294713699	0.6847403471	0.9991078244
YDR089W	0.3854933075	0.5694409394	0.9991078244
YDR275W	0.09382306614	0.9110801581	0.9991078244
YDR129C	-0.1149774942	0.6605749897	0.9991078244
YDL066W	-0.3869104438	0.2838791408	0.9991078244
YDL125C	0.8196667006	0.3314569278	0.9991078244
YDR101C	-0.1253521029	0.715701749	0.9991078244
YDR212W	-0.4298690593	0.1980161617	0.9991078244
YDL131W	0.3711143644	0.452067618	0.9991078244
YDR458C	0.3174649975	0.6408621292	0.9991078244
YDR168W	0.1457177623	0.7611118854	0.9991078244
YDL006W	1.098602474	0.2065496203	0.9991078244
YDL086W	-0.6823195906	0.4286831725	0.9991078244
YDR238C	-0.1356039876	0.6538013066	0.9991078244
YDR077W	0.0226411433	0.943902764	0.9991078244
YDL083C	-0.3783800296	0.1177208578	0.9991078244
YDR487C	-0.1092804538	0.7841541702	0.9991078244
YDR427W	0.1433277044	0.7715668889	0.9991078244
YDR305C	1.184494272	0.1725604796	0.9991078244
YDR416W	0.1609996153	0.8430023808	0.9991078244
YDR365C	0.2776880934	0.5204286644	0.9991078244
YDR180W	0.2675439628	0.7408514759	0.9991078244
YDR294C	-0.3966073851	0.5108649908	0.9991078244
YDR264C	-0.1241138898	0.7687822442	0.9991078244
YDR354W	-0.3541201015	0.5216084883	0.9991078244
YDL112W	-0.1573587503	0.7449080165	0.9991078244
YDR284C	-0.7572857394	0.08531687984	0.9991078244
YDR050C	-0.08152302446	0.4965836234	0.9991078244
YDR159W	-0.3523276218	0.6383696901	0.9991078244
YDR111C	-0.1256898948	0.8549824075	0.9991078244
YDR128W	0.1284614824	0.8300369939	0.9991078244
YDL004W	0.5392462083	0.4821123111	0.9991078244
YDL171C	-0.1533793027	0.6224929267	0.9991078244
YDR083W	1.09802861	0.1879915878	0.9991078244
YDR457W	-0.1672019915	0.6392218581	0.9991078244
YDR206W	-0.2821324619	0.5743996736	0.9991078244
YDR432W	-0.4517713201	0.3791293321	0.9991078244
YDL072C	-0.5327165577	0.2776190958	0.9991078244
YDL070W	0.3141985276	0.3659151576	0.9991078244
YDR064W	-0.3374450893	0.0519996224	0.9991078244
YDL077C	-0.3797553262	0.6309795749	0.9991078244
YDL031W	0.3317312883	0.4805207239	0.9991078244
YDR398W	0.198777627	0.643751634	0.9991078244
YDR326C	0.02941574425	0.9572223733	0.9991078244
YDL052C	-0.4986364688	0.524621773	0.9991078244
YDR397C	0.3752438134	0.5826677085	0.9991078244
YDL116W	0.07351122019	0.8873135022	0.9991078244
YDR028C	0.1761934252	0.7066941642	0.9991078244
YDL007W	0.03041851174	0.9275882423	0.9991078244
YDR011W	-0.5075358014	0.2088588045	0.9991078244
YDR155C	-0.03473391639	0.8831314793	0.9991078244
YDL073W	-0.5305073675	0.4331213914	0.9991078244
YDL115C	0.6339752553	0.2254104952	0.9991078244
YDL145C	-0.08444108697	0.7848978278	0.9991078244
