method	rank	mapping_rna_to_atac	mean_pattern_score	second_minus_best	usable_feature_pairs
tss_bin_log_z	1	1;5;4;0;6;3;7;2	0.296078615381	0.000122043943834	20261
tss_bin_log_z	2	5;1;4;0;6;3;7;2	0.295956571438	0.000122043943834	20261
tss_bin_log_z	3	0;1;4;5;6;3;7;2	0.284221809493	0.000122043943834	20261
tss_bin_log_z	4	0;5;4;1;6;3;7;2	0.270815131376	0.000122043943834	20261
tss_bin_log_z	5	1;5;4;0;3;6;7;2	0.26238658625	0.000122043943834	20261
tss_bin_log_z	6	5;1;4;0;3;6;7;2	0.262264542306	0.000122043943834	20261
tss_bin_log_z	7	1;5;4;3;6;0;7;2	0.261129528347	0.000122043943834	20261
tss_bin_log_z	8	5;1;4;3;6;0;7;2	0.261007484403	0.000122043943834	20261
tss_bin_log_z	9	1;0;4;5;6;3;7;2	0.259258348431	0.000122043943834	20261
tss_bin_log_z	10	1;5;4;6;0;3;7;2	0.254063076446	0.000122043943834	20261
tss_bin_rank	1	5;1;4;0;6;3;7;2	0.269427962794	0.00171610479273	20261
tss_bin_rank	2	1;5;4;0;6;3;7;2	0.267711858002	0.00171610479273	20261
tss_bin_rank	3	0;1;4;5;6;3;7;2	0.259999043844	0.00171610479273	20261
tss_bin_rank	4	0;5;4;1;6;3;7;2	0.247516188836	0.00171610479273	20261
tss_bin_rank	5	5;1;4;0;3;6;7;2	0.233644840705	0.00171610479273	20261
tss_bin_rank	6	1;5;4;0;3;6;7;2	0.231928735913	0.00171610479273	20261
tss_bin_rank	7	5;1;4;3;6;0;7;2	0.230729912778	0.00171610479273	20261
tss_bin_rank	8	1;0;4;5;6;3;7;2	0.230220765299	0.00171610479273	20261
tss_bin_rank	9	1;5;4;3;6;0;7;2	0.229013807985	0.00171610479273	20261
tss_bin_rank	10	5;1;0;4;6;3;7;2	0.226382791437	0.00171610479273	20261
promoter_pm10kb_log_z	1	5;1;4;0;6;3;7;2	0.345036105685	0.0153680689754	20290
