method	rna_column	atac_0	atac_1	atac_2	atac_3	atac_4	atac_5	atac_6	atac_7
tss_bin_log_z	0	0.0875668014623	0.175573815768	-0.190102072208	-0.0899977984813	0.0389873928431	0.206320549792	-0.0608919601232	-0.167456729053
tss_bin_log_z	1	-0.0232091467527	0.264505556053	-0.204313504163	-0.117370698618	0.0625110662462	0.296228641627	-0.00948360804607	-0.268868306347
tss_bin_log_z	2	-0.00351238154209	0.0310069212788	-0.0878811850407	-0.0191920761874	0.327650628779	-0.0165791091476	-0.0915704676886	-0.139922330452
tss_bin_log_z	3	0.165754152767	0.0516532950272	-0.172409002572	-0.0186844933185	0.0272788376099	0.190629805542	-0.0438755286802	-0.200347066375
tss_bin_log_z	4	0.00961185768372	0.0217885252828	-0.0728901816632	0.0317941852387	-0.0562676945751	-0.0172853911066	0.136106487718	-0.0528577885784
tss_bin_log_z	5	0.0990275387717	-0.0929114829143	-0.0905321245482	0.194181588961	-0.0437328318284	-0.152393846046	0.0289576583883	0.0574034992153
tss_bin_log_z	6	-0.056500953834	-0.26291992279	0.238991544733	0.129066160668	-0.125112819238	-0.417281511161	-0.000239580345425	0.493997081967
tss_bin_log_z	7	-0.278737868556	-0.188696707705	0.579136525462	-0.109796868264	-0.231314579837	-0.0896391395005	0.040996998777	0.278051639623
tss_bin_rank	0	0.106077333658	0.190377883093	-0.194009417295	-0.11835398628	0.04666214163	0.232484252517	-0.0746905093702	-0.188547697953
tss_bin_rank	1	-0.0426123754149	0.279914402382	-0.186653841189	-0.143036835426	0.0727631893624	0.308291933465	-0.00915372697283	-0.279512746207
tss_bin_rank	2	0.032565634694	0.0333876459883	-0.0942672143315	-0.0217369057338	0.282679683999	0.00133087680982	-0.109816653444	-0.124143067982
tss_bin_rank	3	0.137540456473	0.0602756525852	-0.152501349221	-0.0355054386584	0.0432931349203	0.188516023732	-0.0553927998657	-0.186225679966
tss_bin_rank	4	-0.0206057347364	4.87703468767e-05	-0.0261155979281	0.0340108805685	-0.0811787174771	-0.0273091511643	0.137488302852	-0.016338752462
tss_bin_rank	5	0.0681564089785	-0.113617503193	-0.0465510953499	0.204694913982	-0.0547146139288	-0.176362335091	0.021907359553	0.0964868650491
tss_bin_rank	6	-0.0711555233799	-0.289019732677	0.276927822078	0.141631025533	-0.129578013167	-0.409490101622	0.0232335263196	0.457450996914
tss_bin_rank	7	-0.209966200272	-0.161367118525	0.423170693236	-0.0617036539861	-0.179926805339	-0.117461498647	0.0664245009273	0.240830082606
promoter_pm10kb_log_z	0	0.0205861987407	0.235638217373	-0.173541695755	-0.156514216479	0.0185603177881	0.356812925243	-0.0411017072077	-0.260440039703
promoter_pm10kb_log_z	1	0.00900057948374	0.259537530882	-0.198224000728	-0.117332100617	0.0653167867686	0.257767686948	-0.0259909800106	-0.250075502726
promoter_pm10kb_log_z	2	-0.100626089164	0.0721298502638	-0.0822022376791	-0.0553554189637	0.389174830037	0.0954547297002	-0.0889311134989	-0.229644550696
promoter_pm10kb_log_z	3	0.303576569913	0.000668985025414	-0.172287953248	0.019992440395	0.00909177218706	0.0705003438199	-0.0816498811059	-0.149892276986
promoter_pm10kb_log_z	4	-0.00387102649322	0.0221528895247	-0.0702896319872	0.0310379347066	-0.0700773344301	-0.0128056135573	0.165699811826	-0.0618470295897
