modality	transform	row	col_0	col_1	col_2	col_3	col_4	col_5	col_6	col_7
RNA	raw	0	1	0.9426007304	0.8706404775	0.82598984	0.8919910588	0.8428807735	0.8003261259	0.7999772359
RNA	raw	1	0.9426007304	1	0.9266477736	0.90335127	0.9684120732	0.9354590352	0.9021762861	0.8819038447
RNA	raw	2	0.8706404775	0.9266477736	1	0.9419056279	0.908304551	0.9022045321	0.8645524955	0.8312072583
RNA	raw	3	0.82598984	0.90335127	0.9419056279	1	0.9206956826	0.9312793295	0.9087394441	0.880021735
RNA	raw	4	0.8919910588	0.9684120732	0.908304551	0.9206956826	1	0.9792028907	0.9624884291	0.9393032568
RNA	raw	5	0.8428807735	0.9354590352	0.9022045321	0.9312793295	0.9792028907	1	0.9832485584	0.9404018269
RNA	raw	6	0.8003261259	0.9021762861	0.8645524955	0.9087394441	0.9624884291	0.9832485584	1	0.9543566852
RNA	raw	7	0.7999772359	0.8819038447	0.8312072583	0.880021735	0.9393032568	0.9404018269	0.9543566852	1
RNA	log1p	0	1	0.9844715112	0.9566882132	0.956484686	0.9528755278	0.9325869321	0.8848451817	0.8686119659
RNA	log1p	1	0.9844715112	1	0.9661642913	0.9632148222	0.9679503176	0.9501663949	0.8987927736	0.8778428228
RNA	log1p	2	0.9566882132	0.9661642913	1	0.9654723784	0.946886457	0.9449350729	0.9025366847	0.8729122637
RNA	log1p	3	0.956484686	0.9632148222	0.9654723784	1	0.9620243567	0.967170355	0.922242691	0.8968107502
RNA	log1p	4	0.9528755278	0.9679503176	0.946886457	0.9620243567	1	0.9782960653	0.942445292	0.912396134
RNA	log1p	5	0.9325869321	0.9501663949	0.9449350729	0.967170355	0.9782960653	1	0.9628597897	0.91442822
RNA	log1p	6	0.8848451817	0.8987927736	0.9025366847	0.922242691	0.942445292	0.9628597897	1	0.9413457567
RNA	log1p	7	0.8686119659	0.8778428228	0.8729122637	0.8968107502	0.912396134	0.91442822	0.9413457567	1
ATAC	raw	0	1	0.8494580073	0.7737930686	0.9010046916	0.8642015079	0.8417495489	0.8682531672	0.7868231334
ATAC	raw	1	0.8494580073	1	0.7954328104	0.8604070848	0.9219826172	0.9820652118	0.9084782576	0.7761451295
ATAC	raw	2	0.7737930686	0.7954328104	1	0.8568978698	0.8168051688	0.7970519654	0.8720664177	0.9113652564
ATAC	raw	3	0.9010046916	0.8604070848	0.8568978698	1	0.9018583167	0.8467024061	0.9381898784	0.9040390139
ATAC	raw	4	0.8642015079	0.9219826172	0.8168051688	0.9018583167	1	0.912782914	0.901209815	0.8182177276
ATAC	raw	5	0.8417495489	0.9820652118	0.7970519654	0.8467024061	0.912782914	1	0.8965241851	0.7706962906
ATAC	raw	6	0.8682531672	0.9084782576	0.8720664177	0.9381898784	0.901209815	0.8965241851	1	0.8786708986
ATAC	raw	7	0.7868231334	0.7761451295	0.9113652564	0.9040390139	0.8182177276	0.7706962906	0.8786708986	1
ATAC	log1p	0	1	0.8441309052	0.7088179796	0.8851116506	0.8568723044	0.8233087372	0.8350321019	0.7321280772
ATAC	log1p	1	0.8441309052	1	0.7548293311	0.8614614161	0.9302736937	0.9798916719	0.8835061458	0.7477438688
ATAC	log1p	2	0.7088179796	0.7548293311	1	0.835401166	0.799201507	0.7496821156	0.8435564565	0.9020830409
ATAC	log1p	3	0.8851116506	0.8614614161	0.835401166	1	0.9063590819	0.8360402162	0.9322308744	0.8861720962
ATAC	log1p	4	0.8568723044	0.9302736937	0.799201507	0.9063590819	1	0.9178423603	0.890728404	0.8103915417
ATAC	log1p	5	0.8233087372	0.9798916719	0.7496821156	0.8360402162	0.9178423603	1	0.8590259569	0.7334979857
ATAC	log1p	6	0.8350321019	0.8835061458	0.8435564565	0.9322308744	0.890728404	0.8590259569	1	0.8591050932
ATAC	log1p	7	0.7321280772	0.7477438688	0.9020830409	0.8861720962	0.8103915417	0.7334979857	0.8591050932	1
