rank	mapping_rna_to_atac	graph_raw_mae	graph_log1p_mae	graph_mean_mae	distribution_fingerprint_mse
1	2;6;7;4;3;1;5;0	0.04560474875	0.09368198902	0.06964336888	1.603532612
2	7;6;2;4;3;1;5;0	0.04646531697	0.09368198902	0.070073653	1.586436377
3	2;6;7;4;3;5;1;0	0.04671201123	0.09425563206	0.07048382165	1.591323737
4	7;3;2;4;6;1;5;0	0.04696909495	0.094201191	0.07058514298	1.423290139
5	2;3;7;4;6;1;5;0	0.04696909495	0.094201191	0.07058514298	1.440386373
6	7;6;2;4;3;5;1;0	0.04757257946	0.09425563206	0.07091410576	1.574227503
7	0;3;4;1;6;5;7;2	0.04859952808	0.0933740915	0.07098680979	1.275064258
8	7;3;2;4;6;5;1;0	0.04762621662	0.09477483405	0.07120052533	1.411081264
9	2;3;7;4;6;5;1;0	0.04762621662	0.09477483405	0.07120052533	1.428177499
10	5;1;4;0;6;3;2;7	0.04995854425	0.09246542601	0.07121198513	0.9023542544
11	5;1;4;0;6;3;7;2	0.04995854425	0.09246542601	0.07121198513	1.038484199
12	0;3;4;5;6;1;7;2	0.04917584799	0.0933740915	0.07127496975	1.111958058
13	0;3;4;6;1;5;7;2	0.04998440475	0.0925793979	0.07128190133	1.534162816
14	7;3;2;0;6;4;1;5	0.04729510994	0.09546257283	0.07137884139	2.219900822
15	2;3;7;0;6;4;1;5	0.04729510994	0.09546257283	0.07137884139	2.236997057
16	0;6;4;1;3;5;2;7	0.04947652041	0.0933740915	0.07142530596	1.302080552
17	0;6;4;1;3;5;7;2	0.04947652041	0.0933740915	0.07142530596	1.438210496
18	0;3;5;1;6;4;7;2	0.04936341637	0.09349537554	0.07142939596	1.381704791
19	0;3;6;4;1;5;7;2	0.05032966137	0.0925793979	0.07145452964	1.523512108
20	0;3;1;5;6;4;7;2	0.04948234148	0.09349537554	0.07148885851	1.357900638
21	0;3;5;1;4;6;7;2	0.0495040891	0.09349537554	0.07149973232	1.342431562
22	0;3;4;6;5;1;7;2	0.05045420717	0.0925793979	0.07151680254	1.643058149
23	0;6;4;5;3;1;2;7	0.04968662691	0.0933740915	0.07153035921	1.138974352
24	0;6;4;5;3;1;7;2	0.04968662691	0.0933740915	0.07153035921	1.275104296
25	2;7;3;0;6;4;1;5	0.04762765969	0.09546257283	0.07154511626	2.303866724
26	2;6;7;0;3;5;1;4	0.04834706338	0.09484625484	0.07159665911	2.207085009
27	0;3;1;5;4;6;7;2	0.04996680594	0.09349537554	0.07173109074	1.31862741
28	0;4;1;5;3;6;2;7	0.04997920876	0.09349537554	0.07173729215	1.154879323
29	0;4;1;5;3;6;7;2	0.04997920876	0.09349537554	0.07173729215	1.291009268
30	0;6;1;5;3;4;2;7	0.04998071279	0.09349537554	0.07173804417	1.384916932
31	0;6;1;5;3;4;7;2	0.04998071279	0.09349537554	0.07173804417	1.521046877
32	2;6;7;4;1;3;5;0	0.04842233008	0.09514016743	0.07178124875	1.671859798
33	2;6;7;0;3;1;5;4	0.04789692256	0.09573420722	0.07181556489	2.219293883
34	7;3;2;0;6;4;5;1	0.04729510994	0.09635052521	0.07182281758	2.014505665
35	2;3;7;0;6;4;5;1	0.04729510994	0.09635052521	0.07182281758	2.031601899
36	0;3;6;4;5;1;7;2	0.05114325552	0.0925793979	0.07186132671	1.632407441
37	0;6;5;1;3;4;2;7	0.0502404087	0.09349537554	0.07186789212	1.408721084
38	0;6;5;1;3;4;7;2	0.0502404087	0.09349537554	0.07186789212	1.544851029
39	5;1;4;3;6;0;7;2	0.05128893141	0.09246542601	0.07187717871	1.000979456
40	2;6;7;5;3;1;4;0	0.05040938626	0.0933740915	0.07189173888	1.612285888
41	2;3;7;0;6;5;1;4	0.04794324411	0.09596273183	0.07195298797	2.043938771
42	2;7;6;4;3;1;5;0	0.0503103068	0.09368198902	0.07199614791	1.474024349
43	7;3;2;0;6;5;1;4	0.04804414116	0.09596273183	0.0720034365	2.026842536
44	0;3;4;1;6;5;2;7	0.05004755961	0.0939690396	0.0720082996	1.138934313
45	2;7;0;3;6;4;1;5	0.04864564432	0.09546257283	0.07205410857	2.295949294
