method	rank	mapping_rna_to_atac	mean_score	second_minus_best	usable_pairs
tss_bin_global_pearson	1	5;1;4;0;6;3;7;2	0.550451537932	0.000868238066563	0
tss_bin_global_pearson	2	1;5;4;0;6;3;7;2	0.549583299866	0.000868238066563	0
tss_bin_global_pearson	3	5;1;4;0;3;6;7;2	0.548030885424	0.000868238066563	0
tss_bin_global_pearson	4	1;5;4;0;3;6;7;2	0.547162647358	0.000868238066563	0
tss_bin_global_pearson	5	5;1;4;3;6;0;7;2	0.546675597431	0.000868238066563	0
tss_bin_global_pearson	6	0;1;4;5;6;3;7;2	0.546478116525	0.000868238066563	0
tss_bin_global_pearson	7	5;0;4;1;6;3;7;2	0.546399075643	0.000868238066563	0
tss_bin_global_pearson	8	5;1;4;6;0;3;7;2	0.546358845379	0.000868238066563	0
tss_bin_global_pearson	9	1;0;4;5;6;3;7;2	0.546269164564	0.000868238066563	0
tss_bin_global_pearson	10	5;4;1;0;6;3;7;2	0.546114321356	0.000868238066563	0
tss_bin_global_spearman	1	5;1;4;0;6;3;7;2	0.606350742819	0.000969455056533	0
tss_bin_global_spearman	2	1;5;4;0;6;3;7;2	0.605381287762	0.000969455056533	0
tss_bin_global_spearman	3	5;1;4;0;3;6;7;2	0.603477791699	0.000969455056533	0
tss_bin_global_spearman	4	1;5;4;0;3;6;7;2	0.602508336643	0.000969455056533	0
tss_bin_global_spearman	5	5;1;4;3;6;0;7;2	0.601971429255	0.000969455056533	0
tss_bin_global_spearman	6	0;1;4;5;6;3;7;2	0.601865340873	0.000969455056533	0
tss_bin_global_spearman	7	5;0;4;1;6;3;7;2	0.601763632896	0.000969455056533	0
tss_bin_global_spearman	8	1;0;4;5;6;3;7;2	0.601647651162	0.000969455056533	0
tss_bin_global_spearman	9	5;1;4;6;0;3;7;2	0.601478240565	0.000969455056533	0
tss_bin_global_spearman	10	5;4;1;0;6;3;7;2	0.601276649639	0.000969455056533	0
tss_bin_within_z	1	1;5;4;0;6;3;7;2	0.296078615381	0.000122043943834	0
tss_bin_within_z	2	5;1;4;0;6;3;7;2	0.295956571438	0.000122043943834	0
tss_bin_within_z	3	0;1;4;5;6;3;7;2	0.284221809493	0.000122043943834	0
tss_bin_within_z	4	0;5;4;1;6;3;7;2	0.270815131376	0.000122043943834	0
tss_bin_within_z	5	1;5;4;0;3;6;7;2	0.26238658625	0.000122043943834	0
