section	metric	human	mouse	pig	other
reads	pairs				644838
reads	classified_mod16	54596	136400	159173	350169
reads	classified_mod32	49050	112131	125581	286762
cells	assigned_mod16	50	150	300	0
cells	percent_mod16	10.000	30.000	60.000	
cells	rounded10_mod16	10	30	60	
cells	assigned_mod32	50	150	300	0
cells	percent_mod32	10.000	30.000	60.000	
cells	rounded10_mod32	10	30	60	
reference	human_transcripts				205541
reference	human_sampled_kmers				23746613
reference	mouse_transcripts				116912
reference	mouse_sampled_kmers				13292923
reference	pig_transcripts				46369
reference	pig_sampled_kmers				8983706
reference	marker_total				17695320
reference	unique_human_markers	7038246			
reference	unique_mouse_markers		6180391		
reference	unique_pig_markers			4202550	
reference	shared_or_ambiguous_markers				274133
