candidate	model_count	unique_intervals_rel_0.80	clusters_rel_0.80	unique_intervals_rel_0.85	clusters_rel_0.85	unique_intervals_rel_0.90	clusters_rel_0.90
CTCF	3	320	265	312	265	300	265
KLF3	1	39	27	15	15	0	0
E2F1	1	277	266	12	12	0	0
MAX	1	300	300	0	0	0	0
TBP	1	4762	238	0	0	0	0
CREB1	1	0	0	0	0	0	0
FOS	2	0	0	0	0	0	0
FOXA1	1	0	0	0	0	0	0
FOXO1	1	0	0	0	0	0	0
GATA1	1	0	0	0	0	0	0
GATA3	1	0	0	0	0	0	0
HNF4A	2	0	0	0	0	0	0
JUN	2	0	0	0	0	0	0
MYC	1	0	0	0	0	0	0
NANOG	1	0	0	0	0	0	0
OCT4	1	0	0	0	0	0	0
P53	1	0	0	0	0	0	0
SOX2	1	0	0	0	0	0	0
STAT1	1	0	0	0	0	0	0
TCF7	1	0	0	0	0	0	0
