# preliminary marker scan; raw counts/cell and detection fraction
# rows=36601 eye1_cells=8646 eye1_nnz=13757991 eye2_cells=9355 eye2_nnz=13643402
# mean_library_eye1=3288.011 mean_library_eye2=2849.443
gene	count_per_cell_eye1	count_per_cell_eye2	count_delta_eye2_minus_eye1	detect_eye1	detect_eye2	detect_delta
MERTK	0.278395	0.344201	0.065806	0.188758	0.239979	0.051221
IFITM3	0.220449	0.258258	0.037809	0.156604	0.186531	0.029927
OPN1LW	0.107333	0.125601	0.018268	0.048693	0.063282	0.014589
OPN1MW	0.004511	0.011972	0.007461	0.003701	0.008017	0.004316
CD74	0.009137	0.014751	0.005614	0.008790	0.013896	0.005106
SNCG	0.049503	0.052592	0.003090	0.037590	0.044468	0.006879
RPE65	0.006361	0.009407	0.003045	0.005667	0.008445	0.002777
GFAP	0.024751	0.027579	0.002828	0.019547	0.021593	0.002046
HLA-DRA	0.006477	0.009300	0.002823	0.006130	0.008338	0.002208
OPN1SW	0.020703	0.023517	0.002814	0.004511	0.006414	0.001903
LHX1	0.017580	0.020203	0.002623	0.009831	0.009727	-0.000104
C1QB	0.004395	0.006948	0.002553	0.004279	0.006414	0.002134
HLA-DRB1	0.002892	0.005345	0.002453	0.002892	0.005131	0.002239
HLA-DQB1	0.002082	0.004169	0.002087	0.002082	0.003848	0.001766
TYROBP	0.003238	0.005238	0.001999	0.003238	0.004917	0.001679
ESAM	0.004395	0.006200	0.001805	0.004279	0.005772	0.001493
DCN	0.004164	0.005452	0.001288	0.002776	0.002886	0.000110
COL4A1	0.014573	0.015500	0.000927	0.010062	0.011545	0.001482
CDH5	0.000116	0.000855	0.000739	0.000116	0.000641	0.000526
HLA-DQA1	0.000578	0.001283	0.000704	0.000578	0.001283	0.000704
GBP2	0.003701	0.004169	0.000468	0.003123	0.003421	0.000298
SOCS3	0.002776	0.003207	0.000431	0.002545	0.003207	0.000662
OAS1	0.000578	0.000855	0.000277	0.000463	0.000855	0.000393
CD37	0.003701	0.003955	0.000254	0.003585	0.003955	0.000370
MX2	0.000463	0.000641	0.000179	0.000463	0.000641	0.000179
CD68	0.000578	0.000748	0.000170	0.000578	0.000748	0.000170
GBP1	0.002198	0.002352	0.000154	0.002082	0.002245	0.000163
TMEM119	0.000000	0.000107	0.000107	0.000000	0.000107	0.000107
POU4F1	0.000000	0.000107	0.000107	0.000000	0.000107	0.000107
CD3E	0.000000	0.000107	0.000107	0.000000	0.000107	0.000107
CD3D	0.000000	0.000107	0.000107	0.000000	0.000107	0.000107
PTGS2	0.000231	0.000321	0.000089	0.000231	0.000321	0.000089
TRBC1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
TNF	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MS4A1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CD79A	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
OAS3	0.000347	0.000321	-0.000026	0.000347	0.000321	-0.000026
HLA-DMB	0.000347	0.000321	-0.000026	0.000347	0.000321	-0.000026
OAS2	0.000463	0.000428	-0.000035	0.000463	0.000428	-0.000035
C1QA	0.003470	0.003421	-0.000049	0.003470	0.003314	-0.000156
CSPG4	0.000231	0.000107	-0.000124	0.000231	0.000107	-0.000124
FCER1G	0.002429	0.002245	-0.000184	0.002313	0.002138	-0.000175
MS4A7	0.001157	0.000962	-0.000195	0.001157	0.000962	-0.000195
LYZ	0.001041	0.000748	-0.000293	0.001041	0.000748	-0.000293
