# CCL5/immune coexpression diagnostic; log1p(CP10K) values
# gene	mean_eye1	mean_eye2	delta_eye2_minus_eye1	detect_eye1	detect_eye2
TRAC	0.139617	0.114492	-0.025125	0.097270	0.072902
CD3D	0.000000	0.000130	0.000130	0.000000	0.000107
CD3E	0.000000	0.000097	0.000097	0.000000	0.000107
CD3G	0.000986	0.000414	-0.000572	0.000810	0.000321
TRBC1	0.000000	0.000000	0.000000	0.000000	0.000000
TRBC2	0.000706	0.000730	0.000024	0.000578	0.000534
CD247	0.024756	0.035702	0.010946	0.017349	0.024051
CD2	0.000000	0.000000	0.000000	0.000000	0.000000
LTB	0.001011	0.001020	0.000009	0.000925	0.000855
IL7R	0.010578	0.000000	-0.010578	0.009484	0.000000
CCL5	0.086187	0.001920	-0.084267	0.049271	0.001390
IL32	0.000505	0.000436	-0.000069	0.000463	0.000321
NKG7	0.000000	0.000000	0.000000	0.000000	0.000000
CD8A	0.000447	0.001091	0.000643	0.000578	0.001069
CD8B	0.000671	0.000000	-0.000671	0.000578	0.000000
GZMK	0.000000	0.000000	0.000000	0.000000	0.000000
GZMB	0.000000	0.000000	0.000000	0.000000	0.000000
GNLY	0.000332	0.001217	0.000884	0.000347	0.000855
PTPRC	0.008821	0.009559	0.000738	0.006708	0.006307
LST1	0.001278	0.001688	0.000410	0.000694	0.001176
AIF1	0.002097	0.000907	-0.001189	0.001504	0.000748
TYROBP	0.004471	0.007458	0.002986	0.003238	0.004917
LYZ	0.001407	0.000959	-0.000448	0.001041	0.000748
FCER1G	0.003370	0.003282	-0.000088	0.002313	0.002138
CTSD	0.080248	0.069210	-0.011038	0.061878	0.050882
CTSS	0.037282	0.024947	-0.012335	0.025677	0.017103
MS4A7	0.001568	0.001386	-0.000181	0.001157	0.000962
CD68	0.000765	0.000849	0.000085	0.000578	0.000748
C1QA	0.004546	0.004478	-0.000068	0.003470	0.003314
C1QB	0.005928	0.009955	0.004027	0.004279	0.006414
C1QC	0.002265	0.002126	-0.000139	0.001735	0.001390
P2RY12	0.030015	0.020483	-0.009532	0.025098	0.018172
TMEM119	0.000000	0.000140	0.000140	0.000000	0.000107
CSF1R	0.002515	0.003326	0.000810	0.002082	0.002565
LGALS3	0.097937	0.132375	0.034438	0.062688	0.079423
SPP1	0.143868	0.155811	0.011943	0.095189	0.099519
GFAP	0.024669	0.029655	0.004987	0.019547	0.021593
ALDH1L1	0.019608	0.016144	-0.003464	0.015730	0.013041
GJA1	0.000160	0.000350	0.000190	0.000116	0.000214
CLDN10	0.004968	0.003437	-0.001531	0.004395	0.002459
ATP1A2	0.014519	0.008637	-0.005882	0.012723	0.007162
AGT	0.043841	0.044425	0.000584	0.031691	0.028006
AQP4	0.026308	0.017657	-0.008651	0.021282	0.014110
SLC1A3	0.139932	0.113108	-0.026824	0.067661	0.058578
RLBP1	0.123552	0.106528	-0.017024	0.077492	0.065954
GLUL	0.501064	0.455540	-0.045524	0.282443	0.250775
KCNJ10	0.010883	0.006205	-0.004678	0.008328	0.004917
SOX9	0.015868	0.014727	-0.001140	0.012491	0.010689
VIM	0.381990	0.375345	-0.006644	0.243465	0.226296
CLDN11	0.001006	0.001298	0.000291	0.000810	0.000962
RAX	0.062302	0.056556	-0.005746	0.048230	0.040941
DIO2	0.061430	0.055179	-0.006252	0.042794	0.035061
RGS5	0.019120	0.021668	0.002548	0.014111	0.014538
CSPG4	0.000361	0.000141	-0.000220	0.000231	0.000107
PDGFRB	0.027217	0.022162	-0.005055	0.020472	0.016248
MCAM	0.026030	0.022233	-0.003798	0.019431	0.016676
COL4A1	0.013578	0.015695	0.002118	0.010062	0.011545
COL4A2	0.038344	0.036563	-0.001781	0.027990	0.025334
ACTA2	0.009355	0.010181	0.000826	0.007171	0.007803
DES	0.000000	0.000000	0.000000	0.000000	0.000000
NOTCH3	0.000728	0.001242	0.000515	0.000578	0.000962
ABCC9	0.002899	0.002030	-0.000869	0.002892	0.001710
RPE65	0.007726	0.013635	0.005909	0.005667	0.008445
BEST1	0.072601	0.029369	-0.043233	0.051006	0.018493
PMEL	0.005546	0.003602	-0.001944	0.004048	0.002565
TYR	0.008591	0.006793	-0.001798	0.006014	0.004169
MITF	0.032837	0.042243	0.009406	0.025330	0.029931
MERTK	0.309284	0.433267	0.123983	0.188758	0.239979
LRAT	0.009175	0.010743	0.001568	0.007518	0.008445
RDH5	0.124154	0.095095	-0.029059	0.089174	0.062106
SERPINF1	0.045466	0.049927	0.004460	0.034582	0.034955
CFH	0.005002	0.002983	-0.002019	0.003354	0.001924
RGR	0.118900	0.104991	-0.013909	0.074601	0.063068
HLA-DRA	0.008954	0.012526	0.003572	0.006130	0.008338
HLA-DRB1	0.003779	0.007842	0.004063	0.002892	0.005131
HLA-DPA1	0.006501	0.005878	-0.000623	0.005205	0.004062
HLA-DPB1	0.018836	0.018413	-0.000423	0.014920	0.011972
CD74	0.011397	0.021025	0.009628	0.008790	0.013896
ISG15	0.007087	0.006735	-0.000352	0.006246	0.005452
IFIT1	0.034148	0.026998	-0.007150	0.028452	0.020417
IFIT2	0.006946	0.005308	-0.001638	0.005783	0.004276
IFIT3	0.011273	0.006360	-0.004914	0.009253	0.005131
IFITM3	0.234107	0.308123	0.074016	0.156604	0.186531
MX1	0.005434	0.003262	-0.002171	0.004742	0.002672
IRF7	0.035421	0.018497	-0.016924	0.027643	0.012400
IRF1	0.038267	0.021828	-0.016439	0.030766	0.014431
IL1B	0.019119	0.000168	-0.018952	0.016655	0.000107
TNF	0.000000	0.000000	0.000000	0.000000	0.000000
CCL2	0.015060	0.001696	-0.013364	0.013301	0.001390
CXCL10	0.022629	0.000210	-0.022418	0.019200	0.000107
IL6	0.018381	0.000221	-0.018160	0.015845	0.000214
CXCL8	0.005720	0.000177	-0.005543	0.004973	0.000107
PTGS2	0.000304	0.000322	0.000018	0.000231	0.000321
ICAM1	0.051601	0.006390	-0.045211	0.036896	0.004703
NFKBIA	0.075788	0.031117	-0.044671	0.054013	0.022341
TNFAIP3	0.066293	0.058605	-0.007688	0.046495	0.038696

# Among CCL5-positive cells, marker detection fractions
# eye	CCL5_positive_cells	marker	detection_fraction	mean_log_norm
eye1	426	TRAC	0.065728	0.056941
eye1	426	CD3D	0.000000	0.000000
eye1	426	CD3E	0.000000	0.000000
eye1	426	CD3G	0.000000	0.000000
eye1	426	TRBC1	0.000000	0.000000
eye1	426	TRBC2	0.004695	0.005523
eye1	426	CD247	0.025822	0.027612
eye1	426	CD2	0.000000	0.000000
eye1	426	LTB	0.004695	0.006403
eye1	426	IL7R	0.171362	0.186859
eye1	426	CCL5	1.000000	1.749226
eye1	426	IL32	0.000000	0.000000
eye1	426	NKG7	0.000000	0.000000
eye1	426	CD8A	0.000000	0.000000
eye1	426	CD8B	0.000000	0.000000
eye1	426	GZMK	0.000000	0.000000
eye1	426	GZMB	0.000000	0.000000
eye1	426	GNLY	0.000000	0.000000
eye1	426	PTPRC	0.007042	0.006018
eye1	426	LST1	0.002347	0.003042
eye1	426	AIF1	0.000000	0.000000
