# identity-specific anchors; raw count matrices scored as log1p(CP10K)
# eye1_cells=8646 eye2_cells=9355
# Direction is eye2 minus eye1; a negative value means stronger inflammation in eye1.
# Threshold robustness
cell_type	anchors_present	min_detected	n_eye1	n_eye2	inflam_eye1	inflam_eye2	delta	detect_eye1	detect_eye2	detect_delta
astrocyte	0	2	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
astrocyte	0	3	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
microglial cell	0	2	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
microglial cell	0	3	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
RPE cell	0	2	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
RPE cell	0	3	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
macrophage	0	2	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
macrophage	0	3	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Pericyte	0	2	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Pericyte	0	3	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Schwann cell	0	2	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Schwann cell	0	3	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
muller glia cell	0	2	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
muller glia cell	0	3	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
endothelial cell	0	2	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
endothelial cell	0	3	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000

# Top eye1-enriched inflammatory genes within each anchor-positive population (minimum two anchors)
cell_type	gene	eye1_mean	eye2_mean	delta_eye2_minus_eye1	eye1_detect	eye2_detect
astrocyte	HLA-DRA	0.000000	0.000000	0.000000	0.000000	0.000000
astrocyte	HLA-DRB1	0.000000	0.000000	0.000000	0.000000	0.000000
astrocyte	HLA-DPA1	0.000000	0.000000	0.000000	0.000000	0.000000
astrocyte	HLA-DPB1	0.000000	0.000000	0.000000	0.000000	0.000000
astrocyte	HLA-DQA1	0.000000	0.000000	0.000000	0.000000	0.000000
astrocyte	HLA-DQB1	0.000000	0.000000	0.000000	0.000000	0.000000
microglial cell	HLA-DRA	0.000000	0.000000	0.000000	0.000000	0.000000
microglial cell	HLA-DRB1	0.000000	0.000000	0.000000	0.000000	0.000000
microglial cell	HLA-DPA1	0.000000	0.000000	0.000000	0.000000	0.000000
microglial cell	HLA-DPB1	0.000000	0.000000	0.000000	0.000000	0.000000
microglial cell	HLA-DQA1	0.000000	0.000000	0.000000	0.000000	0.000000
microglial cell	HLA-DQB1	0.000000	0.000000	0.000000	0.000000	0.000000
RPE cell	HLA-DRA	0.000000	0.000000	0.000000	0.000000	0.000000
RPE cell	HLA-DRB1	0.000000	0.000000	0.000000	0.000000	0.000000
RPE cell	HLA-DPA1	0.000000	0.000000	0.000000	0.000000	0.000000
RPE cell	HLA-DPB1	0.000000	0.000000	0.000000	0.000000	0.000000
RPE cell	HLA-DQA1	0.000000	0.000000	0.000000	0.000000	0.000000
RPE cell	HLA-DQB1	0.000000	0.000000	0.000000	0.000000	0.000000
macrophage	HLA-DRA	0.000000	0.000000	0.000000	0.000000	0.000000
macrophage	HLA-DRB1	0.000000	0.000000	0.000000	0.000000	0.000000
macrophage	HLA-DPA1	0.000000	0.000000	0.000000	0.000000	0.000000
macrophage	HLA-DPB1	0.000000	0.000000	0.000000	0.000000	0.000000
macrophage	HLA-DQA1	0.000000	0.000000	0.000000	0.000000	0.000000
macrophage	HLA-DQB1	0.000000	0.000000	0.000000	0.000000	0.000000
Pericyte	HLA-DRA	0.000000	0.000000	0.000000	0.000000	0.000000
Pericyte	HLA-DRB1	0.000000	0.000000	0.000000	0.000000	0.000000
Pericyte	HLA-DPA1	0.000000	0.000000	0.000000	0.000000	0.000000
Pericyte	HLA-DPB1	0.000000	0.000000	0.000000	0.000000	0.000000
Pericyte	HLA-DQA1	0.000000	0.000000	0.000000	0.000000	0.000000
Pericyte	HLA-DQB1	0.000000	0.000000	0.000000	0.000000	0.000000
Schwann cell	HLA-DRA	0.000000	0.000000	0.000000	0.000000	0.000000
Schwann cell	HLA-DRB1	0.000000	0.000000	0.000000	0.000000	0.000000
Schwann cell	HLA-DPA1	0.000000	0.000000	0.000000	0.000000	0.000000
Schwann cell	HLA-DPB1	0.000000	0.000000	0.000000	0.000000	0.000000
Schwann cell	HLA-DQA1	0.000000	0.000000	0.000000	0.000000	0.000000
Schwann cell	HLA-DQB1	0.000000	0.000000	0.000000	0.000000	0.000000
muller glia cell	HLA-DRA	0.000000	0.000000	0.000000	0.000000	0.000000
muller glia cell	HLA-DRB1	0.000000	0.000000	0.000000	0.000000	0.000000
muller glia cell	HLA-DPA1	0.000000	0.000000	0.000000	0.000000	0.000000
muller glia cell	HLA-DPB1	0.000000	0.000000	0.000000	0.000000	0.000000
muller glia cell	HLA-DQA1	0.000000	0.000000	0.000000	0.000000	0.000000
muller glia cell	HLA-DQB1	0.000000	0.000000	0.000000	0.000000	0.000000
endothelial cell	HLA-DRA	0.000000	0.000000	0.000000	0.000000	0.000000
endothelial cell	HLA-DRB1	0.000000	0.000000	0.000000	0.000000	0.000000
endothelial cell	HLA-DPA1	0.000000	0.000000	0.000000	0.000000	0.000000
endothelial cell	HLA-DPB1	0.000000	0.000000	0.000000	0.000000	0.000000
endothelial cell	HLA-DQA1	0.000000	0.000000	0.000000	0.000000	0.000000
endothelial cell	HLA-DQB1	0.000000	0.000000	0.000000	0.000000	0.000000
