# identity-specific anchors; raw count matrices scored as log1p(CP10K)
# eye1_cells=8646 eye2_cells=9355
# Direction is eye2 minus eye1; a negative value means stronger inflammation in eye1.
# Threshold robustness
cell_type	anchors_present	min_detected	n_eye1	n_eye2	inflam_eye1	inflam_eye2	delta	detect_eye1	detect_eye2	detect_delta
astrocyte	6	2	83	59	0.187132	0.057616	-0.129516	0.161185	0.048557	-0.112628
astrocyte	6	3	13	6	0.207055	0.063597	-0.143458	0.209979	0.054054	-0.155925
microglial cell	10	2	13	16	0.150510	0.058944	-0.091566	0.151767	0.047297	-0.104470
microglial cell	10	3	1	1	0.070664	0.040986	-0.029678	0.108108	0.027027	-0.081081
RPE cell	11	2	770	664	0.078826	0.029505	-0.049321	0.066550	0.024626	-0.041924
RPE cell	11	3	180	84	0.116293	0.039883	-0.076410	0.108108	0.040862	-0.067246
macrophage	10	2	525	488	0.106859	0.039061	-0.067799	0.087619	0.032676	-0.054943
macrophage	10	3	139	115	0.157312	0.050168	-0.107144	0.139413	0.043478	-0.095935
Pericyte	10	2	166	168	0.157798	0.045687	-0.112111	0.133670	0.038932	-0.094738
Pericyte	10	3	59	37	0.187463	0.064015	-0.123448	0.175905	0.057706	-0.118198
Schwann cell	9	2	570	555	0.067398	0.028774	-0.038624	0.056899	0.022790	-0.034109
Schwann cell	9	3	49	39	0.134148	0.058072	-0.076076	0.127413	0.056133	-0.071280
muller glia cell	8	2	1359	1251	0.074623	0.033777	-0.040846	0.058370	0.025580	-0.032790
muller glia cell	8	3	472	361	0.130500	0.045665	-0.084835	0.104501	0.037658	-0.066843
endothelial cell	10	2	16	12	0.130267	0.039258	-0.091009	0.136824	0.036036	-0.100788
endothelial cell	10	3	1	0	0.141531	0.000000	-0.141531	0.162162	0.000000	-0.162162

# Top eye1-enriched inflammatory genes within each anchor-positive population (minimum two anchors)
cell_type	gene	eye1_mean	eye2_mean	delta_eye2_minus_eye1	eye1_detect	eye2_detect
astrocyte	CCL5	1.331853	0.006487	-1.325366	0.771084	0.016949
astrocyte	ICAM1	0.888506	0.061928	-0.826578	0.686747	0.050847
astrocyte	NFKBIA	0.734260	0.026422	-0.707838	0.590361	0.033898
astrocyte	IRF7	0.471887	0.034079	-0.437808	0.469880	0.050847
astrocyte	IL1B	0.376927	0.000000	-0.376927	0.397590	0.000000
astrocyte	CXCL10	0.336720	0.000000	-0.336720	0.361446	0.000000
microglial cell	CCL5	0.921998	0.023920	-0.898078	0.538462	0.062500
microglial cell	ICAM1	0.623911	0.000000	-0.623911	0.461538	0.000000
microglial cell	NFKBIA	0.711685	0.214210	-0.497475	0.615385	0.187500
microglial cell	IRF1	0.315782	0.000000	-0.315782	0.384615	0.000000
microglial cell	IL6	0.278876	0.000000	-0.278876	0.230769	0.000000
microglial cell	CCL2	0.235672	0.000000	-0.235672	0.307692	0.000000
RPE cell	CCL5	0.506278	0.000576	-0.505702	0.290909	0.001506
RPE cell	ICAM1	0.285501	0.014857	-0.270644	0.223377	0.013554
RPE cell	NFKBIA	0.303458	0.064382	-0.239076	0.238961	0.060241
RPE cell	CXCL10	0.140640	0.000000	-0.140640	0.135065	0.000000
RPE cell	IRF1	0.146099	0.015971	-0.130128	0.142857	0.018072
RPE cell	IRF7	0.151040	0.023948	-0.127092	0.144156	0.024096
macrophage	CCL5	0.732859	0.000784	-0.732075	0.422857	0.002049
macrophage	ICAM1	0.424242	0.028440	-0.395802	0.321905	0.028689
macrophage	NFKBIA	0.447957	0.064746	-0.383211	0.339048	0.067623
macrophage	CXCL10	0.211004	0.000000	-0.211004	0.196190	0.000000
macrophage	IRF7	0.198777	0.020559	-0.178218	0.186667	0.022541
macrophage	IRF1	0.196592	0.021470	-0.175122	0.186667	0.026639
Pericyte	CCL5	1.115975	0.002278	-1.113697	0.674699	0.005952
Pericyte	ICAM1	0.707530	0.042299	-0.665231	0.566265	0.047619
Pericyte	NFKBIA	0.675812	0.047065	-0.628747	0.530120	0.053571
Pericyte	IL1B	0.321019	0.000000	-0.321019	0.325301	0.000000
Pericyte	IRF7	0.328697	0.009178	-0.319518	0.313253	0.017857
Pericyte	CXCL10	0.317949	0.000000	-0.317949	0.313253	0.000000
Schwann cell	CCL5	0.393654	0.006421	-0.387233	0.229825	0.007207
Schwann cell	NFKBIA	0.253232	0.039433	-0.213799	0.198246	0.037838
Schwann cell	ICAM1	0.226087	0.017583	-0.208504	0.178947	0.014414
Schwann cell	CXCL10	0.136342	0.000000	-0.136342	0.117544	0.000000
Schwann cell	IRF1	0.125901	0.015397	-0.110504	0.121053	0.016216
Schwann cell	IRF7	0.104864	0.003481	-0.101383	0.103509	0.005405
muller glia cell	CCL5	0.473783	0.003197	-0.470585	0.270787	0.003197
muller glia cell	ICAM1	0.278164	0.018044	-0.260120	0.203091	0.015987
muller glia cell	NFKBIA	0.301328	0.048986	-0.252342	0.218543	0.044764
muller glia cell	CXCL10	0.123758	0.000000	-0.123758	0.108904	0.000000
muller glia cell	IRF7	0.139809	0.016813	-0.122995	0.119941	0.015188
muller glia cell	IL1B	0.104003	0.000000	-0.104003	0.093451	0.000000
endothelial cell	CCL5	0.657050	0.000000	-0.657050	0.500000	0.000000
endothelial cell	ICAM1	0.540187	0.063803	-0.476384	0.500000	0.083333
endothelial cell	NFKBIA	0.507718	0.063803	-0.443915	0.562500	0.083333
endothelial cell	IRF1	0.338319	0.000000	-0.338319	0.375000	0.000000
endothelial cell	CXCL10	0.241560	0.000000	-0.241560	0.250000	0.000000
endothelial cell	IFITM3	1.013856	0.796631	-0.217225	0.625000	0.583333
