SN	raw total sequences:	273320	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	273320
SN	is sorted:	1	# sorted by coordinate
SN	1st fragments:	136660
SN	last fragments:	136660
SN	reads mapped:	273079
SN	reads mapped and paired:	272838	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	241
SN	reads properly paired:	271276	# proper-pair bit set
SN	reads paired:	273320	# paired-end technology bit set
SN	reads duplicated:	0	# PCR or optical duplicate bit set
SN	reads MQ0:	33127	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	405
SN	total length:	38434031	# ignores clipping
SN	total first fragment length:	19219199	# ignores clipping
SN	total last fragment length:	19214832	# ignores clipping
SN	bases mapped:	38398770	# ignores clipping
SN	bases mapped (cigar):	38167163	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	0
SN	mismatches:	158385	# from NM fields
SN	error rate:	4.149771e-03	# mismatches / bases mapped (cigar)
SN	average length:	141
SN	average first fragment length:	141
SN	average last fragment length:	141
SN	maximum length:	151
SN	maximum first fragment length:	151
SN	maximum last fragment length:	151
SN	average quality:	32.8
SN	insert size average:	202.2
SN	insert size standard deviation:	83.9
SN	inward oriented pairs:	136076
SN	outward oriented pairs:	234
SN	pairs with other orientation:	80
SN	pairs on different chromosomes:	29
SN	percentage of properly paired reads (%):	99.3
