Chromosome	StartPosition
1	10453
1	11612933
1	1219845
1	14892068
1	16165385
1	16196736
1	16216021
1	18536392
1	19109936
1	19123267
1	19558004
1	19610413
1	20992273
1	22478524
1	23494998
1	23699351
1	23986191
1	24402393
1	24491313
1	24726698
1	24797656
1	25004490
1	26856969
1	2690439
1	2690791
1	27463215
1	27777373
1	28411400
1	28604649
1	29006554
1	29048257
1	29093179
1	29230878
1	30501249
1	30910297
1	31184659
1	32117435
1	32807884
1	33624790
1	34797622
1	38568338
1	39067880
1	40646927
1	40991438
1	41257743
1	42069559
1	43361451
1	46135869
1	46196872
1	48767509
1	49117806
1	50578005
1	50668283
1	50784103
1	51304450
1	51686099
1	52683003
1	52879861
1	53104674
1	53185475
1	56286643
1	58600032
1	59018227
1	61249737
1	61744651
1	6310
1	65590637
1	67144760
1	67292734
1	70093297
1	70237359
1	73330864
1	73424577
1	73907469
1	74454564
1	75497857
1	75655921
1	75948528
1	7609771
1	76588873
1	77434048
1	77822887
1	78257752
1	79842679
1	79874423
1	79884720
1	80576159
1	8192
1	82015260
1	82852567
1	83846552
1	84816539
1	85711061
1	86296519
1	88195165
1	90439827
1	91258610
1	91684373
1	91824918
1	91907429
1	91926767
1	92019145
1	92109128
1	92120733
1	92128105
1	92137498
1	92159420
1	92185263
1	92304712
1	92403334
1	92454497
1	94435414
1	94817194
1	97858882
1	98354715
10	11380538
10	12317285
10	14223063
10	14490621
10	1510172
10	15117019
10	1523378
10	1585295
10	1606610
10	16639299
10	1967705
10	25933399
10	26888607
10	27876388
10	28389659
10	28648450
10	28652739
10	28708302
10	28708692
10	4360383
10	715728
10	874639
10	9802405
11	11169803
11	12454725
11	16637551
11	1811263
11	1906065
11	1906078
11	1906081
11	1913686
11	23953561
11	2589510
11	2590846
11	2612277
11	2867407
11	5343468
11	6977829
11	756265
11	756283
11	7886552
11	9191395
11	941974
11	952634
11	9709779
12	106332
12	106397
12	110171
12	12311781
12	127019
12	132611
12	13642320
12	15030573
12	156300
12	1594389
12	18133988
12	18888024
12	19562934
12	2131176
12	2131221
12	2131302
12	2270303
12	3018053
12	5163906
13	10245
13	12308321
13	14772131
13	1643907
13	16994151
13	17682284
13	1896471
13	19035424
13	19169282
13	258182
13	2734522
13	2748961
13	2976654
13	3263320
13	3736564
13	483412
13	5658515
13	7903475
13	8529
13	8651705
13	8793207
14	10353997
14	10380096
14	10380107
14	1118805
14	11488209
14	11632849
14	13854085
14	1386395
14	1391885
14	1466549
14	15214449
14	16908855
14	17416227
14	19715847
14	20203
14	20407
14	20419
14	20438
14	21496
14	23159465
14	23172297
14	4688173
14	4954880
14	5168623
15	10411503
15	13260392
15	13485493
15	13844535
15	1396412
15	1400645
15	1400646
15	1400878
15	1400879
15	1401282
15	14131907
15	14191365
15	14191371
15	14762457
15	15334029
15	15674326
15	178374
15	20677043
15	20957927
15	2635351
15	3022181
15	4215194
15	5364400
16	12272844
16	17375696
16	2031716
16	2628593
16	4038758
16	4484742
17	1027271
17	1028680
17	1036873
17	1070282
17	1075931
17	1127073
17	1127577
17	1142699
17	12484309
17	127717
17	12989445
17	134955
17	134962
17	159638
17	16797344
17	178783
17	178833
17	188768
17	188770
17	21663
17	260618
17	260640
17	27261
17	342318
17	421524
17	4408846
17	618005
17	618055
17	624297
17	6315567
17	675492
17	7731897
17	978710
18	10110548
18	13688120
18	16321
18	16977
19	12687468
19	1870926
19	2832134
19	5961832
19	68761
19	75773
19	8581916
19	9120563
19	9120620
19	9120637
2	100387740
2	100555412
2	100677437
2	100903128
2	101046467
2	101806116
2	102400311
2	102533395
2	103116273
2	10319232
2	10348088
2	103847652
2	105740848
2	107653158
2	108062867
2	108760415
2	111974481
2	112172571
2	112507583
2	113334946
2	113890236
2	114749993
2	116468742
2	117573387
2	118294926
2	11892350
2	120993111
2	123125001
2	13560408
2	14597943
2	15041967
2	15341645
2	15722672
2	15740872
2	18528122
2	18768971
2	19132548
2	19386789
2	2132683
2	23201525
2	23292135
2	2347808
2	2377787
2	24751624
2	25561736
2	25569889
2	26458744
2	26534694
2	28543293
2	31773187
2	31805609
2	32391648
2	33250407
2	37020408
2	38037387
2	4091333
2	41164075
2	42136496
2	42471114
2	43035386
2	43078393
2	43120833
2	44848600
2	4501001
2	45259823
2	45311152
2	45345324
2	45790512
2	4671950
2	47219053
2	48831221
2	49053368
2	49444503
2	51437575
2	52224804
2	52953695
2	53287510
2	54600449
2	56150168
2	57165385
2	60719192
2	61766220
2	62572456
2	62962653
2	63164090
2	64042259
2	64793193
2	64913493
2	66085722
2	66635350
2	66748350
2	66914076
2	67310072
2	67777324
2	68103328
2	68127346
2	68995840
2	69060412
2	69143533
2	69815071
2	69940777
2	70574247
2	71609980
2	74081618
2	74605439
2	75097166
2	75388325
2	75442543
2	76793601
2	76868837
2	76929940
2	79304249
2	79387264
2	79980425
2	81712849
2	81870264
2	82880030
2	8323783
2	84497710
2	84701897
2	84743223
2	8506031
2	8506050
2	85271992
2	86087491
2	86159985
2	86309719
2	86397786
2	87010385
2	87312387
2	87401468
2	8778046
2	90311310
2	90686053
2	91672553
2	93019434
2	9351763
2	94047677
2	94313470
2	98880727
2	99198412
20	10180820
20	13418979
20	13437218
20	13511772
20	13567088
20	13568908
20	13573190
20	13580748
20	13584316
20	13618850
20	13852015
20	13854059
20	24605
20	28645
20	31326
20	5801313
20	73501
20	7444906
21	11065815
21	11076756
21	11099104
21	11101667
21	11140665
21	9029826
21	9536039
21	9796193
22	219729
22	271591
22	3451346
22	480748
22	8692509
24	2464360
24	2532799
24	2534970
24	2749670
24	3117481
24	3117491
24	3452256
24	3769182
24	3816419
24	3844692
24	3846130
24	3848959
24	3872263
24	4523478
24	4523518
24	4575749
24	4614626
24	4615286
24	4615295
25	2478955
25	333411
25	334291
25	344393
25	5720879
25	5963701
25	621249
25	900657
26	10141251
26	10361708
26	1050629
26	10552338
26	12256893
26	13342363
26	13935036
26	14013070
26	14279121
26	14774303
26	16454960
26	17142202
26	18647807
26	19314193
26	19386367
26	19970859
26	20658059
26	24863947
26	24931268
26	25549583
26	25563411
26	25856165
26	25940010
26	26121644
26	2642494
26	26565466
26	27189466
26	27907932
26	28349881
26	29446564
26	29827548
26	30018686
26	30038577
26	30128934
26	30201998
26	30437754
26	31372720
26	31522823
26	31548018
26	31548296
26	3188798
26	33321086
26	3461865
26	35032138
26	36683035
26	37238176
26	37247015
26	3762274
26	39023685
26	40332588
26	42218038
26	42299384
26	5083392
26	5302914
26	5664525
26	7138902
26	7545005
26	7844245
26	8098194
26	998735
27	2378992
27	3633870
27	3649954
27	3689613
27	3915240
27	3915302
27	4039637
27	4039666
27	4039685
27	4121460
27	4130757
27	4136556
27	4146514
28	1886208
28	1890426
28	19555
28	71688
28	71848
28	71969
28	7358846
29	1566250
29	1613757
29	1630340
29	253040
29	3188205
3	101153835
3	101640842
3	105808318
3	105882039
3	106091440
3	107479763
3	108650139
3	111456742
3	112411313
3	112504346
3	112858508
3	112986770
3	11341336
3	114626272
3	119583320
3	12383589
3	15507738
3	16097828
3	16964919
3	17491453
3	18847171
3	19241665
3	19784820
3	20028244
3	204040
3	214558
3	2226835
3	22876653
3	23119241
3	23189217
3	23336360
3	238291
3	23860696
3	23961992
3	24144157
3	24193712
3	24926567
3	25658631
3	26249381
3	27128812
3	27175914
3	28233040
3	28268277
3	28336727
3	28350149
3	283903
3	28481021
3	28648914
3	28772112
3	28841711
3	288525
3	2930487
3	29370179
3	29391861
3	29911017
3	30120006
3	30630984
3	32406503
3	32632748
3	32972372
3	33157624
3	34548637
3	37152509
3	38123466
3	39145520
3	39494422
3	39709349
3	39882017
3	39978630
3	40091544
3	40553426
3	42812263
3	43323367
3	43714991
3	43916630
3	44741742
3	44820634
3	44968244
3	47058594
3	47521712
3	48551838
3	48806617
3	49270700
3	50896357
3	51038631
3	55923801
3	56062848
3	5637870
3	5637880
3	56600367
3	58913887
3	60057594
3	6066150
3	61011754
3	63976585
3	64839544
3	65490842
3	68000418
3	71883696
3	73992113
3	77022744
3	8009707
3	80187549
3	80738287
3	82174337
3	82406737
3	82447691
3	8750509
3	8925013
3	9045921
3	91712681
3	91815044
3	91899620
3	9309468
3	93565921
3	94052671
3	96635828
3	96842183
30	107614
30	11676918
30	12126812
30	12540228
30	12676831
30	13936598
30	14163164
30	15022914
30	15242398
30	16885283
30	17310541
30	17389511
30	175762
30	1772313
30	20463615
30	20865052
30	21205402
30	21309473
30	21697810
30	2563956
30	2681871
30	2779061
30	3287846
30	4065280
30	5029923
30	6182545
30	7102421
30	7895517
30	7952431
30	817033
30	8560843
30	9821933
30	9825776
31	1852723
31	2655224
31	2694467
31	4690410
31	889232
31	889255
31	972957
33	141976
33	141977
33	155389
33	161947
33	205617
33	383942
35	1055956
35	1070487
35	1196065
35	1199003
35	1215066
35	1215665
35	1216640
35	1220612
35	1236307
35	1242363
35	1276597
35	373306
35	874541
37	155880
37	64767
37	86092
39	72374
4	11381292
4	11562771
4	11566473
4	11575636
4	11590590
4	11596646
4	11597722
4	11600363
4	11910560
4	12288264
4	13305758
4	1463498
4	15739850
4	16306925
4	23882831
4	24054507
4	24343598
4	24605900
4	26942310
4	27269752
4	29543563
4	30479924
4	31095362
4	32810627
4	33752609
4	33847442
4	3455059
4	36081325
4	37338968
4	37414627
4	41114562
4	42763055
4	43621161
4	43968841
4	45430850
4	47176659
4	47754104
4	48091017
4	48594941
4	48884295
4	49097229
4	49809807
4	52161264
4	52273787
4	52351431
4	52404144
4	52404320
4	53408602
4	54168877
4	54370
4	54488101
4	55108971
4	55998770
4	56165146
4	57608
4	58818436
4	58954672
4	59266351
4	59653181
4	61834657
4	62442725
4	6343486
4	67138870
4	67726065
4	68598667
4	68781387
4	6915679
4	69199485
4	69268001
4	71466256
4	71534473
4	71862558
4	74048987
4	75042046
4	75439541
4	75495212
4	79999
5	10600389
5	10813088
5	11034775
5	11065866
5	11698583
5	11906457
5	12049455
5	12558246
5	13506238
5	14314742
5	16395505
5	16963439
5	17425125
5	17674035
5	18285916
5	19196672
5	19875795
5	20089737
5	20259718
5	21043933
5	21844588
5	22461183
5	22867119
5	25757456
5	25796195
5	27392457
5	27392464
5	29387470
5	29553398
5	29588380
5	30160943
5	30269448
5	30626576
5	32753565
5	33433188
5	34748676
5	35122414
5	35230482
5	35512685
5	35904592
5	35952854
5	37283817
5	37630732
5	37844598
5	38379245
5	39612280
5	40575443
5	47543412
5	47902084
5	51999966
5	53016528
