115	1	1	99062180
23	10	10	28816175
22	11	11	23986915
19	12	12	23235100
21	13	13	22362767
24	14	14	23265108
23	15	15	21088201
6	16	16	17487702
33	17	17	16938386
4	18	18	15572589
10	19	19	12787533
141	2	2	123451405
18	20	20	13899114
8	21	21	13093161
5	22	22	8696975
19	24	24	11344391
8	25	25	7312786
60	26	26	46055897
13	27	27	6387999
7	28	28	7803721
5	29	29	3496993
118	3	3	121534940
33	30	30	22021689
7	31	31	4714721
6	33	33	477022
13	35	35	1321807
3	37	37	336161
1	39	39	167149
77	4	4	8011800
85	5	5	76278832
63	6	6	66143299
37	7	7	40978052
28	8	8	38659334
23	9	9	33574751
184	W	W	6742290
42	Z	Z	79826082
