query_label	assigned_reference	identity_reference	assigned_pearson	identity_pearson	median_absolute_difference	maximum_absolute_difference	fraction_equal_after_2dp_rounding	query_sum	reference_common_gene_sum
cortex	cortex	cortex	0.999999585997916	0.999999585997916	0.00242298906739791	0.00499884868722233	1	997307.07	997308.846946751
endodermis	endodermis	endodermis	0.999999579860155	0.999999579860155	0.00257339287102099	0.00499917948536677	1	997728.98	997726.742729809
epidermis	epidermis	epidermis	0.999999636934799	0.999999636934799	0.00245193007180777	0.00499945580154826	1	997122.56	997136.057467357
meristems	meristems	meristems	0.999999594333831	0.999999594333831	0.00242489988145422	0.00499617346719106	1	997149.66	997143.122630121
pericycle	pericycle	pericycle	0.99999961568725	0.99999961568725	0.00242127633786871	0.00499989899853404	1	997160	997173.700895012
phloem	phloem	phloem	0.999999932337677	0.999999932337677	0.0017364438870322	0.00498991099931345	1	994532.88	994525.357827252
provascular	provascular	provascular	0.999999604410274	0.999999604410274	0.00248917712007213	0.00499945672441271	1	997864.03	997860.645929223
root_cap	root_cap	root_cap	0.999999855044274	0.999999855044274	0.00228746735123231	0.00499562142007903	1	996148.16	996155.997511023
root_hair	root_hair	root_hair	0.999999639321736	0.999999639321736	0.0025412703476988	0.00499754232365035	1	997064.92	997044.897482142
xylem	xylem	xylem	0.999999943717102	0.999999943717102	0.00171390927026827	0.00499672426469999	1	997370.11	997400.690896009
