method	genes	identity_matches	mean_best_pearson	min_best_pearson	mean_same_pearson	median_best_abs_difference	median_same_abs_difference	query_column_sums	best_matches
RNA_counts_mean	2000	10	0.91384788340613	0.88325543834988	0.91384788340613	137.216202309237	137.216202309237	cortex=997307.1;endodermis=997729.0;epidermis=997122.6;meristems=997149.7;pericycle=997160.0;phloem=994532.9;provascular=997864.0;root_cap=996148.2;root_hair=997064.9;xylem=997370.1	cortex->cortex;endodermis->endodermis;epidermis->epidermis;meristems->meristems;pericycle->pericycle;phloem->phloem;provascular->provascular;root_cap->root_cap;root_hair->root_hair;xylem->xylem
RNA_logdata_mean	2000	10	0.91384788340613	0.88325543834988	0.91384788340613	137.216202309237	137.216202309237	cortex=997307.1;endodermis=997729.0;epidermis=997122.6;meristems=997149.7;pericycle=997160.0;phloem=994532.9;provascular=997864.0;root_cap=996148.2;root_hair=997064.9;xylem=997370.1	cortex->cortex;endodermis->endodermis;epidermis->epidermis;meristems->meristems;pericycle->pericycle;phloem->phloem;provascular->provascular;root_cap->root_cap;root_hair->root_hair;xylem->xylem
RNA_logdata_inverse_mean	2000	4	0.517212873469629	0.361146236973329	NA	3197376974755.55	147820684340.054	cortex=997307.1;endodermis=997729.0;epidermis=997122.6;meristems=997149.7;pericycle=997160.0;phloem=994532.9;provascular=997864.0;root_cap=996148.2;root_hair=997064.9;xylem=997370.1	cortex->epidermis;endodermis->epidermis;epidermis->epidermis;meristems->epidermis;pericycle->epidermis;phloem->epidermis;provascular->epidermis;root_cap->root_cap;root_hair->root_hair;xylem->xylem
RNA_CP10K_cell_mean	2000	10	0.90299801552693	0.879434938994274	0.90299801552693	137.443565470233	137.443565470233	cortex=997307.1;endodermis=997729.0;epidermis=997122.6;meristems=997149.7;pericycle=997160.0;phloem=994532.9;provascular=997864.0;root_cap=996148.2;root_hair=997064.9;xylem=997370.1	cortex->cortex;endodermis->endodermis;epidermis->epidermis;meristems->meristems;pericycle->pericycle;phloem->phloem;provascular->provascular;root_cap->root_cap;root_hair->root_hair;xylem->xylem
RNA_CP10K_log_mean	2000	10	0.92320087244595	0.877473647940613	0.92320087244595	138.134277652133	138.134277652133	cortex=997307.1;endodermis=997729.0;epidermis=997122.6;meristems=997149.7;pericycle=997160.0;phloem=994532.9;provascular=997864.0;root_cap=996148.2;root_hair=997064.9;xylem=997370.1	cortex->cortex;endodermis->endodermis;epidermis->epidermis;meristems->meristems;pericycle->pericycle;phloem->phloem;provascular->provascular;root_cap->root_cap;root_hair->root_hair;xylem->xylem
RNA_group_CPM1e5	2000	10	0.980440094388452	0.978169404862059	0.980440094388452	124.897294500662	124.897294500662	cortex=997307.1;endodermis=997729.0;epidermis=997122.6;meristems=997149.7;pericycle=997160.0;phloem=994532.9;provascular=997864.0;root_cap=996148.2;root_hair=997064.9;xylem=997370.1	cortex->cortex;endodermis->endodermis;epidermis->epidermis;meristems->meristems;pericycle->pericycle;phloem->phloem;provascular->provascular;root_cap->root_cap;root_hair->root_hair;xylem->xylem
RNA_group_CPM1e6	2000	10	0.999999963823947	0.999999926389942	0.999999963823947	0.00244971963878982	0.00244971963878982	cortex=997307.1;endodermis=997729.0;epidermis=997122.6;meristems=997149.7;pericycle=997160.0;phloem=994532.9;provascular=997864.0;root_cap=996148.2;root_hair=997064.9;xylem=997370.1	cortex->cortex;endodermis->endodermis;epidermis->epidermis;meristems->meristems;pericycle->pericycle;phloem->phloem;provascular->provascular;root_cap->root_cap;root_hair->root_hair;xylem->xylem
SCT_counts_mean	2000	10	0.901016566374587	0.871343992836324	0.901016566374587	137.459348505132	137.459348505132	cortex=997307.1;endodermis=997729.0;epidermis=997122.6;meristems=997149.7;pericycle=997160.0;phloem=994532.9;provascular=997864.0;root_cap=996148.2;root_hair=997064.9;xylem=997370.1	cortex->cortex;endodermis->endodermis;epidermis->epidermis;meristems->meristems;pericycle->pericycle;phloem->phloem;provascular->provascular;root_cap->root_cap;root_hair->root_hair;xylem->xylem
SCT_logdata_mean	2000	10	0.918842356880302	0.850503569971744	0.918842356880302	138.096716786472	138.096716786472	cortex=997307.1;endodermis=997729.0;epidermis=997122.6;meristems=997149.7;pericycle=997160.0;phloem=994532.9;provascular=997864.0;root_cap=996148.2;root_hair=997064.9;xylem=997370.1	cortex->cortex;endodermis->endodermis;epidermis->epidermis;meristems->meristems;pericycle->pericycle;phloem->phloem;provascular->provascular;root_cap->root_cap;root_hair->root_hair;xylem->xylem
SCT_logdata_inverse_mean	2000	10	0.901016566374587	0.871343992836324	0.901016566374587	137.459348505132	137.459348505132	cortex=997307.1;endodermis=997729.0;epidermis=997122.6;meristems=997149.7;pericycle=997160.0;phloem=994532.9;provascular=997864.0;root_cap=996148.2;root_hair=997064.9;xylem=997370.1	cortex->cortex;endodermis->endodermis;epidermis->epidermis;meristems->meristems;pericycle->pericycle;phloem->phloem;provascular->provascular;root_cap->root_cap;root_hair->root_hair;xylem->xylem
