query_label	best_marker_set	assigned_reference	agrees_with_profile_assignment	best_marker_score	second_marker_score
cortex	cortex	cortex	TRUE	2.40385389404418	-0.0766125832757467
endodermis	endodermis	endodermis	TRUE	2.5764920738846	-0.306485503951912
epidermis	epidermis	epidermis	TRUE	2.36520055262464	0.296681290583566
meristems	meristems	meristems	TRUE	2.39890586320766	0.333836065931414
pericycle	pericycle	pericycle	TRUE	2.66293730129161	-0.083599710134296
phloem	phloem	phloem	TRUE	2.82918952465058	0.683050641535343
provascular	provascular	provascular	TRUE	2.31777281042283	-0.242026252404278
root_cap	root_cap	root_cap	TRUE	2.74866990797731	0.235585212529754
root_hair	root_hair	root_hair	TRUE	2.65440345085875	0.117411944196991
xylem	xylem	xylem	TRUE	2.57896980715742	0.192104982696547
