miRNA	p_value	bonferroni_p	benjamini_yekutieli_p	bonferroni_significant	benjamini_yekutieli_significant
hsa-let-7a	0.0660510700148134	1	0.897357172022713	FALSE	FALSE
hsa-let-7b	0.0416025494776501	1	0.721122676518273	FALSE	FALSE
hsa-let-7b*	0.101715382121869	1	1	FALSE	FALSE
hsa-let-7c	0.0800761229769024	1	0.988819563145073	FALSE	FALSE
hsa-let-7d	0.0108749326559905	1	0.341659733938976	FALSE	FALSE
hsa-let-7d*	0.0541963826251382	1	0.813228701607221	FALSE	FALSE
hsa-let-7e	0.00995186075776381	1	0.333503377599659	FALSE	FALSE
hsa-let-7f	0.0996288594618474	1	1	FALSE	FALSE
hsa-let-7g	0.0123643122128435	1	0.355155969755687	FALSE	FALSE
hsa-let-7i	0.00900194449805661	1	0.312072524006969	FALSE	FALSE
hsa-let-7i*	0.125563057765306	1	1	FALSE	FALSE
hsa-miR-1	0.274935807561811	1	1	FALSE	FALSE
hsa-miR-101	0.113723966572786	1	1	FALSE	FALSE
hsa-miR-103	0.00449861354921257	0.787257371112199	0.240847545799728	FALSE	FALSE
hsa-miR-103-2*	0.494606703798868	1	1	FALSE	FALSE
hsa-miR-106a	0.00387779746604439	0.678614556557768	0.240847545799728	FALSE	FALSE
hsa-miR-106b	0.170142335675942	1	1	FALSE	FALSE
hsa-miR-106b*	0.00167019727393111	0.292284522937945	0.202375263235428	FALSE	FALSE
hsa-miR-107	0.00292561447268394	0.51198253271969	0.240847545799728	FALSE	FALSE
hsa-miR-10a	0.0480130223123482	1	0.779508336353024	FALSE	FALSE
hsa-miR-10b	0.420136193849309	1	1	FALSE	FALSE
hsa-miR-122	0.581165303351477	1	1	FALSE	FALSE
hsa-miR-125a-5p	0.0699394883377235	1	0.925179623081227	FALSE	FALSE
hsa-miR-125b	0.0166321589707881	1	0.398122330267661	FALSE	FALSE
hsa-miR-126	0.035017609540513	1	0.664244285271901	FALSE	FALSE
hsa-miR-127-3p	0.0838481197636788	1	1	FALSE	FALSE
hsa-miR-128	0.00590959275443427	1	0.247550331517746	FALSE	FALSE
hsa-miR-130a	0.00160722558962776	0.281264478184857	0.202375263235428	FALSE	FALSE
hsa-miR-132	0.169443218891333	1	1	FALSE	FALSE
hsa-miR-133a	0.243466654574362	1	1	FALSE	FALSE
hsa-miR-133b	0.361447213737299	1	1	FALSE	FALSE
hsa-miR-136	0.236046003126455	1	1	FALSE	FALSE
hsa-miR-139-5p	0.208179893588242	1	1	FALSE	FALSE
hsa-miR-140-3p	0.0149544242446582	1	0.379650107616689	FALSE	FALSE
hsa-miR-140-5p	0.291600880274775	1	1	FALSE	FALSE
hsa-miR-142-3p	0.674280123469104	1	1	FALSE	FALSE
hsa-miR-142-5p	0.0213946935298966	1	0.488844342914623	FALSE	FALSE
hsa-miR-143	0.189096716684106	1	1	FALSE	FALSE
hsa-miR-144	0.341906388796688	1	1	FALSE	FALSE
hsa-miR-144*	0.626910540881644	1	1	FALSE	FALSE
hsa-miR-145	0.074141637652668	1	0.955618991949854	FALSE	FALSE
hsa-miR-146a	0.0651665675163594	1	0.897357172022713	FALSE	FALSE
hsa-miR-148a	0.0578516446045922	1	0.819170985161145	FALSE	FALSE
hsa-miR-148b	0.074045662211035	1	0.955618991949854	FALSE	FALSE
hsa-miR-150	0.722222098714736	1	1	FALSE	FALSE
hsa-miR-151-3p	0.627065000980714	1	1	FALSE	FALSE
hsa-miR-151-5p	0.0378859448179618	1	0.70286147417076	FALSE	FALSE
hsa-miR-152	0.234165043245797	1	1	FALSE	FALSE
hsa-miR-154	0.416320228677193	1	1	FALSE	FALSE
hsa-miR-155	0.18845804394124	1	1	FALSE	FALSE
hsa-miR-15a	0.0104277115068005	1	0.338177348013236	FALSE	FALSE
hsa-miR-15b	0.118520164275333	1	1	FALSE	FALSE
hsa-miR-15b*	0.012288637637511	1	0.355155969755687	FALSE	FALSE
hsa-miR-16	0.0070114458868259	1	0.251748421228245	FALSE	FALSE
hsa-miR-16-2*	0.0669631826851018	1	0.897618973733414	FALSE	FALSE
hsa-miR-17	0.00634607045127492	1	0.251748421228245	FALSE	FALSE
hsa-miR-181a	0.0786210378870105	1	0.988020569366386	FALSE	FALSE
hsa-miR-182	0.868578723082985	1	1	FALSE	FALSE
hsa-miR-185	0.248378725380588	1	1	FALSE	FALSE
hsa-miR-186	0.261192363842462	1	1	FALSE	FALSE
hsa-miR-18a	0.0550215865361834	1	0.813469729461235	FALSE	FALSE
hsa-miR-18a*	0.0153977559086391	1	0.379650107616689	FALSE	FALSE
hsa-miR-18b	0.140924340907884	1	1	FALSE	FALSE
hsa-miR-191	0.525771584720312	1	1	FALSE	FALSE
hsa-miR-192	0.238094684766787	1	1	FALSE	FALSE
hsa-miR-193b	0.255318431015299	1	1	FALSE	FALSE
hsa-miR-194	0.134005237742045	1	1	FALSE	FALSE
hsa-miR-195	0.490971498615539	1	1	FALSE	FALSE
hsa-miR-197	0.0574302463911885	1	0.819170985161145	FALSE	FALSE
hsa-miR-1974	0.00098803067024472	0.172905367292826	0.202375263235428	FALSE	FALSE
