id	miRNA
hsa-let-7a	hsa-let-7a
hsa-let-7b	hsa-let-7b
hsa-let-7b*	hsa-let-7b*
hsa-let-7c	hsa-let-7c
hsa-let-7d	hsa-let-7d
hsa-let-7d*	hsa-let-7d*
hsa-let-7e	hsa-let-7e
hsa-let-7f	hsa-let-7f
hsa-let-7g	hsa-let-7g
hsa-let-7i	hsa-let-7i
hsa-let-7i*	hsa-let-7i*
hsa-miR-1	hsa-miR-1
hsa-miR-101	hsa-miR-101
hsa-miR-103	hsa-miR-103
hsa-miR-103-2*	hsa-miR-103-2*
hsa-miR-106a	hsa-miR-106a
hsa-miR-106b	hsa-miR-106b
hsa-miR-106b*	hsa-miR-106b*
hsa-miR-107	hsa-miR-107
hsa-miR-10a	hsa-miR-10a
hsa-miR-10b	hsa-miR-10b
hsa-miR-122	hsa-miR-122
hsa-miR-125a-5p	hsa-miR-125a-5p
hsa-miR-125b	hsa-miR-125b
hsa-miR-126	hsa-miR-126
hsa-miR-127-3p	hsa-miR-127-3p
hsa-miR-128	hsa-miR-128
hsa-miR-130a	hsa-miR-130a
hsa-miR-132	hsa-miR-132
hsa-miR-133a	hsa-miR-133a
hsa-miR-133b	hsa-miR-133b
hsa-miR-136	hsa-miR-136
hsa-miR-139-5p	hsa-miR-139-5p
hsa-miR-140-3p	hsa-miR-140-3p
hsa-miR-140-5p	hsa-miR-140-5p
hsa-miR-142-3p	hsa-miR-142-3p
hsa-miR-142-5p	hsa-miR-142-5p
hsa-miR-143	hsa-miR-143
hsa-miR-144	hsa-miR-144
hsa-miR-144*	hsa-miR-144*
hsa-miR-145	hsa-miR-145
hsa-miR-146a	hsa-miR-146a
hsa-miR-148a	hsa-miR-148a
hsa-miR-148b	hsa-miR-148b
hsa-miR-150	hsa-miR-150
hsa-miR-151-3p	hsa-miR-151-3p
hsa-miR-151-5p	hsa-miR-151-5p
hsa-miR-152	hsa-miR-152
hsa-miR-154	hsa-miR-154
hsa-miR-155	hsa-miR-155
hsa-miR-15a	hsa-miR-15a
hsa-miR-15b	hsa-miR-15b
hsa-miR-15b*	hsa-miR-15b*
hsa-miR-16	hsa-miR-16
hsa-miR-16-2*	hsa-miR-16-2*
hsa-miR-17	hsa-miR-17
hsa-miR-181a	hsa-miR-181a
hsa-miR-182	hsa-miR-182
hsa-miR-185	hsa-miR-185
hsa-miR-186	hsa-miR-186
hsa-miR-18a	hsa-miR-18a
hsa-miR-18a*	hsa-miR-18a*
hsa-miR-18b	hsa-miR-18b
hsa-miR-191	hsa-miR-191
hsa-miR-192	hsa-miR-192
hsa-miR-193b	hsa-miR-193b
hsa-miR-194	hsa-miR-194
hsa-miR-195	hsa-miR-195
hsa-miR-197	hsa-miR-197
hsa-miR-1974	hsa-miR-1974
hsa-miR-199a-3p	hsa-miR-199a-3p
