convention	start_shift	end_shift	summit_shift	reference_dhs_count	set	n_peaks	any_overlap_n	any_overlap_fraction	center_in_dhs_n	center_in_dhs_fraction	exact_summit_fraction	nearest_summit_le_50_fraction	nearest_summit_le_100_fraction	nearest_summit_le_250_fraction	nearest_summit_le_500_fraction	median_nearest_summit_distance	p90_nearest_summit_distance	median_max_supporting_biosamples	mean_max_supporting_biosamples	max_support_ge_2_fraction	max_support_ge_10_fraction	max_support_ge_100_fraction
as_reported	0	0	0	3591898	S1	19750	19476	0.986126582278481	19164	0.9703291139240506	0.01579746835443038	0.8411139240506329	0.9531139240506329	0.9847088607594937	0.987746835443038	19.0	67	597.0	538.7872405063291	0.9860759493670886	0.9854683544303797	0.9739746835443038
as_reported	0	0	0	3591898	S2	32863	32354	0.9845114566533791	31716	0.9650975260931747	0.017101299333597053	0.8611204089705748	0.9531387883029547	0.9829899887411374	0.9874326750448833	16	63	282	311.61759425493716	0.9841463043544412	0.9816510969783647	0.8843380093113836
as_reported	0	0	0	3591898	S3	39006	38576	0.9889760549659027	37797	0.9690047684971543	0.016843562528841716	0.8760703481515665	0.9576988155668359	0.98664308055171	0.9905911910988053	16.0	58	112.0	121.8296159565195	0.9868994513664564	0.9714402912372455	0.5698610470184075
as_reported	0	0	0	3591898	S4	21137	20888	0.9882197095141222	20493	0.969532100108814	0.017268297298575958	0.8573118228698491	0.9556701518663954	0.986611155793159	0.9898755736386431	18	63	190	198.035624733879	0.9878412262856602	0.9828736339120973	0.8142120452287458
as_reported	0	0	0	3591898	S5	30214	16716	0.5532534586615476	9303	0.3079036208380221	0.0023830012576951084	0.19438008870060236	0.3117759978817767	0.47990997550804265	0.6481763420930694	274.0	1381	1.0	5.597934732243331	0.4144767326404978	0.15386906731978553	0.0027801681339776263
as_reported	0	0	0	3591898	S6	32573	31499	0.9670279065483682	29986	0.9205783931476991	0.015872041261167223	0.7960887851901882	0.9081140822153317	0.9594449390599576	0.974334571577687	19	94	26	45.295152426856596	0.9433579958861634	0.7615509778037024	0.11798115003223529
one_based_closed_to_bed	-1	0	-1	3591898	S1	19750	19476	0.986126582278481	19168	0.9705316455696202	0.01559493670886076	0.8419240506329114	0.9530632911392405	0.9846582278481013	0.987746835443038	19.0	67	597.0	538.8321518987342	0.9860759493670886	0.9854683544303797	0.9740253164556962
one_based_closed_to_bed	-1	0	-1	3591898	S2	32863	32354	0.9845114566533791	31724	0.9653409609591334	0.01780117457322825	0.8611508383288197	0.9532909350941788	0.9829899887411374	0.9874326750448833	16	63	282	311.6294008459362	0.9841463043544412	0.9816510969783647	0.8843988680278733
one_based_closed_to_bed	-1	0	-1	3591898	S3	39006	38576	0.9889760549659027	37804	0.9691842280674768	0.01804850535815003	0.8766856381069579	0.9576988155668359	0.9865918063887607	0.9905911910988053	16.0	58	112.0	121.83220530174844	0.9868994513664564	0.9714402912372455	0.5698866840998821
one_based_closed_to_bed	-1	0	-1	3591898	S4	21137	20889	0.9882670199176798	20495	0.9696267209159294	0.0157543643847282	0.8579268581160997	0.9556228414628377	0.9864692245824856	0.9898755736386431	17	63	190	198.04830392203246	0.9878885366892179	0.982920944315655	0.8142120452287458
one_based_closed_to_bed	-1	0	-1	3591898	S5	30214	16722	0.5534520420996889	9331	0.30883034354934796	0.0020189316211028	0.19464486661812405	0.31174290064208643	0.47990997550804265	0.6480770503739988	274.0	1381	1.0	5.603958429866949	0.41467531607863906	0.15406765075792678	0.0027801681339776263
one_based_closed_to_bed	-1	0	-1	3591898	S6	32573	31503	0.967150707641298	29992	0.9207625947870937	0.015227335523286157	0.7957510821846314	0.9080833819420993	0.9594142387867252	0.9743038713044546	19	93	26	45.30494581401774	0.943542197525558	0.761796579989562	0.11801185030546772
