section	field1	field2	value
summary	shared_genes		0
summary	input_columns		endoderm,endostyle_csg,epidermal_neural,epidermis,mesodermal_notochord,muscular_somites,neural,neural_like,putative_neuro_endo,somite,tailbud,tailbud_neural
summary	identity_score		nan
summary	best_swap_score		nan
summary	best_pair		None
summary	best_delta		0
metacell_count	endoderm		11
metacell_count	endostyle_csg		2
metacell_count	epidermal_neural		2
metacell_count	epidermis		119
metacell_count	mesodermal_notochord		4
metacell_count	muscular_somites		2
metacell_count	neural		15
metacell_count	neural_like		2
metacell_count	putative_neuro_endo		1
metacell_count	somite		8
metacell_count	tailbud		4
metacell_count	tailbud_neural		2
top_match	endoderm	1:endoderm	nan
top_match	endoderm	2:endostyle_csg	nan
top_match	endoderm	3:epidermal_neural	nan
top_match	endoderm	4:epidermis	nan
top_match	endoderm	5:mesodermal_notochord	nan
top_match	endostyle_csg	1:endoderm	nan
top_match	endostyle_csg	2:endostyle_csg	nan
top_match	endostyle_csg	3:epidermal_neural	nan
top_match	endostyle_csg	4:epidermis	nan
top_match	endostyle_csg	5:mesodermal_notochord	nan
top_match	epidermal_neural	1:endoderm	nan
top_match	epidermal_neural	2:endostyle_csg	nan
top_match	epidermal_neural	3:epidermal_neural	nan
top_match	epidermal_neural	4:epidermis	nan
top_match	epidermal_neural	5:mesodermal_notochord	nan
top_match	epidermis	1:endoderm	nan
top_match	epidermis	2:endostyle_csg	nan
top_match	epidermis	3:epidermal_neural	nan
top_match	epidermis	4:epidermis	nan
top_match	epidermis	5:mesodermal_notochord	nan
top_match	mesodermal_notochord	1:endoderm	nan
top_match	mesodermal_notochord	2:endostyle_csg	nan
top_match	mesodermal_notochord	3:epidermal_neural	nan
top_match	mesodermal_notochord	4:epidermis	nan
top_match	mesodermal_notochord	5:mesodermal_notochord	nan
top_match	muscular_somites	1:endoderm	nan
top_match	muscular_somites	2:endostyle_csg	nan
top_match	muscular_somites	3:epidermal_neural	nan
top_match	muscular_somites	4:epidermis	nan
top_match	muscular_somites	5:mesodermal_notochord	nan
top_match	neural	1:endoderm	nan
top_match	neural	2:endostyle_csg	nan
top_match	neural	3:epidermal_neural	nan
top_match	neural	4:epidermis	nan
top_match	neural	5:mesodermal_notochord	nan
top_match	neural_like	1:endoderm	nan
top_match	neural_like	2:endostyle_csg	nan
top_match	neural_like	3:epidermal_neural	nan
top_match	neural_like	4:epidermis	nan
top_match	neural_like	5:mesodermal_notochord	nan
top_match	putative_neuro_endo	1:endoderm	nan
top_match	putative_neuro_endo	2:endostyle_csg	nan
top_match	putative_neuro_endo	3:epidermal_neural	nan
top_match	putative_neuro_endo	4:epidermis	nan
top_match	putative_neuro_endo	5:mesodermal_notochord	nan
top_match	somite	1:endoderm	nan
top_match	somite	2:endostyle_csg	nan
top_match	somite	3:epidermal_neural	nan
top_match	somite	4:epidermis	nan
top_match	somite	5:mesodermal_notochord	nan
top_match	tailbud	1:endoderm	nan
top_match	tailbud	2:endostyle_csg	nan
top_match	tailbud	3:epidermal_neural	nan
top_match	tailbud	4:epidermis	nan
top_match	tailbud	5:mesodermal_notochord	nan
top_match	tailbud_neural	1:endoderm	nan
top_match	tailbud_neural	2:endostyle_csg	nan
top_match	tailbud_neural	3:epidermal_neural	nan
top_match	tailbud_neural	4:epidermis	nan
top_match	tailbud_neural	5:mesodermal_notochord	nan
matrix	observed	expected	pearson
corr	endoderm	endoderm	nan
corr	endoderm	endostyle_csg	nan
corr	endoderm	epidermal_neural	nan
corr	endoderm	epidermis	nan
corr	endoderm	mesodermal_notochord	nan
corr	endoderm	muscular_somites	nan
corr	endoderm	neural	nan
corr	endoderm	neural_like	nan
corr	endoderm	putative_neuro_endo	nan
corr	endoderm	somite	nan
corr	endoderm	tailbud	nan
corr	endoderm	tailbud_neural	nan
corr	endostyle_csg	endoderm	nan
corr	endostyle_csg	endostyle_csg	nan
corr	endostyle_csg	epidermal_neural	nan
corr	endostyle_csg	epidermis	nan
corr	endostyle_csg	mesodermal_notochord	nan
corr	endostyle_csg	muscular_somites	nan
corr	endostyle_csg	neural	nan
corr	endostyle_csg	neural_like	nan
corr	endostyle_csg	putative_neuro_endo	nan
corr	endostyle_csg	somite	nan
corr	endostyle_csg	tailbud	nan
corr	endostyle_csg	tailbud_neural	nan
corr	epidermal_neural	endoderm	nan
corr	epidermal_neural	endostyle_csg	nan
corr	epidermal_neural	epidermal_neural	nan
corr	epidermal_neural	epidermis	nan
corr	epidermal_neural	mesodermal_notochord	nan
corr	epidermal_neural	muscular_somites	nan
corr	epidermal_neural	neural	nan
corr	epidermal_neural	neural_like	nan
corr	epidermal_neural	putative_neuro_endo	nan
corr	epidermal_neural	somite	nan
corr	epidermal_neural	tailbud	nan
corr	epidermal_neural	tailbud_neural	nan
corr	epidermis	endoderm	nan
corr	epidermis	endostyle_csg	nan
corr	epidermis	epidermal_neural	nan
corr	epidermis	epidermis	nan
corr	epidermis	mesodermal_notochord	nan
corr	epidermis	muscular_somites	nan
corr	epidermis	neural	nan
corr	epidermis	neural_like	nan
corr	epidermis	putative_neuro_endo	nan
corr	epidermis	somite	nan
corr	epidermis	tailbud	nan
corr	epidermis	tailbud_neural	nan
corr	mesodermal_notochord	endoderm	nan
corr	mesodermal_notochord	endostyle_csg	nan
corr	mesodermal_notochord	epidermal_neural	nan
corr	mesodermal_notochord	epidermis	nan
corr	mesodermal_notochord	mesodermal_notochord	nan
corr	mesodermal_notochord	muscular_somites	nan
corr	mesodermal_notochord	neural	nan
corr	mesodermal_notochord	neural_like	nan
corr	mesodermal_notochord	putative_neuro_endo	nan
corr	mesodermal_notochord	somite	nan
corr	mesodermal_notochord	tailbud	nan
corr	mesodermal_notochord	tailbud_neural	nan
corr	muscular_somites	endoderm	nan
corr	muscular_somites	endostyle_csg	nan
corr	muscular_somites	epidermal_neural	nan
corr	muscular_somites	epidermis	nan
corr	muscular_somites	mesodermal_notochord	nan
corr	muscular_somites	muscular_somites	nan
corr	muscular_somites	neural	nan
corr	muscular_somites	neural_like	nan
corr	muscular_somites	putative_neuro_endo	nan
corr	muscular_somites	somite	nan
corr	muscular_somites	tailbud	nan
corr	muscular_somites	tailbud_neural	nan
corr	neural	endoderm	nan
corr	neural	endostyle_csg	nan
corr	neural	epidermal_neural	nan
corr	neural	epidermis	nan
corr	neural	mesodermal_notochord	nan
corr	neural	muscular_somites	nan
corr	neural	neural	nan
corr	neural	neural_like	nan
corr	neural	putative_neuro_endo	nan
corr	neural	somite	nan
corr	neural	tailbud	nan
corr	neural	tailbud_neural	nan
corr	neural_like	endoderm	nan
corr	neural_like	endostyle_csg	nan
corr	neural_like	epidermal_neural	nan
corr	neural_like	epidermis	nan
corr	neural_like	mesodermal_notochord	nan
corr	neural_like	muscular_somites	nan
corr	neural_like	neural	nan
corr	neural_like	neural_like	nan
corr	neural_like	putative_neuro_endo	nan
corr	neural_like	somite	nan
corr	neural_like	tailbud	nan
corr	neural_like	tailbud_neural	nan
corr	putative_neuro_endo	endoderm	nan
corr	putative_neuro_endo	endostyle_csg	nan
corr	putative_neuro_endo	epidermal_neural	nan
corr	putative_neuro_endo	epidermis	nan
corr	putative_neuro_endo	mesodermal_notochord	nan
corr	putative_neuro_endo	muscular_somites	nan
corr	putative_neuro_endo	neural	nan
corr	putative_neuro_endo	neural_like	nan
corr	putative_neuro_endo	putative_neuro_endo	nan
corr	putative_neuro_endo	somite	nan
corr	putative_neuro_endo	tailbud	nan
corr	putative_neuro_endo	tailbud_neural	nan
corr	somite	endoderm	nan
corr	somite	endostyle_csg	nan
corr	somite	epidermal_neural	nan
corr	somite	epidermis	nan
corr	somite	mesodermal_notochord	nan
corr	somite	muscular_somites	nan
corr	somite	neural	nan
corr	somite	neural_like	nan
corr	somite	putative_neuro_endo	nan
corr	somite	somite	nan
corr	somite	tailbud	nan
corr	somite	tailbud_neural	nan
corr	tailbud	endoderm	nan
corr	tailbud	endostyle_csg	nan
corr	tailbud	epidermal_neural	nan
corr	tailbud	epidermis	nan
corr	tailbud	mesodermal_notochord	nan
corr	tailbud	muscular_somites	nan
corr	tailbud	neural	nan
corr	tailbud	neural_like	nan
corr	tailbud	putative_neuro_endo	nan
corr	tailbud	somite	nan
corr	tailbud	tailbud	nan
corr	tailbud	tailbud_neural	nan
corr	tailbud_neural	endoderm	nan
corr	tailbud_neural	endostyle_csg	nan
corr	tailbud_neural	epidermal_neural	nan
corr	tailbud_neural	epidermis	nan
corr	tailbud_neural	mesodermal_notochord	nan
corr	tailbud_neural	muscular_somites	nan
corr	tailbud_neural	neural	nan
corr	tailbud_neural	neural_like	nan
