celltype	cytokine	direction	query_n	reference_n	overlap_n	query_coverage	jaccard	rank_correlation	exact_ordered_match	exact_prefix_n	overlap_genes
Monocyte	IL-1β	up	112	217	33	0.29464285714285715	0.11148648648648649	0.4063470775079314	False	0	Ifitm1,Lgmn,Mafb,Ifitm2,Fabp5,Tgfbi,Clec4n,Ptpn1,Mt1,Id2,Rnh1,Socs3,Srgn,Fkbp5,Dok2,Olfm1,Manf,Calr,Cd53,Casp6,Ms4a6d,Il4ra,Mrpl52,Pdia6,Atp5g1,Eps8,Ldha,Ninj1,Rab3il1,Scimp,Eif5a,Cfl1,Xbp1
Monocyte	IL-36α	up	112	270	29	0.25892857142857145	0.0821529745042493	0.42139148948992194	False	0	Ifitm1,Tspo,Mafb,Ifitm2,Fabp5,Tgfbi,Clec4n,Mt1,Socs3,Srgn,Dok2,Manf,Calr,Cd53,Casp6,Ms4a6d,Il4ra,Mrpl52,Pdia6,Atp5g1,Eps8,Ssr2,Ldha,Creld2,Ninj1,Scimp,Dnajb11,Eif5a,Cfl1
Monocyte	IL-1α	up	112	136	25	0.22321428571428573	0.11210762331838565	0.3869935239385016	False	0	Lgmn,Mafb,Ifitm2,Fabp5,Tgfbi,Clec4n,Ptpn1,Mt1,Socs3,Srgn,Fkbp5,Dok2,Manf,Calr,Cd53,Ms4a6d,Il4ra,Mrpl52,Eps8,Ssr2,Ninj1,Rab3il1,Dnajb11,Eif5a,Xbp1
Monocyte	GM-CSF	up	112	386	25	0.22321428571428573	0.052854122621564484	0.12209550322562673	False	0	Lgmn,Fabp5,Clec4n,Socs3,Srgn,Dok2,Spint1,Calr,Ms4a6d,Dad1,Pdia6,Atp5g1,Eps8,Ssr2,Ldha,Creld2,Lsm12,Scimp,Eif5a,Orai1,Cfl1,Xbp1,Ddx39,H2-DMa,Prkcd
Monocyte	TNF-α	up	112	187	16	0.14285714285714285	0.05653710247349823	0.5731700454459476	False	0	Clec4n,Id2,Socs3,Srgn,Fkbp5,Calr,Ms4a6d,Cd38,Mrpl52,Rnf149,Pdia6,Ldha,Ninj1,Mcemp1,Prkcd,Cybb
Monocyte	IL-3	up	112	124	14	0.125	0.06306306306306306	0.3193295279202312	False	0	Fabp5,Clec4n,Srgn,Dok2,Spint1,Calr,Ms4a6d,Pdia6,Atp5g1,Eps8,Eif5a,Cfl1,H2-DMa,Prkcd
Monocyte	IL-18	up	112	198	13	0.11607142857142858	0.04377104377104377	0.4481257049624201	False	0	Ifitm1,Srgn,Ly6a,Dok2,Manf,Calr,Ms4a6d,Eps8,Psmb8,Creld2,Scimp,Dnajb11,H2-DMa
Monocyte	IFN-α1	up	112	344	13	0.11607142857142858	0.029345372460496615	0.674745127237546	False	0	Tspo,Ly6a,Sdc3,Manf,Calr,Ms4a6d,Tmem106a,Pdia6,Psmb8,Creld2,Lamp2,Scimp,Dnajb11
Monocyte	IL-10	up	112	27	10	0.08928571428571429	0.07751937984496124	0.003007843371147036	False	0	Ifitm1,Tspo,Mafb,Ifitm2,Tgfbi,Wfdc17,Socs3,Srgn,Calr,Il4ra
Monocyte	IL-33	up	112	69	9	0.08035714285714286	0.05232558139534884	0.7910689527919501	False	0	Fabp5,Dok2,Manf,Calr,Casp6,Eps8,Creld2,Eif5a,Xbp1
Monocyte	IL-1β	down	112	129	8	0.07142857142857142	0.034334763948497854	-0.5462651605428481	False	0	Cox7a2l,Ier5,Cd180,Nr4a1,Klf2,Cybb,Btg2,Hspa1a
Monocyte	IL-15	up	112	234	8	0.07142857142857142	0.023668639053254437	0.15567217814516188	False	0	Tspo,Ifitm2,Ptpn1,Socs3,Srgn,Calr,Ms4a6d,Lamp2
Monocyte	IL-3	down	112	46	7	0.0625	0.046357615894039736	-0.7944592479022258	False	0	Ifitm2,Cdkn2d,Cox7a2l,Klf2,Cybb,Hspa1a,Fos
Monocyte	IL-1α	down	112	63	7	0.0625	0.041666666666666664	-0.8972307060076874	False	0	Cd180,Nr4a1,Klf2,Cybb,Btg2,Hspa1a,Fos
Monocyte	M-CSF	up	112	100	7	0.0625	0.03414634146341464	0.8166772139959453	False	0	Dok2,Calr,Pdia6,Atp5g1,Creld2,Ninj1,Cfl1
Monocyte	IL-15	down	112	104	7	0.0625	0.03349282296650718	-0.30836304243043355	False	0	Cox7a2l,Prkcd,Nr4a1,Klf2,Btg2,Hspa1a,Fos
Monocyte	IL-36α	down	112	108	7	0.0625	0.03286384976525822	0.15071068680126729	False	0	Cox7a2l,Nr4a1,Klf2,Cybb,Btg2,Hspa1a,Fos
Monocyte	GM-CSF	down	112	60	6	0.05357142857142857	0.03614457831325301	-0.9855333946377487	False	0	Ifitm2,Cdkn2d,Cox7a2l,Klf2,Cybb,Hspa1a
Monocyte	IFN-β	up	112	257	6	0.05357142857142857	0.01652892561983471	0.7458898326409804	False	0	Tspo,Sdc3,Ms4a6d,Psmb8,Lamp2,Scimp
Monocyte	IL-13	up	112	23	5	0.044642857142857144	0.038461538461538464	0.8230686074776301	False	0	Fabp5,Dok2,Calr,Casp6,Atp5g1
Monocyte	IFN-α1	down	112	101	5	0.044642857142857144	0.02403846153846154	-0.9293769121628217	False	0	Tgfbi,Clec4n,Cox7a2l,Klf2,Fos
Monocyte	IFN-β	down	112	61	4	0.03571428571428571	0.023668639053254437	-0.9564734844383197	False	0	Tgfbi,Cox7a2l,Klf2,Fos
Monocyte	TNF-α	down	112	75	4	0.03571428571428571	0.02185792349726776	-0.34585602580283686	False	0	Klf2,Btg2,Hspa1a,Fos
Monocyte	IFN-γ	up	112	112	4	0.03571428571428571	0.01818181818181818	0.15696376189031866	False	0	Ifitm1,Tspo,Ly6a,Psmb8
Monocyte	LIF	up	112	7	3	0.026785714285714284	0.02586206896551724	0.03394221166510653	False	0	Ifitm2,Tgfbi,Fkbp5
