Celltype	Celltype_Str	Cytokine	Cytokine_Str	Gene	Avg_log2FC	FDR	Pct_Cytokine	Pct_PBS
ILC	ILC	IL-1α	IL1a	Gzmc	4.6719455859222	7.70107978184089e-06	0.846	0.097
ILC	ILC	IL-1α	IL1a	Tnfrsf9	3.26024174762951	1.62518787874365e-05	0.769	0.081
ILC	ILC	IL-1α	IL1a	Csf2	3.02193196083143	5.35603943037742e-08	0.846	0.032
ILC	ILC	IL-1α	IL1a	Cx3cl1	2.58415201740563	0.000272422480474017	0.846	0.194
ILC	ILC	IL-1α	IL1a	Batf	2.50134951487973	0.0218772205176527	0.769	0.242
ILC	ILC	IL-1α	IL1a	Cd74	2.2786172703094	0.00460430208357166	1.0	0.661
ILC	ILC	IL-1α	IL1a	Ccr7	2.20305435035481	0.00130560728747337	0.846	0.21
ILC	ILC	IL-1α	IL1a	Bcl2a1d	2.1672248628243	1.84079099022367e-06	0.846	0.065
ILC	ILC	IL-1α	IL1a	Icosl	1.96723905886753	0.0110582348967671	0.692	0.161
ILC	ILC	IL-1α	IL1a	Bcl2a1b	1.95824554413253	0.000870192403609454	0.846	0.161
ILC	ILC	IL-1α	IL1a	Manf	1.92677419634105	0.000870192403609454	1.0	0.371
ILC	ILC	IL-1α	IL1a	Calr	1.9105884918917	0.000870192403609454	1.0	0.661
ILC	ILC	IL-1α	IL1a	Sdhaf1	1.89725227443731	0.000870192403609454	0.923	0.274
ILC	ILC	IL-1α	IL1a	Dap	1.89660691688255	0.0217589631060789	0.846	0.516
ILC	ILC	IL-1α	IL1a	Gadd45b	1.88947094269929	0.000870192403609454	0.923	0.177
ILC	ILC	IL-1α	IL1a	Arap2	1.87723334720684	0.00228037077059547	0.615	0.081
ILC	ILC	IL-1α	IL1a	Traf1	1.8749000352697	0.00246524103410421	1.0	0.516
ILC	ILC	IL-1α	IL1a	Stat5a	1.86894463557447	0.0278401547731504	0.538	0.097
ILC	ILC	IL-1α	IL1a	Kdm6b	1.86893923349383	0.000870192403609454	0.769	0.145
ILC	ILC	IL-1α	IL1a	Il4i1	1.85936276043272	0.0154971048497235	0.462	0.048
ILC	ILC	IL-1α	IL1a	Psme2	1.82716747520946	0.00175523073935064	1.0	0.468
ILC	ILC	IL-1α	IL1a	Pdia6	1.80225547328838	0.0186679052713603	0.846	0.387
ILC	ILC	IL-1α	IL1a	Stx11	1.75698296359452	0.0148574967793292	0.538	0.081
ILC	ILC	IL-1α	IL1a	Serp1	1.72768567834189	0.0157443819806459	1.0	0.5
ILC	ILC	IL-1α	IL1a	Ostf1	1.70766548682801	0.0118982790595297	1.0	0.629
ILC	ILC	IL-1α	IL1a	Dll1	1.70551573488016	0.00480618081302876	0.923	0.339
ILC	ILC	IL-1α	IL1a	Lad1	1.65262228937022	0.00123653717582017	0.462	0.016
ILC	ILC	IL-1α	IL1a	Tnip3	1.58663111446827	0.000212159071109099	0.462	0.0
ILC	ILC	IL-1α	IL1a	Sdc4	1.56757727249305	0.0388485230525371	1.0	0.645
ILC	ILC	IL-1α	IL1a	Slc15a3	1.55566361828946	0.0158472811219936	0.462	0.048
ILC	ILC	IL-1α	IL1a	Idi1	1.55496462245867	0.0433451212224973	0.462	0.065
ILC	ILC	IL-1α	IL1a	Derl1	1.50384284950105	0.00209554151731754	0.846	0.194
ILC	ILC	IL-1α	IL1a	Dhrs3	1.47607273240454	0.0433451212224973	0.462	0.065
ILC	ILC	IL-1α	IL1a	Spcs2	1.45330033409548	0.0158472811219936	1.0	0.629
