Celltype	Celltype_Str	Cytokine	Cytokine_Str	Gene	Avg_log2FC	FDR	Pct_Cytokine	Pct_PBS
Mast cell	Mast_cell	IL-1α	IL1a	Tpsab1	2.87559862425027	0.0156404595674938	0.909	0.536
Mast cell	Mast_cell	IL-1α	IL1a	Slc7a8	2.2157208621339	0.0160571644930342	0.909	0.357
Mast cell	Mast_cell	IL-1α	IL1a	Hs3st1	2.11541312256703	0.00231562845799823	0.727	0.089
Mast cell	Mast_cell	IL-1α	IL1a	Muc13	2.10640384608841	0.031912479570779	0.909	0.393
Mast cell	Mast_cell	IL-1α	IL1a	Il7r	2.10630303148425	0.0152140735939977	0.727	0.125
Mast cell	Mast_cell	IL-1α	IL1a	Ifitm2	2.08228247480185	0.00449417750727013	1.0	0.857
Mast cell	Mast_cell	IL-1α	IL1a	Smpx	2.07649841541056	0.0152140735939977	0.636	0.089
Mast cell	Mast_cell	IL-1α	IL1a	Pcyt1a	1.81959451095915	0.0200701455307938	0.727	0.161
Mast cell	Mast_cell	IL-1α	IL1a	Ucp2	1.79909934477382	0.00501832220382572	1.0	0.643
Mast cell	Mast_cell	IL-1α	IL1a	Tax1bp1	1.79873951364695	0.0200701455307938	1.0	0.786
Mast cell	Mast_cell	IL-1α	IL1a	Stk39	1.7794297157889	0.000869540256361166	0.727	0.071
Mast cell	Mast_cell	IL-1α	IL1a	Ero1l	1.76080217409259	0.00142364078917392	0.636	0.036
Mast cell	Mast_cell	IL-1α	IL1a	Nsf	1.63067551779144	0.000869540256361166	0.727	0.054
Mast cell	Mast_cell	IL-1α	IL1a	Dhrs3	1.44028151646629	0.0152140735939977	0.455	0.018
Mast cell	Mast_cell	IL-1α	IL1a	Asns	0.984099060608658	0.0152140735939977	0.364	0.0
Mast cell	Mast_cell	IL-1β	IL1b	Tpsab1	2.58856749737368	0.00356237416505703	1.0	0.536
Mast cell	Mast_cell	IL-1β	IL1b	Gzmb	2.56295540658755	0.0383591253761469	0.667	0.125
Mast cell	Mast_cell	IL-1β	IL1b	Tax1bp1	2.24740268341584	0.0282283390597172	1.0	0.786
Mast cell	Mast_cell	IL-1β	IL1b	Lcp2	2.24406067092891	0.00356237416505703	0.917	0.232
Mast cell	Mast_cell	IL-1β	IL1b	Il7r	2.17465601240132	0.0316103102930669	0.667	0.125
Mast cell	Mast_cell	IL-1β	IL1b	Glb1	2.07026417691738	0.0200320635137587	0.667	0.107
Mast cell	Mast_cell	IL-1β	IL1b	Ifitm2	1.92698842304407	0.0222226062916298	1.0	0.857
Mast cell	Mast_cell	IL-1β	IL1b	Cadm3	1.85066274678659	0.0446004320890709	0.5	0.054
Mast cell	Mast_cell	IL-1β	IL1b	Cdkn1a	1.83101812132096	0.0475315132715087	0.5	0.054
Mast cell	Mast_cell	IL-1β	IL1b	St3gal5	1.80885879181363	0.0242291523903164	0.75	0.161
Mast cell	Mast_cell	IL-1β	IL1b	Pcyt1a	1.71727070482048	0.0217695425378493	0.75	0.161
Mast cell	Mast_cell	IL-1β	IL1b	Pdcd1lg2	1.37868495244138	0.0282283390597172	0.333	0.0
Mast cell	Mast_cell	IL-1β	IL1b	Zfp53	1.26067785700863	0.0282283390597172	0.333	0.0
Mast cell	Mast_cell	IL-1β	IL1b	Itm2b	-1.47648321919447	0.0328862449828503	1.0	1.0
Mast cell	Mast_cell	IL-18	IL18	Iigp1	3.46986685905218	0.00327074803014298	0.8	0.071
Mast cell	Mast_cell	IL-18	IL18	Irf1	3.40704188099481	0.000293356735667125	0.8	0.036
Mast cell	Mast_cell	IL-18	IL18	Stat1	3.12729938392417	0.00327074803014298	1.0	0.143
Mast cell	Mast_cell	IL-18	IL18	Gbp2	3.10834347063068	0.00267625821304334	1.0	0.125
Mast cell	Mast_cell	IL-18	IL18	Socs1	2.96817011327662	0.00690477949583386	0.8	0.089
Mast cell	Mast_cell	IL-18	IL18	Pim1	2.76379846202962	0.00332765287465796	1.0	0.143
Mast cell	Mast_cell	IL-18	IL18	Irgm2	2.43942389781179	0.00267625821304334	0.6	0.018
Mast cell	Mast_cell	IL-18	IL18	Igtp	1.996197102523	0.00495347682921998	0.8	0.071
Mast cell	Mast_cell	IL-18	IL18	Ifi47	1.93991920100319	0.0074863871410003	1.0	0.143
Mast cell	Mast_cell	IL-18	IL18	Gbp5	1.90666039944455	0.00315566453260425	0.6	0.018
Mast cell	Mast_cell	IL-18	IL18	Tap1	1.84258203734508	0.0221753376048077	1.0	0.161
Mast cell	Mast_cell	IL-18	IL18	Gbp7	1.83821579309347	0.0296519972127953	1.0	0.179
Mast cell	Mast_cell	IL-18	IL18	Mier3	1.59084128077403	0.00828368431159468	0.6	0.036
Mast cell	Mast_cell	IL-18	IL18	Tmem183a	1.55439529597082	0.0128306663759899	0.6	0.036
Mast cell	Mast_cell	IL-18	IL18	Dennd4b	1.45031239988069	0.00315566453260425	0.6	0.018
Mast cell	Mast_cell	IL-18	IL18	Smcr8	1.42252974165312	0.00332765287465796	0.4	0.0
Mast cell	Mast_cell	IL-18	IL18	Fzd6	1.39777466519945	0.00332765287465796	0.4	0.0
Mast cell	Mast_cell	IL-18	IL18	Irf8	1.36021435703862	0.0128306663759899	0.6	0.036
Mast cell	Mast_cell	IL-18	IL18	Fam84b	1.31694715554227	0.000145174713585397	0.6	0.0
Mast cell	Mast_cell	IL-18	IL18	Pdhx	1.24944602256437	0.00327074803014298	0.6	0.018
Mast cell	Mast_cell	IL-18	IL18	Txndc15	1.12806956818582	0.042189620162767	0.6	0.054
Mast cell	Mast_cell	IL-18	IL18	Akna	0.980572913975386	0.00332765287465796	0.4	0.0
Mast cell	Mast_cell	IL-18	IL18	Rnf220	0.940816095386151	0.0311978662846876	0.6	0.036
Mast cell	Mast_cell	IL-36α	IL36a	Ifi35	1.70590819144853	0.012574527516957	1.0	0.143
Mast cell	Mast_cell	IL-36α	IL36a	Elp5	1.30337471883266	0.0266483070885944	0.6	0.036
Mast cell	Mast_cell	IL-36α	IL36a	Ifit1	1.29572285734021	0.045827199499251	0.6	0.036
Mast cell	Mast_cell	IL-36α	IL36a	Lztfl1	1.15952326940717	0.0297397001779569	0.6	0.036
Mast cell	Mast_cell	IL-36α	IL36a	Tbc1d17	1.15908518487228	0.00635279185161973	0.6	0.018
Mast cell	Mast_cell	IL-36α	IL36a	Zfp146	1.12404094165211	0.00635279185161973	0.4	0.0
Mast cell	Mast_cell	IL-36α	IL36a	Dapl1	1.11714844156054	0.00635279185161973	0.4	0.0
Mast cell	Mast_cell	IL-36α	IL36a	Lss	1.11714844156054	0.00635279185161973	0.4	0.0
Mast cell	Mast_cell	IL-36α	IL36a	Abcf2	1.03325974484125	0.0297397001779569	0.6	0.036
Mast cell	Mast_cell	IL-36α	IL36a	Neurl4	0.845230373889916	0.00635279185161973	0.4	0.0
Mast cell	Mast_cell	IL-36α	IL36a	Zfp748	0.845230373889916	0.00635279185161973	0.4	0.0
Mast cell	Mast_cell	IL-36α	IL36a	Anapc7	0.838493993391128	0.00635279185161973	0.4	0.0
Mast cell	Mast_cell	IL-2	IL2	Stat1	1.9084822272321	0.0112731809468232	0.667	0.143
Mast cell	Mast_cell	IL-2	IL2	Irf1	1.90190562622331	0.0485263283645194	0.417	0.036
Mast cell	Mast_cell	IL-2	IL2	Ly6a	1.07183393835641	0.0153200193269558	1.0	0.946
Mast cell	Mast_cell	IL-2	IL2	B2m	0.961636667487511	0.00957375574124903	1.0	0.964
Mast cell	Mast_cell	IL-2	IL2	Hdc	-1.39618159821325	0.0178183118460371	0.792	0.982
Mast cell	Mast_cell	IL-15	IL15	Ifitm3	3.5997992735583	0.00446993289690506	0.615	0.089
Mast cell	Mast_cell	IL-15	IL15	Gbp2	3.35614609505338	0.00520536683214224	0.692	0.125
Mast cell	Mast_cell	IL-15	IL15	Isg15	3.07405697003012	5.18019779323796e-05	0.769	0.071
Mast cell	Mast_cell	IL-15	IL15	Irf1	2.81766124402709	5.6074937746363e-06	0.769	0.036
Mast cell	Mast_cell	IL-15	IL15	Iigp1	2.71207881113538	5.47875097170348e-05	0.769	0.071
Mast cell	Mast_cell	IL-15	IL15	Ifit1	2.41215846414052	5.47875097170348e-05	0.692	0.036
Mast cell	Mast_cell	IL-15	IL15	Stat1	2.37529392064997	0.000174804552379876	0.846	0.143
Mast cell	Mast_cell	IL-15	IL15	Ifi47	2.29961884970886	0.00853508900682684	0.692	0.143
Mast cell	Mast_cell	IL-15	IL15	Ly6a	2.06546259972332	0.000625904015637644	1.0	0.946
Mast cell	Mast_cell	IL-15	IL15	Igtp	1.99566682618731	1.72641161607916e-05	0.846	0.071
Mast cell	Mast_cell	IL-15	IL15	Csf2rb2	1.97628226511691	0.00349462287522394	0.615	0.071
Mast cell	Mast_cell	IL-15	IL15	Irf7	1.97471104239342	0.00100154941004961	0.615	0.054
Mast cell	Mast_cell	IL-15	IL15	Psme2	1.94642587578362	0.0197815464507286	0.846	0.304
Mast cell	Mast_cell	IL-15	IL15	Ube2l6	1.89449816509833	0.000102394223885745	0.692	0.054
Mast cell	Mast_cell	IL-15	IL15	Pim1	1.86174843748099	0.00540338655462643	0.769	0.143
Mast cell	Mast_cell	IL-15	IL15	Xaf1	1.83362852162304	0.000688796933291552	0.692	0.071
Mast cell	Mast_cell	IL-15	IL15	Zbp1	1.79853775505443	0.0492803946775393	0.462	0.054
Mast cell	Mast_cell	IL-15	IL15	Socs1	1.74904524887012	0.000522919932353112	0.769	0.089
Mast cell	Mast_cell	IL-15	IL15	Parp9	1.72163176283342	4.4995272429094e-05	0.769	0.054
Mast cell	Mast_cell	IL-15	IL15	Gbp7	1.68761114519139	0.0178549003775271	0.769	0.179
Mast cell	Mast_cell	IL-15	IL15	Mndal	1.68494092697045	0.0460329760783515	0.615	0.125
Mast cell	Mast_cell	IL-15	IL15	Ifi207	1.66504710134594	5.47875097170348e-05	0.615	0.018
Mast cell	Mast_cell	IL-15	IL15	Parp14	1.65811831517576	0.0142065206788861	0.769	0.161
Mast cell	Mast_cell	IL-15	IL15	Tap1	1.63247080267867	0.0371387558397216	0.692	0.161
Mast cell	Mast_cell	IL-15	IL15	Gbp5	1.61856484917334	0.000554093666528445	0.538	0.018
Mast cell	Mast_cell	IL-15	IL15	Mxd1	1.60875161552339	0.0371387558397216	0.615	0.107
Mast cell	Mast_cell	IL-15	IL15	Dtx3l	1.41048637935756	0.0461533696223042	0.538	0.071
Mast cell	Mast_cell	IL-15	IL15	Slfn5	1.34407836393212	0.0371387558397216	0.538	0.071
Mast cell	Mast_cell	IL-15	IL15	Trim30a	1.27105914578642	0.0452920632090246	0.769	0.179
Mast cell	Mast_cell	IL-15	IL15	Tgtp2	1.20524448443095	0.0164106179019496	0.462	0.036
Mast cell	Mast_cell	IL-15	IL15	Clic4	1.11081931356736	0.0329232981228453	0.385	0.018
Mast cell	Mast_cell	IL-15	IL15	Mvp	1.09656160773752	0.020003362521534	0.615	0.089
Mast cell	Mast_cell	IL-15	IL15	Irf9	1.09436044082806	0.0214642325045371	0.462	0.036
Mast cell	Mast_cell	IL-15	IL15	Irf8	1.0888095107109	0.0214642325045371	0.462	0.036
Mast cell	Mast_cell	IL-15	IL15	Tor1aip1	1.01345561804324	0.0165648741923185	0.615	0.089
Mast cell	Mast_cell	IL-15	IL15	Stat2	0.910006708108112	0.0369146627588724	0.462	0.036
Mast cell	Mast_cell	IL-21	IL21	H2afx	1.03504498834463	0.0442590844790147	0.4	0.0
Mast cell	Mast_cell	TSLP	TSLP	Pigk	1.02471425536348	0.0147530281596716	0.6	0.036
Mast cell	Mast_cell	TSLP	TSLP	Galt	0.859746461989904	0.0147530281596716	0.4	0.0
Mast cell	Mast_cell	TSLP	TSLP	Map3k11	0.659160579988252	0.0147530281596716	0.4	0.0
Mast cell	Mast_cell	IL-3	IL3	Rprm	3.30827603861121	1.59613881255648e-09	1.0	0.179
Mast cell	Mast_cell	IL-3	IL3	Cish	2.810242681507	5.55306143966035e-09	0.955	0.125
Mast cell	Mast_cell	IL-3	IL3	Socs1	2.57431102768651	2.3551948902578e-08	0.909	0.089
Mast cell	Mast_cell	IL-3	IL3	Cdkn1a	2.54418401156404	4.33068737990349e-07	0.773	0.054
Mast cell	Mast_cell	IL-3	IL3	Cd53	2.48366162658628	7.64960091324885e-07	1.0	0.554
Mast cell	Mast_cell	IL-3	IL3	Pim1	2.4230798880378	7.30113435914115e-07	0.864	0.143
Mast cell	Mast_cell	IL-3	IL3	Tpsab1	2.34164782067371	5.96863448166812e-06	0.955	0.536
Mast cell	Mast_cell	IL-3	IL3	Enah	2.04852951295275	7.49168806516089e-06	0.818	0.125
Mast cell	Mast_cell	IL-3	IL3	Lcp2	1.98185681418043	7.49168806516089e-06	0.909	0.232
Mast cell	Mast_cell	IL-3	IL3	Rab44	1.92435088650463	2.40111017397317e-05	0.955	0.357
Mast cell	Mast_cell	IL-3	IL3	Serpina3g	1.8269011168728	0.00613021751976628	0.455	0.036
