celltype	cytokine	direction	query_n	reference_n	overlap_n	query_coverage	jaccard	rank_correlation	exact_ordered_match	exact_prefix_n	overlap_genes
cDC2	LIF	up	112	94	84	0.75	0.6885245901639344	0.9909237155110835	False	0	Ifitm1,Tspo,Lgmn,Mafb,Ifitm2,Fabp5,Cdk2ap2,Tgfbi,Clec4n,Ptpn1,Mt1,Wfdc17,Id2,Timm10b,Rnh1,Socs3,Smdt1,Srgn,Ly6a,Tspan13,C1qc,Bcl3,Fkbp5,Dok2,Nr4a3,Spint1,Fyn,Olfm1,Cdkn2d,Lyn,Sdc3,Gpr35,Manf,Calr,Psmb5,Cd53,Casp6,Cst7,Cyp7b1,Gpr171,Gpr146,Sept3,Ms4a6d,Cd38,Dad1,Tmem106a,Il4ra,Ikzf1,Mrpl52,Rnf149,Mrpl20,Pdia6,Atp5g1,Eps8,Psmb8,Ssr2,Ccnd3,Ldha,Creld2,Lamp2,Lsm12,Ninj1,Rab3il1,Mvp,Scimp,Bzw2,Mrps7,Dnajb11,Eif5a,Orai1,Prelid1,Eif6,Vav1,Vars,Hsd17b10,Cfl1,Ddx54,Xbp1,Lmnb1,Il21r,Mrps24,Ddx39,Eif4g1,Zfand3
cDC2	IL-10	up	112	182	50	0.44642857142857145	0.20491803278688525	0.37269162445199727	False	0	Ifitm1,Tspo,Ifitm2,Fabp5,Cdk2ap2,Tgfbi,Clec4n,Ptpn1,Wfdc17,Id2,Timm10b,Rnh1,Socs3,Smdt1,Srgn,Tspan13,Bcl3,Spint1,Fyn,Olfm1,Cdkn2d,Lyn,Sdc3,Gpr35,Manf,Calr,Cd53,Casp6,Cst7,Cyp7b1,Gpr146,Ms4a6d,Dad1,Tmem106a,Il4ra,Ikzf1,Mrpl52,Mrpl20,Pdia6,Atp5g1,Eps8,Ssr2,Ldha,Creld2,Rab3il1,Scimp,Dnajb11,Xbp1,Il21r,Eif4g1
cDC2	IL-18	up	112	607	48	0.42857142857142855	0.07153502235469449	0.2881500092014093	False	0	Tspo,Fabp5,Cdk2ap2,Clec4n,Ptpn1,Mt1,Socs3,Srgn,Ly6a,Tspan13,Bcl3,Dok2,Nr4a3,Spint1,Fyn,Lyn,Gpr35,Manf,Calr,Psmb5,Cd53,Gpr171,Gpr146,Ms4a6d,Tmem106a,Il4ra,Mrpl20,Pdia6,Atp5g1,Eps8,Psmb8,Ssr2,Creld2,Lamp2,Ninj1,Rab3il1,Mvp,Scimp,Dnajb11,Eif5a,Orai1,Eif6,Xbp1,Il21r,Ddx39,Eif4g1,Zfand3,Prkcd
cDC2	IL-36α	up	112	485	47	0.41964285714285715	0.08545454545454545	0.35381165824065713	False	0	Ifitm1,Tspo,Ifitm2,Fabp5,Clec4n,Ptpn1,Mt1,Wfdc17,Id2,Rnh1,Socs3,Srgn,Ly6a,Tspan13,Bcl3,Dok2,Nr4a3,Spint1,Fyn,Olfm1,Lyn,Gpr35,Manf,Calr,Psmb5,Cd53,Cyp7b1,Ms4a6d,Tmem106a,Il4ra,Mrpl52,Mrpl20,Pdia6,Ssr2,Creld2,Lsm12,Mvp,Scimp,Dnajb11,Eif5a,Orai1,Eif6,Cfl1,Xbp1,Il21r,Myadm,Prkcd
cDC2	IL-2	up	112	304	46	0.4107142857142857	0.12432432432432433	0.31664972783772816	False	0	Tspo,Fabp5,Clec4n,Ptpn1,Socs3,Smdt1,Srgn,Ly6a,Tspan13,Bcl3,Dok2,Nr4a3,Spint1,Fyn,Olfm1,Lyn,Manf,Calr,Cd53,Casp6,Cst7,Cyp7b1,Gpr171,Sept3,Ms4a6d,Tmem106a,Il4ra,Ikzf1,Pdia6,Atp5g1,Eps8,Psmb8,Ssr2,Creld2,Lsm12,Rab3il1,Scimp,Bzw2,Dnajb11,Eif5a,Orai1,Xbp1,Il21r,Ddx39,Zfand3,Prkcd
cDC2	IL-15	up	112	558	44	0.39285714285714285	0.07028753993610223	0.6983440345344589	False	0	Ifitm1,Tspo,Ifitm2,Fabp5,Clec4n,Ptpn1,Mt1,Rnh1,Socs3,Srgn,Ly6a,Tspan13,Bcl3,Dok2,Nr4a3,Fyn,Lyn,Sdc3,Manf,Calr,Cd53,Casp6,Cyp7b1,Gpr171,Ms4a6d,Tmem106a,Il4ra,Ikzf1,Pdia6,Psmb8,Creld2,Lamp2,Ninj1,Mvp,Scimp,Dnajb11,Eif5a,Orai1,Eif6,Vav1,Xbp1,Lmnb1,Il21r,Zfand3
cDC2	IL-1β	up	112	449	43	0.38392857142857145	0.08301158301158301	0.38014706207295823	False	0	Ifitm1,Lgmn,Ifitm2,Fabp5,Cdk2ap2,Clec4n,Ptpn1,Mt1,Wfdc17,Id2,Socs3,Srgn,Ly6a,Tspan13,Bcl3,Fkbp5,Dok2,Nr4a3,Spint1,Fyn,Gpr35,Manf,Calr,Cd53,Casp6,Cyp7b1,Gpr171,Ms4a6d,Dad1,Il4ra,Mrpl20,Pdia6,Mvp,Scimp,Bzw2,Eif5a,Orai1,Eif6,Cfl1,Xbp1,Lmnb1,Zfand3,Prkcd
cDC2	TNF-α	up	112	542	42	0.375	0.06862745098039216	0.627260219292733	False	0	Ifitm1,Tspo,Ifitm2,Fabp5,Cdk2ap2,Clec4n,Ptpn1,Mt1,Id2,Socs3,Srgn,Tspan13,Bcl3,Fkbp5,Dok2,Nr4a3,Fyn,Manf,Calr,Cd53,Casp6,Cst7,Cyp7b1,Ms4a6d,Cd38,Tmem106a,Ikzf1,Mrpl52,Pdia6,Atp5g1,Ssr2,Ldha,Creld2,Mvp,Dnajb11,Eif5a,Eif6,Cfl1,Xbp1,Lmnb1,Eif4g1,Zfand3
cDC2	IL-3	up	112	363	41	0.36607142857142855	0.0944700460829493	0.21537907914267715	False	0	Ifitm1,Tspo,Fabp5,Cdk2ap2,Clec4n,Ptpn1,Socs3,Smdt1,Srgn,Tspan13,Dok2,Nr4a3,Spint1,Fyn,Olfm1,Gpr35,Psmb5,Cd53,Cyp7b1,Sept3,Ms4a6d,Dad1,Ikzf1,Mrpl20,Pdia6,Atp5g1,Eps8,Psmb8,Ssr2,Ldha,Lsm12,Scimp,Bzw2,Eif5a,Orai1,Prelid1,Eif6,Cfl1,Xbp1,Ddx39,Prkcd
cDC1	IL-1α	up	112	338	39	0.3482142857142857	0.0948905109489051	0.4419703880415902	False	0	Ifitm1,Tspo,Lgmn,Ifitm2,Fabp5,Cdk2ap2,Tgfbi,Ptpn1,Mt1,Wfdc17,Socs3,Srgn,Tspan13,Bcl3,Fkbp5,Nr4a3,Spint1,Fyn,Lyn,Cd53,Casp6,Gpr171,Gpr146,Ms4a6d,Cd38,Il4ra,Rnf149,Eps8,Ccnd3,Scimp,Mrps7,Eif5a,Orai1,Eif6,Xbp1,Lmnb1,Il21r,Zfand3,Prkcd
