Celltype	Celltype_Str	Cytokine	Cytokine_Str	Gene	Avg_log2FC	FDR	Pct_Cytokine	Pct_PBS
Neutrophil	Neutrophil	IL-1α	IL1a	Cxcl3	5.56317177277922	3.2923557423289e-06	0.757	0.0
Neutrophil	Neutrophil	IL-1α	IL1a	Fcgr2b	3.33095928167701	1.42664526411024e-05	0.7	0.0
Neutrophil	Neutrophil	IL-1α	IL1a	Wfdc17	3.11891127116779	0.000105685443351284	0.829	0.357
Neutrophil	Neutrophil	IL-1α	IL1a	Cish	3.00766697729079	5.52583938642147e-05	0.657	0.0
Neutrophil	Neutrophil	IL-1α	IL1a	Xbp1	2.98197653438576	8.18837288874577e-07	0.929	0.143
Neutrophil	Neutrophil	IL-1α	IL1a	Rnasel	2.91133592040019	9.11996151619897e-06	0.786	0.107
Neutrophil	Neutrophil	IL-1α	IL1a	Cd14	2.76117310702618	9.11996151619897e-06	0.871	0.25
Neutrophil	Neutrophil	IL-1α	IL1a	Plaur	2.70626174087851	0.000206199327855724	0.714	0.107
Neutrophil	Neutrophil	IL-1α	IL1a	Ifitm6	2.67959883064063	0.0261157446212671	0.643	0.321
Neutrophil	Neutrophil	IL-1α	IL1a	Tarm1	2.67644625752483	0.00215780163904013	0.529	0.0
Neutrophil	Neutrophil	IL-1α	IL1a	Il1r2	2.67566029119847	5.45969316791501e-07	0.971	0.357
Neutrophil	Neutrophil	IL-1α	IL1a	Ffar2	2.67096405188221	0.021051394088325	0.429	0.0
Neutrophil	Neutrophil	IL-1α	IL1a	Cd177	2.58112481702216	0.000206199327855724	0.7	0.107
Neutrophil	Neutrophil	IL-1α	IL1a	Thbs1	2.52644506026247	0.0198930175616905	0.614	0.179
Neutrophil	Neutrophil	IL-1α	IL1a	Id1	2.47220326315189	0.000206199327855724	0.7	0.107
Neutrophil	Neutrophil	IL-1α	IL1a	Lcn2	2.44722832270566	0.0162593935953062	0.757	0.393
Neutrophil	Neutrophil	IL-1α	IL1a	Ier3	2.44219602892991	1.48160010001486e-06	0.943	0.393
Neutrophil	Neutrophil	IL-1α	IL1a	Tes	2.36857794843321	0.00215780163904013	0.586	0.036
Neutrophil	Neutrophil	IL-1α	IL1a	Rhoh	2.33309058739113	0.00408567893076464	0.5	0.0
Neutrophil	Neutrophil	IL-1α	IL1a	Slfn4	2.1936112698256	0.00194897875441045	0.786	0.286
Neutrophil	Neutrophil	IL-1α	IL1a	Ptpn1	2.1728491699097	6.04605829198195e-06	0.9	0.357
Neutrophil	Neutrophil	IL-1α	IL1a	Ccl6	2.08082821276096	3.68566760536583e-05	0.986	0.714
Neutrophil	Neutrophil	IL-1α	IL1a	Basp1	2.06905147138543	0.00164668536714265	0.729	0.179
Neutrophil	Neutrophil	IL-1α	IL1a	Cd33	2.04546769880838	3.88892218435806e-06	0.929	0.429
Neutrophil	Neutrophil	IL-1α	IL1a	Glipr2	2.04462606236539	0.00642830164640259	0.629	0.143
Neutrophil	Neutrophil	IL-1α	IL1a	Cd300lf	2.03460127248115	0.000206199327855724	0.871	0.464
Neutrophil	Neutrophil	IL-1α	IL1a	Cd164	2.00246089028978	0.00573554421640968	0.586	0.071
Neutrophil	Neutrophil	IL-1α	IL1a	Fth1	1.97980364857578	2.48680132132157e-05	1.0	1.0
Neutrophil	Neutrophil	IL-1α	IL1a	Wfdc21	1.96885073924446	0.00813819790455259	0.771	0.357
Neutrophil	Neutrophil	IL-1α	IL1a	Rab44	1.92528454850557	0.00456393196790074	0.629	0.143
Neutrophil	Neutrophil	IL-1α	IL1a	Nampt	1.87362258389008	0.0326615469094995	0.6	0.143
Neutrophil	Neutrophil	IL-1α	IL1a	Trpv2	1.83108314941839	0.0332383258697362	0.457	0.036
Neutrophil	Neutrophil	IL-1α	IL1a	Srgn	1.73166521199455	7.39046182448331e-07	1.0	1.0
Neutrophil	Neutrophil	IL-1α	IL1a	Mbd2	1.67120157438872	0.00395478387297259	0.686	0.143
Neutrophil	Neutrophil	IL-1α	IL1a	Lrg1	1.67012277492697	0.00253960288471085	0.829	0.5
Neutrophil	Neutrophil	IL-1α	IL1a	Lilr4b	1.52555304743751	0.00458311387203501	0.914	0.536
Neutrophil	Neutrophil	IL-1α	IL1a	Cmtm6	1.49350410724378	0.0381684663918013	0.657	0.214
Neutrophil	Neutrophil	IL-1α	IL1a	Ccr1	1.42039241718381	0.00315783050217471	0.957	0.857
Neutrophil	Neutrophil	IL-1α	IL1a	Cxcl2	1.38136258080672	0.00649191941486862	0.957	0.429
Neutrophil	Neutrophil	IL-1α	IL1a	Cd47	1.27405725281567	0.0183294243303204	0.857	0.5
Neutrophil	Neutrophil	IL-1α	IL1a	Cd53	1.27365048292281	0.0048819158223587	0.914	0.643
Neutrophil	Neutrophil	IL-1α	IL1a	Fcgr3	1.18604096550526	0.0284325423081908	0.9	0.536
Neutrophil	Neutrophil	IL-1α	IL1a	Cxcr2	1.00903709391512	0.043472798677707	0.957	0.75
Neutrophil	Neutrophil	IL-1α	IL1a	Tyrobp	-0.647652290324714	0.0210075268130517	0.986	1.0
