rank	gene
1	Ifitm1
2	Tspo
3	Lgmn
4	Mafb
5	Ifitm2
6	Fabp5
7	Cdk2ap2
8	Tgfbi
9	Clec4n
10	Ptpn1
11	Mt1
12	Wfdc17
13	Id2
14	Timm10b
15	Rnh1
16	Socs3
17	Smdt1
18	Srgn
19	Ly6a
20	Tspan13
21	C1qc
22	Bcl3
23	Fkbp5
24	Dok2
25	Nr4a3
26	Spint1
27	Fyn
28	Olfm1
29	Cdkn2d
30	Lyn
31	Sdc3
32	Gpr35
33	Manf
34	Calr
35	Psmb5
36	Cd53
37	Casp6
38	Cst7
39	Cyp7b1
40	Gpr171
41	Gpr146
42	Sept3
43	Ms4a6d
44	Cd38
45	Dad1
46	Tmem106a
47	Il4ra
48	Ikzf1
49	Mrpl52
50	Rnf149
51	Mrpl20
52	Pdia6
53	Atp5g1
54	Eps8
55	Psmb8
56	Ssr2
57	Ccnd3
58	Ldha
59	Creld2
60	Lamp2
61	Lsm12
62	Ninj1
63	Rab3il1
64	Mvp
65	Scimp
66	Bzw2
67	Mrps7
68	Dnajb11
69	Eif5a
70	Orai1
71	Prelid1
72	Eif6
73	Vav1
74	Vars
75	Hsd17b10
76	Cfl1
77	Ddx54
78	Ddx5
79	Xbp1
80	Lmnb1
81	Il21r
82	Mrps24
83	Pabpc1
84	Ddx39
85	Eif4g1
86	Zfand3
87	H2-DMa
88	Ncf1
89	Nr4a2
90	Cox7a2l
91	Trappc5
92	Ier5
93	Myadm
94	Foxp1
95	Cbl
96	Il6ra
97	Cd180
98	Pmaip1
99	Zeb2
100	Dnajc7
101	Ccrl2
102	Mcemp1
103	Zfp36
104	Prkcd
105	Nr4a1
106	Neat1
107	Txnip
108	Klf2
109	Cybb
110	Btg2
111	Hspa1a
112	Fos
