214044	unclassified (taxid 0)
576	human gammaherpesvirus 4 (taxid 10376)
498	Proteus phage VB_PmiS-Isfahan (taxid 1969841)
145	Orthobunyavirus simbuense (taxid 3052441)
114	BeAn 58058 virus (taxid 67082)
88	Shamonda virus (taxid 159150)
54	Choristoneura fumiferana granulovirus (taxid 56947)
20	Escherichia phage phiX174 (taxid 2886930)
14	Human endogenous retrovirus K113 (taxid 166122)
6	Papiine betaherpesvirus 3 (taxid 2169863)
5	Gammaretrovirus (taxid 153135)
4	Papiine gammaherpesvirus 1 (taxid 106332)
3	Lymphocryptovirus (taxid 10375)
1	Pepper chlorotic spot virus (taxid 1414655)
1	Pandoravirus neocaledonia (taxid 2107708)
1	Oxbow virus (taxid 660954)
1	Mycobacterium phage Steamy (taxid 2250309)
1	Molluscum contagiosum virus subtype 1 (taxid 10280)
1	Lavrentievavirus (taxid 2943011)
1	Human herpesvirus 4 type 2 (taxid 12509)
1	Harvey murine sarcoma virus (taxid 11807)
1	Fadolivirus algeromassiliense (taxid 3060017)
1	Acinetobacter phage vB_AbaP_B09_Aci08 (taxid 2315601)
