section	marker_set	gene_or_sample	value
marker_found	Brain	RBFOX3	FOUND
marker_found	Brain	MAP2	FOUND
marker_found	Brain	GFAP	FOUND
marker_found	Brain	MBP	MISSING
marker_found	Brain	OLIG2	MISSING
hit_bins	Brain		33
sample_marker_rank	Brain	1:Brain	log1p_cpm=3.056719;cpm=20.257693
sample_marker_rank	Brain	2:GallBladder	log1p_cpm=3.021812;cpm=19.528454
sample_marker_rank	Brain	3:Liver	log1p_cpm=2.891570;cpm=17.021581
sample_marker_rank	Brain	4:Pancreas	log1p_cpm=2.872460;cpm=16.680460
sample_marker_rank	Brain	5:Kidney	log1p_cpm=2.822773;cpm=15.823436
sample_marker_rank	Brain	6:Intestine	log1p_cpm=2.763625;cpm=14.857220
sample_marker_rank	Brain	7:Limb	log1p_cpm=2.760710;cpm=14.811058
sample_marker_rank	Brain	8:Bladder	log1p_cpm=2.753103;cpm=14.691243
sample_marker_rank	Brain	9:Stomach	log1p_cpm=2.736029;cpm=14.425612
sample_marker_rank	Brain	10:Cloaca	log1p_cpm=2.670293;cpm=13.444201
sample_marker_rank	Brain	11:Gill	log1p_cpm=2.649537;cpm=13.147492
sample_marker_rank	Brain	12:Lung	log1p_cpm=2.619255;cpm=12.725495
sample_marker_rank	Brain	13:Spleen	log1p_cpm=2.575561;cpm=12.138686
sample_marker_rank	Brain	14:Heart	log1p_cpm=2.491024;cpm=11.073635
sample_marker_rank	Brain	15:Prostate	log1p_cpm=2.323255;cpm=9.208848
marker_found	Heart	MYH6	MISSING
marker_found	Heart	MYH7	MISSING
marker_found	Heart	TNNT2	FOUND
marker_found	Heart	ACTC1	MISSING
hit_bins	Heart		11
sample_marker_rank	Heart	1:Stomach	log1p_cpm=2.554185;cpm=11.860815
sample_marker_rank	Heart	2:Cloaca	log1p_cpm=2.229747;cpm=8.297512
sample_marker_rank	Heart	3:Intestine	log1p_cpm=1.934461;cpm=5.920310
sample_marker_rank	Heart	4:Prostate	log1p_cpm=1.922749;cpm=5.839732
sample_marker_rank	Heart	5:Gill	log1p_cpm=1.899442;cpm=5.682166
sample_marker_rank	Heart	6:Bladder	log1p_cpm=1.873712;cpm=5.512424
sample_marker_rank	Heart	7:Kidney	log1p_cpm=1.853726;cpm=5.383563
sample_marker_rank	Heart	8:GallBladder	log1p_cpm=1.853708;cpm=5.383443
sample_marker_rank	Heart	9:Lung	log1p_cpm=1.842223;cpm=5.310550
sample_marker_rank	Heart	10:Limb	log1p_cpm=1.829565;cpm=5.231173
sample_marker_rank	Heart	11:Pancreas	log1p_cpm=1.816066;cpm=5.147628
sample_marker_rank	Heart	12:Liver	log1p_cpm=1.770364;cpm=4.872993
sample_marker_rank	Heart	13:Spleen	log1p_cpm=1.524663;cpm=3.593597
sample_marker_rank	Heart	14:Brain	log1p_cpm=1.446217;cpm=3.247018
sample_marker_rank	Heart	15:Heart	log1p_cpm=0.000000;cpm=0.000000
marker_found	Limb	MYOD1	MISSING
marker_found	Limb	MYOG	FOUND
marker_found	Limb	MYH3	MISSING
marker_found	Limb	COL2A1	MISSING
marker_found	Limb	SOX9	FOUND
hit_bins	Limb		21
sample_marker_rank	Limb	1:Cloaca	log1p_cpm=3.030452;cpm=19.706591
sample_marker_rank	Limb	2:Prostate	log1p_cpm=2.821271;cpm=15.798186
sample_marker_rank	Limb	3:Stomach	log1p_cpm=2.788397;cpm=15.254948
