section	marker_set	gene_or_sample	value
marker_found	Intestine	FABP2	FOUND
marker_found	Intestine	VIL1	FOUND
marker_found	Intestine	LOC115479234[nr]-ALPI[hs]	MISSING
hit_bins	Intestine		22
sample_marker_rank	Intestine	1:Intestine	log1p_cpm=3.754285;cpm=41.703676
sample_marker_rank	Intestine	2:Stomach	log1p_cpm=2.763664;cpm=14.857832
sample_marker_rank	Intestine	3:Cloaca	log1p_cpm=2.653416;cpm=13.202466
sample_marker_rank	Intestine	4:Liver	log1p_cpm=2.495831;cpm=11.131813
sample_marker_rank	Intestine	5:Kidney	log1p_cpm=2.403242;cpm=10.058974
sample_marker_rank	Intestine	6:Pancreas	log1p_cpm=2.347919;cpm=9.463772
sample_marker_rank	Intestine	7:Brain	log1p_cpm=2.302898;cpm=9.003134
sample_marker_rank	Intestine	8:GallBladder	log1p_cpm=2.290507;cpm=8.879943
sample_marker_rank	Intestine	9:Limb	log1p_cpm=2.250799;cpm=8.495320
sample_marker_rank	Intestine	10:Gill	log1p_cpm=2.210941;cpm=8.124300
sample_marker_rank	Intestine	11:Heart	log1p_cpm=2.170466;cpm=7.762367
sample_marker_rank	Intestine	12:Bladder	log1p_cpm=2.103987;cpm=7.198795
sample_marker_rank	Intestine	13:Lung	log1p_cpm=1.992324;cpm=6.332555
sample_marker_rank	Intestine	14:Prostate	log1p_cpm=1.935133;cpm=5.924962
sample_marker_rank	Intestine	15:Spleen	log1p_cpm=1.931755;cpm=5.901615
marker_found	Stomach	ATP4B	FOUND
marker_found	Stomach	GKN1	FOUND
marker_found	Stomach	LOC115091615[nr]-GKN2[hs]	MISSING
hit_bins	Stomach		22
sample_marker_rank	Stomach	1:GallBladder	log1p_cpm=2.353905;cpm=9.526592
sample_marker_rank	Stomach	2:Kidney	log1p_cpm=2.324155;cpm=9.218043
sample_marker_rank	Stomach	3:Intestine	log1p_cpm=2.318442;cpm=9.159833
sample_marker_rank	Stomach	4:Limb	log1p_cpm=2.282227;cpm=8.798476
sample_marker_rank	Stomach	5:Heart	log1p_cpm=2.277054;cpm=8.747918
sample_marker_rank	Stomach	6:Pancreas	log1p_cpm=2.261775;cpm=8.600114
sample_marker_rank	Stomach	7:Bladder	log1p_cpm=2.241823;cpm=8.410473
sample_marker_rank	Stomach	8:Lung	log1p_cpm=2.138503;cpm=7.486725
sample_marker_rank	Stomach	9:Cloaca	log1p_cpm=2.125620;cpm=7.378091
sample_marker_rank	Stomach	10:Gill	log1p_cpm=2.125014;cpm=7.373015
sample_marker_rank	Stomach	11:Brain	log1p_cpm=2.087006;cpm=7.060744
sample_marker_rank	Stomach	12:Liver	log1p_cpm=2.025867;cpm=6.582682
sample_marker_rank	Stomach	13:Spleen	log1p_cpm=1.985856;cpm=6.285280
sample_marker_rank	Stomach	14:Stomach	log1p_cpm=1.978679;cpm=6.233181
sample_marker_rank	Stomach	15:Prostate	log1p_cpm=1.977662;cpm=6.225831
marker_found	Cloaca	MUC2	FOUND
marker_found	Cloaca	CDX1[nr]-CDX2[hs]	MISSING
marker_found	Cloaca	PPARG	FOUND
marker_found	Cloaca	HNF1B[hs]	MISSING
hit_bins	Cloaca		33
sample_marker_rank	Cloaca	1:Stomach	log1p_cpm=4.369882;cpm=78.034335
sample_marker_rank	Cloaca	2:Intestine	log1p_cpm=3.235762;cpm=24.425744
sample_marker_rank	Cloaca	3:Cloaca	log1p_cpm=2.995421;cpm=18.993782
sample_marker_rank	Cloaca	4:Prostate	log1p_cpm=2.993621;cpm=18.957823
sample_marker_rank	Cloaca	5:Gill	log1p_cpm=2.987824;cpm=18.842453
sample_marker_rank	Cloaca	6:Kidney	log1p_cpm=2.850759;cpm=16.300902
sample_marker_rank	Cloaca	7:GallBladder	log1p_cpm=2.839232;cpm=16.102626
sample_marker_rank	Cloaca	8:Heart	log1p_cpm=2.817046;cpm=15.727371
sample_marker_rank	Cloaca	9:Liver	log1p_cpm=2.797267;cpm=15.399761
sample_marker_rank	Cloaca	10:Bladder	log1p_cpm=2.727616;cpm=14.296379
sample_marker_rank	Cloaca	11:Lung	log1p_cpm=2.708687;cpm=14.009552
sample_marker_rank	Cloaca	12:Pancreas	log1p_cpm=2.704812;cpm=13.951502
sample_marker_rank	Cloaca	13:Limb	log1p_cpm=2.668787;cpm=13.422467
sample_marker_rank	Cloaca	14:Brain	log1p_cpm=2.629970;cpm=12.873360
sample_marker_rank	Cloaca	15:Spleen	log1p_cpm=2.375122;cpm=9.752328
