section	a	b	value
rows	2430700		
library_total	Bladder		701506327
library_total	Brain		1168148790
library_total	Cloaca		484000505
library_total	GallBladder		565994637
library_total	Gill		1094125058
library_total	Heart		868549497
library_total	Intestine		699794434
library_total	Kidney		745602917
library_total	Limb		1147926115
library_total	Liver		398317869
library_total	Lung		877686879
library_total	Pancreas		1398702406
library_total	Prostate		973845979
library_total	Spleen		497829833
library_total	Stomach		455786546
nearest_neighbor	Bladder	1:Limb	0.927735
nearest_neighbor	Bladder	2:Lung	0.910403
nearest_neighbor	Bladder	3:Kidney	0.905626
nearest_neighbor	Bladder	4:Brain	0.882555
nearest_neighbor	Bladder	5:Gill	0.867932
nearest_neighbor	Brain	1:Limb	0.895255
nearest_neighbor	Brain	2:Kidney	0.884396
nearest_neighbor	Brain	3:Bladder	0.882555
nearest_neighbor	Brain	4:Lung	0.860291
nearest_neighbor	Brain	5:Pancreas	0.856940
nearest_neighbor	Cloaca	1:Intestine	0.891708
nearest_neighbor	Cloaca	2:Stomach	0.878998
nearest_neighbor	Cloaca	3:Lung	0.876339
nearest_neighbor	Cloaca	4:Gill	0.853833
nearest_neighbor	Cloaca	5:Bladder	0.833813
nearest_neighbor	GallBladder	1:Pancreas	0.825001
nearest_neighbor	GallBladder	2:Kidney	0.753344
nearest_neighbor	GallBladder	3:Limb	0.736686
nearest_neighbor	GallBladder	4:Brain	0.733124
nearest_neighbor	GallBladder	5:Liver	0.717305
nearest_neighbor	Gill	1:Lung	0.906126
nearest_neighbor	Gill	2:Limb	0.902609
nearest_neighbor	Gill	3:Bladder	0.867932
nearest_neighbor	Gill	4:Intestine	0.854244
nearest_neighbor	Gill	5:Cloaca	0.853833
nearest_neighbor	Heart	1:Lung	0.786173
nearest_neighbor	Heart	2:Bladder	0.751662
nearest_neighbor	Heart	3:Limb	0.741809
nearest_neighbor	Heart	4:Brain	0.739880
nearest_neighbor	Heart	5:Gill	0.727320
nearest_neighbor	Intestine	1:Stomach	0.895478
nearest_neighbor	Intestine	2:Cloaca	0.891708
nearest_neighbor	Intestine	3:Lung	0.874684
nearest_neighbor	Intestine	4:Liver	0.872087
nearest_neighbor	Intestine	5:Pancreas	0.869651
nearest_neighbor	Kidney	1:Limb	0.909443
nearest_neighbor	Kidney	2:Bladder	0.905626
nearest_neighbor	Kidney	3:Brain	0.884396
nearest_neighbor	Kidney	4:Lung	0.870977
nearest_neighbor	Kidney	5:Pancreas	0.870077
nearest_neighbor	Limb	1:Bladder	0.927735
nearest_neighbor	Limb	2:Kidney	0.909443
nearest_neighbor	Limb	3:Lung	0.908746
nearest_neighbor	Limb	4:Gill	0.902609
nearest_neighbor	Limb	5:Brain	0.895255
nearest_neighbor	Liver	1:Intestine	0.872087
nearest_neighbor	Liver	2:Pancreas	0.865676
nearest_neighbor	Liver	3:Stomach	0.843941
nearest_neighbor	Liver	4:Lung	0.837549
nearest_neighbor	Liver	5:Limb	0.837476
nearest_neighbor	Lung	1:Bladder	0.910403
nearest_neighbor	Lung	2:Limb	0.908746
nearest_neighbor	Lung	3:Gill	0.906126
nearest_neighbor	Lung	4:Cloaca	0.876339
nearest_neighbor	Lung	5:Intestine	0.874684
nearest_neighbor	Pancreas	1:Limb	0.875070
nearest_neighbor	Pancreas	2:Kidney	0.870077
nearest_neighbor	Pancreas	3:Intestine	0.869651
nearest_neighbor	Pancreas	4:Liver	0.865676
nearest_neighbor	Pancreas	5:Brain	0.856940
nearest_neighbor	Prostate	1:Bladder	0.854827
nearest_neighbor	Prostate	2:Lung	0.852153
nearest_neighbor	Prostate	3:Limb	0.847448
nearest_neighbor	Prostate	4:Gill	0.846394
nearest_neighbor	Prostate	5:Kidney	0.834111
nearest_neighbor	Spleen	1:Lung	0.866978
nearest_neighbor	Spleen	2:Limb	0.865492
nearest_neighbor	Spleen	3:Bladder	0.840566
nearest_neighbor	Spleen	4:Gill	0.827926
nearest_neighbor	Spleen	5:Prostate	0.822793
nearest_neighbor	Stomach	1:Intestine	0.895478
nearest_neighbor	Stomach	2:Cloaca	0.878998
nearest_neighbor	Stomach	3:Gill	0.852708
nearest_neighbor	Stomach	4:Lung	0.845558
nearest_neighbor	Stomach	5:Liver	0.843941
pairwise_corr	Bladder	Brain	0.882555
pairwise_corr	Bladder	Cloaca	0.833813
pairwise_corr	Bladder	GallBladder	0.698009
pairwise_corr	Bladder	Gill	0.867932
pairwise_corr	Bladder	Heart	0.751662
pairwise_corr	Bladder	Intestine	0.845285
pairwise_corr	Bladder	Kidney	0.905626
pairwise_corr	Bladder	Limb	0.927735
pairwise_corr	Bladder	Liver	0.801340
pairwise_corr	Bladder	Lung	0.910403
pairwise_corr	Bladder	Pancreas	0.848136
pairwise_corr	Bladder	Prostate	0.854827
pairwise_corr	Bladder	Spleen	0.840566
pairwise_corr	Bladder	Stomach	0.806728
pairwise_corr	Brain	Cloaca	0.799207
pairwise_corr	Brain	GallBladder	0.733124
pairwise_corr	Brain	Gill	0.821311
pairwise_corr	Brain	Heart	0.739880
pairwise_corr	Brain	Intestine	0.824562
pairwise_corr	Brain	Kidney	0.884396
pairwise_corr	Brain	Limb	0.895255
pairwise_corr	Brain	Liver	0.797656
pairwise_corr	Brain	Lung	0.860291
pairwise_corr	Brain	Pancreas	0.856940
pairwise_corr	Brain	Prostate	0.816111
pairwise_corr	Brain	Spleen	0.809417
