metric	value
n_header_columns	18
coordinate_columns	chrom,start,end
n_samples	15
sample_names	Bladder,Brain,Cloaca,GallBladder,Gill,Heart,Intestine,Kidney,Limb,Liver,Lung,Pancreas,Prostate,Spleen,Stomach
n_rows	2430700
malformed_rows	0
n_chrom_sizes	63
n_chroms_in_counts	63
n_unmatched_count_chroms	0
top_count_chroms	chr10q:47530,chr3q_2:47304,chr3q_3:47289,chr3q_1:47218,chr9q_1:46295,chr9q_2:46003,chr1q_3:45190,chr6p_3:44854,chr1q_2:44596,chr1q_1:44465
top_unmatched_chroms	
first_rows_truncated	[['chr1p_1', '10000', '20000', '131', '138', '128', '125', '157'], ['chr1p_1', '20000', '30000', '208', '325', '267', '369', '333'], ['chr1p_1', '30000', '40000', '36', '67', '42', '96', '70'], ['chr1p_1', '70000', '80000', '156', '299', '35', '69', '154'], ['chr1p_1', '90000', '100000', '66', '167', '35', '34', '114']]

sample	sum	nonzero_rows	max_count
Bladder	701506327	2430413	1203117
Brain	1168148790	2430611	1144684
Cloaca	484000505	2429721	2214020
GallBladder	565994637	2429999	700295
Gill	1094125058	2430327	2760218
Heart	868549497	2231447	7431292
Intestine	699794434	2430037	8420545
Kidney	745602917	2430471	3044238
Limb	1147926115	2430556	1908902
Liver	398317869	2429663	7421405
Lung	877686879	2430229	1593809
Pancreas	1398702406	2430456	2774572
Prostate	973845979	2430400	408721
Spleen	497829833	2430245	377562
Stomach	455786546	2429655	2827258
