section	marker_set	gene_or_sample	value
marker_found	Pancreas_acinar	LOC115478702[nr]-CPA1[hs]	MISSING
source_top	Pancreas_acinar	LOC115478702[nr]-CPA1[hs]	Acinar cell=1.9034;Pancreatic ductal cell=0.1288;Meningeal cell=0.0854;Endothelial_RGS5=0.0825
marker_found	Pancreas_acinar	LOC115099378[nr]-CPA2[hs]	MISSING
source_top	Pancreas_acinar	LOC115099378[nr]-CPA2[hs]	Acinar cell=2.0373;Pancreatic ductal cell=0.174;Proximal tubule=0.111;Hepatocyte=0.11
marker_found	Pancreas_acinar	CPB1[hs]	MISSING
source_top	Pancreas_acinar	CPB1[hs]	Acinar cell=1.4689;Podocyte=0.105;Pancreatic ductal cell=0.0967;Endocrine cell=0.0854
marker_found	Pancreas_acinar	LOC115076178[nr]-PRSS2[hs]	MISSING
source_top	Pancreas_acinar	LOC115076178[nr]-PRSS2[hs]	Acinar cell=0.5464;Endocardial endothelial cell=0.077;Pancreatic ductal cell=0.0602;Lung fibroblast=0.0587
marker_found	Pancreas_acinar	LOC104526273[nr]-AMY2A[hs]	MISSING
source_top	Pancreas_acinar	LOC104526273[nr]-AMY2A[hs]	Acinar cell=0.597;Pancreatic ductal cell=0.1094;Fibroblast_GPRC6A=0.1073;Neuron_NR4A1=0.1043
marker_found	Pancreas_acinar	LOC115471867[nr]-AMY2A[hs]	MISSING
source_top	Pancreas_acinar	LOC115471867[nr]-AMY2A[hs]	Acinar cell=1.8754;Pancreatic ductal cell=0.3177;Neuron_NR4A1=0.2797;Fibroblast_GPRC6A=0.2712
marker_found	Pancreas_acinar	PTF1A	FOUND
source_top	Pancreas_acinar	PTF1A	Acinar cell=0.678;Neuron_NR4A1=0.2631;Endocardial endothelial cell=0.2529;Endocrine cell=0.2246
hit_bins	Pancreas_acinar		11
sample_marker_rank	Pancreas_acinar	1:Pancreas	log1p_cpm=2.198446;cpm=8.010996
sample_marker_rank	Pancreas_acinar	2:Heart	log1p_cpm=1.929276;cpm=5.884524
sample_marker_rank	Pancreas_acinar	3:Cloaca	log1p_cpm=1.795882;cpm=5.024788
sample_marker_rank	Pancreas_acinar	4:Brain	log1p_cpm=1.769288;cpm=4.866675
