section	marker_set	gene_or_sample	value
marker_found	Bladder_urothelial	UPK1A	FOUND
marker_found	Bladder_urothelial	UPK1B	FOUND
marker_found	Bladder_urothelial	UPK2	MISSING
marker_found	Bladder_urothelial	UPK3A	FOUND
marker_found	Bladder_urothelial	HOXB13	FOUND
hit_bins	Bladder_urothelial		54
sample_marker_rank	Bladder_urothelial	1:Gill	log1p_cpm=3.516171;cpm=32.655316
sample_marker_rank	Bladder_urothelial	2:Bladder	log1p_cpm=3.268533;cpm=25.272759
sample_marker_rank	Bladder_urothelial	3:Stomach	log1p_cpm=3.267113;cpm=25.235497
sample_marker_rank	Bladder_urothelial	4:GallBladder	log1p_cpm=3.203502;cpm=23.618598
sample_marker_rank	Bladder_urothelial	5:Limb	log1p_cpm=3.105609;cpm=21.322801
sample_marker_rank	Bladder_urothelial	6:Prostate	log1p_cpm=3.054162;cpm=20.203400
sample_marker_rank	Bladder_urothelial	7:Brain	log1p_cpm=3.034980;cpm=19.800560
sample_marker_rank	Bladder_urothelial	8:Pancreas	log1p_cpm=3.027629;cpm=19.648211
sample_marker_rank	Bladder_urothelial	9:Kidney	log1p_cpm=3.020277;cpm=19.496973
sample_marker_rank	Bladder_urothelial	10:Intestine	log1p_cpm=3.000003;cpm=19.085605
sample_marker_rank	Bladder_urothelial	11:Liver	log1p_cpm=2.998485;cpm=19.055133
sample_marker_rank	Bladder_urothelial	12:Lung	log1p_cpm=2.962601;cpm=18.348229
sample_marker_rank	Bladder_urothelial	13:Cloaca	log1p_cpm=2.924337;cpm=17.621882
sample_marker_rank	Bladder_urothelial	14:Spleen	log1p_cpm=2.877104;cpm=16.762756
sample_marker_rank	Bladder_urothelial	15:Heart	log1p_cpm=2.797586;cpm=15.404994
marker_found	Prostate_vas_deferens	AR	FOUND
marker_found	Prostate_vas_deferens	GATA3	FOUND
marker_found	Prostate_vas_deferens	NKX3-1	FOUND
marker_found	Prostate_vas_deferens	LOC104478335[nr]-MSMB[hs]	MISSING
hit_bins	Prostate_vas_deferens		29
sample_marker_rank	Prostate_vas_deferens	1:Prostate	log1p_cpm=3.773930;cpm=42.550877
sample_marker_rank	Prostate_vas_deferens	2:Gill	log1p_cpm=2.858745;cpm=16.439620
sample_marker_rank	Prostate_vas_deferens	3:Bladder	log1p_cpm=2.829088;cpm=15.930006
sample_marker_rank	Prostate_vas_deferens	4:Lung	log1p_cpm=2.826557;cpm=15.887215
sample_marker_rank	Prostate_vas_deferens	5:Stomach	log1p_cpm=2.813588;cpm=15.669616
sample_marker_rank	Prostate_vas_deferens	6:Spleen	log1p_cpm=2.710910;cpm=14.042951
sample_marker_rank	Prostate_vas_deferens	7:Cloaca	log1p_cpm=2.640973;cpm=13.026846
sample_marker_rank	Prostate_vas_deferens	8:Intestine	log1p_cpm=2.633189;cpm=12.918079
sample_marker_rank	Prostate_vas_deferens	9:Limb	log1p_cpm=2.602620;cpm=12.499062
sample_marker_rank	Prostate_vas_deferens	10:Kidney	log1p_cpm=2.601891;cpm=12.489222
sample_marker_rank	Prostate_vas_deferens	11:Liver	log1p_cpm=2.573446;cpm=12.110930
sample_marker_rank	Prostate_vas_deferens	12:Pancreas	log1p_cpm=2.566080;cpm=12.014707
sample_marker_rank	Prostate_vas_deferens	13:Brain	log1p_cpm=2.500645;cpm=11.190355
sample_marker_rank	Prostate_vas_deferens	14:GallBladder	log1p_cpm=2.458358;cpm=10.685614
sample_marker_rank	Prostate_vas_deferens	15:Heart	log1p_cpm=2.372508;cpm=9.724259
