section	source_profile	sample_or_track	value
selected_bins			1200
track_status	GallBladder_proxy	Cholangiocyte	error:RuntimeError:Received an error during file opening!;missing_chrom_bins=
track_status	Pancreas_proxy	Acinar_cell	error:RuntimeError:Received an error during file opening!;missing_chrom_bins=
track_status	Pancreas_proxy	Pancreatic_ductal_cell	error:RuntimeError:Received an error during file opening!;missing_chrom_bins=
track_status	Pancreas_proxy	Endocrine_cell	error:RuntimeError:Received an error during file opening!;missing_chrom_bins=
track_status	Lung_proxy	Pulmonary_epithelium	error:RuntimeError:Received an error during file opening!;missing_chrom_bins=
track_status	Lung_proxy	Respiratory_epithelial_cell	error:RuntimeError:Received an error during file opening!;missing_chrom_bins=
track_status	Lung_proxy	Lung_fibroblast	error:RuntimeError:Received an error during file opening!;missing_chrom_bins=
track_status	Intestine_proxy	Enterocyte	error:RuntimeError:Received an error during file opening!;missing_chrom_bins=
track_status	Intestine_proxy	Goblet_cell	error:RuntimeError:Received an error during file opening!;missing_chrom_bins=
track_status	Stomach_proxy	Foveolar_cell	error:RuntimeError:Received an error during file opening!;missing_chrom_bins=
track_status	Stomach_proxy	Parietal_cell	error:RuntimeError:Received an error during file opening!;missing_chrom_bins=
track_status	Stomach_proxy	H+_secreting_cell	error:RuntimeError:Received an error during file opening!;missing_chrom_bins=
track_status	Liver_proxy	Hepatocyte	error:RuntimeError:Received an error during file opening!;missing_chrom_bins=
track_status	Bladder_proxy	Urothelial_cell	error:RuntimeError:Received an error during file opening!;missing_chrom_bins=
track_status	Prostate_proxy	vas_deferens_epithelial_cell	error:RuntimeError:Received an error during file opening!;missing_chrom_bins=
track_status	Spleen_proxy	B_cell	error:RuntimeError:Received an error during file opening!;missing_chrom_bins=
track_status	Spleen_proxy	T_cell	error:RuntimeError:Received an error during file opening!;missing_chrom_bins=
track_status	Spleen_proxy	Macrophage	error:RuntimeError:Received an error during file opening!;missing_chrom_bins=
track_status	Heart_proxy	Cardiac_muscle	error:RuntimeError:Received an error during file opening!;missing_chrom_bins=
