section	marker_set	gene_or_sample	value
marker_found	Lung_pulmonary	SFTPC	FOUND
marker_found	Lung_pulmonary	NKX2-1	FOUND
marker_found	Lung_pulmonary	FOXI1	FOUND
hit_bins	Lung_pulmonary		31
sample_marker_rank	Lung_pulmonary	1:Lung	log1p_cpm=3.493292;cpm=31.894062
sample_marker_rank	Lung_pulmonary	2:Gill	log1p_cpm=2.883129;cpm=16.870101
sample_marker_rank	Lung_pulmonary	3:Bladder	log1p_cpm=2.666517;cpm=13.389758
sample_marker_rank	Lung_pulmonary	4:GallBladder	log1p_cpm=2.619698;cpm=12.731569
sample_marker_rank	Lung_pulmonary	5:Stomach	log1p_cpm=2.600195;cpm=12.466362
sample_marker_rank	Lung_pulmonary	6:Cloaca	log1p_cpm=2.592691;cpm=12.365690
sample_marker_rank	Lung_pulmonary	7:Brain	log1p_cpm=2.588200;cpm=12.305795
sample_marker_rank	Lung_pulmonary	8:Limb	log1p_cpm=2.557543;cpm=11.904076
sample_marker_rank	Lung_pulmonary	9:Intestine	log1p_cpm=2.546026;cpm=11.756310
sample_marker_rank	Lung_pulmonary	10:Pancreas	log1p_cpm=2.537551;cpm=11.648654
sample_marker_rank	Lung_pulmonary	11:Liver	log1p_cpm=2.518339;cpm=11.407974
sample_marker_rank	Lung_pulmonary	12:Prostate	log1p_cpm=2.517378;cpm=11.396053
sample_marker_rank	Lung_pulmonary	13:Kidney	log1p_cpm=2.493073;cpm=11.098401
sample_marker_rank	Lung_pulmonary	14:Heart	log1p_cpm=2.400874;cpm=10.032819
sample_marker_rank	Lung_pulmonary	15:Spleen	log1p_cpm=2.328859;cpm=9.266218
marker_found	Respiratory_epithelial	EPCAM	MISSING
marker_found	Respiratory_epithelial	LOC108783876[nr]-KRT8[hs]	MISSING
hit_bins	Respiratory_epithelial		0
sample_marker_rank	Respiratory_epithelial	1:Stomach	log1p_cpm=0.000000;cpm=0.000000
sample_marker_rank	Respiratory_epithelial	2:Spleen	log1p_cpm=0.000000;cpm=0.000000
sample_marker_rank	Respiratory_epithelial	3:Prostate	log1p_cpm=0.000000;cpm=0.000000
sample_marker_rank	Respiratory_epithelial	4:Pancreas	log1p_cpm=0.000000;cpm=0.000000
sample_marker_rank	Respiratory_epithelial	5:Lung	log1p_cpm=0.000000;cpm=0.000000
sample_marker_rank	Respiratory_epithelial	6:Liver	log1p_cpm=0.000000;cpm=0.000000
sample_marker_rank	Respiratory_epithelial	7:Limb	log1p_cpm=0.000000;cpm=0.000000
sample_marker_rank	Respiratory_epithelial	8:Kidney	log1p_cpm=0.000000;cpm=0.000000
sample_marker_rank	Respiratory_epithelial	9:Intestine	log1p_cpm=0.000000;cpm=0.000000
sample_marker_rank	Respiratory_epithelial	10:Heart	log1p_cpm=0.000000;cpm=0.000000
sample_marker_rank	Respiratory_epithelial	11:Gill	log1p_cpm=0.000000;cpm=0.000000
sample_marker_rank	Respiratory_epithelial	12:GallBladder	log1p_cpm=0.000000;cpm=0.000000
sample_marker_rank	Respiratory_epithelial	13:Cloaca	log1p_cpm=0.000000;cpm=0.000000
sample_marker_rank	Respiratory_epithelial	14:Brain	log1p_cpm=0.000000;cpm=0.000000
sample_marker_rank	Respiratory_epithelial	15:Bladder	log1p_cpm=0.000000;cpm=0.000000
