key	value
estimand_unit	variant rows per BLM Mutation Status=Carrier sample
carrier_metadata_count	20
excluded_missing_variant_workbook_count	1
excluded_missing_variant_workbook_ids	533
mapped_carrier_sample_count	19
variant_workbook_count	86
chip_gene_count	56
vaf_rule	Variant Allele Freq < 0.3
region_exclusion_rule	case-insensitive intron/intergenic/UTR token in Sequence Ontology or Effect
zygosity_exclusion_rule	case-insensitive exact Reference
excluded_annotation:Missense	11
excluded_annotation:Other	1880
